parent,verdict,ops,n_ops,nsym,spacegroup,msg_type,bns,uni,n_structures,n_altermagnet,n_verdict_changed_by_strain,sse_max_eV,sse_mean_eV,gamma_avg_max_meV,m1_abs_min_muB,m1_abs_max_muB,m_asymmetry_max_muB,m_total_abs_max_muB,n_with_m2,n_antiparallel
Mn2N2_3,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,9,9,0,1.077095,0.9892414444444443,3.786,3.572,3.986,0.001000000000000334,0.0,4,4
C2Fe2_3,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmcm,3,63.463,561,10,10,0,1.065433,0.8774566,8.406,2.023,3.284,0.0050000000000003375,0.004,6,6
Mn2Sb4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,1.062185,0.8144904117647059,0.491,4.219,4.514,0.001000000000000334,0.001,12,12
Mo2Se2_1,ALTERMAGNET,mirror/rotoinv,1,2,Cc,3,9.39,46,9,9,0,1.037507,0.8857721111111112,1.462,3.078,3.406,0.0,0.0,4,4
As2Mo2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I4_1md,3,109.242,902,9,9,0,1.034625,0.8554694444444445,0.599,1.341,2.799,0.0,0.0,4,4
Bi4Fe2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,11,11,0,1.013633,0.8092734545454546,1.448,3.198,3.305,0.001000000000000334,0.004,8,8
Fe2Ge2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,1.009287,0.869548,0.234,2.882,3.225,0.0,0.0,12,12
Fe2Se2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,16,16,0,0.975839,0.7874379375,0.474,3.457,3.64,0.001000000000000334,0.0,11,11
Mn2O2_6,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,9,9,0,0.970816,0.8658323333333333,2.074,4.464,4.596,0.0,0.0,4,4
Ni2P8_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,P2_1/c,3,14.79,86,12,12,0,0.955907,0.8527535833333334,1.831,0.705,1.42,0.0020000000000000018,0.004,8,8
Mn2Te2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,0.955288,0.7574332352941177,3.423,4.402,4.589,0.001000000000000334,0.001,12,12
Mn2Se2_3,ALTERMAGNET,mirror/rotoinv|rotation,2,4,Cmc2_1,3,36.175,273,17,17,0,0.938997,0.6861438823529412,1.652,4.427,4.599,0.001000000000000334,0.0,12,12
As4Fe2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,15,15,0,0.936586,0.8070424666666667,0.295,2.32,3.415,0.0,0.0,11,11
Cr2Sn2_2,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,16,16,0,0.921353,0.83571025,1.08,3.924,4.123,0.002000000000000224,0.004,11,11
O4Rh2_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,13,13,0,0.920269,0.8022007692307693,0.534,0.349,0.515,0.0,0.0,12,12
Bi3Fe2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmmm,3,65.485,583,7,7,0,0.913305,0.8335647142857142,3.009,3.227,3.375,0.0040000000000000036,0.004,4,4
S2V2_2,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I4_1md,3,109.242,902,6,6,0,0.908369,0.6940513333333334,4.163,2.424,2.665,0.0,0.0,1,1
Cr2S2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmcm,3,63.463,561,17,17,0,0.902833,0.7742338823529411,2.353,3.652,3.819,0.001000000000000334,0.0,12,12
Mo2O4_2,ALTERMAGNET,mirror/rotoinv|rotation,2,4,P2_1/c,3,14.79,86,17,17,0,0.886503,0.7223795294117648,0.427,1.683,1.848,0.0,0.0,12,12
Cr2N2_7,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,0.869943,0.7244878235294118,0.582,2.738,3.091,0.0,0.0,12,12
As2Cr2_1,compensated_FiM_candidate,,0,2,Cm,1,8.32,39,8,3,3,0.868294,0.75157725,4.593,3.874,4.049,0.002000000000000668,0.004,4,4
Cr2Sb3_3,ALTERMAGNET,mirror/rotoinv|rotation,2,4,Fmm2,3,42.221,319,8,7,1,0.866976,0.777257125,9.306,3.871,4.092,0.0029999999999996696,0.004,3,3
Cr2S2_5,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,6,6,0,0.850929,0.6163463333333333,8.871,3.699,3.838,0.002000000000000224,0.001,1,1
Ge4V2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Imma,3,74.559,657,5,5,0,0.829845,0.744935,0.764,2.133,2.608,,0.003,0,0
Cr2S2_2,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,9,9,0,0.81405,0.6179781111111111,2.375,3.699,3.837,0.001000000000000334,0.0,4,4
Co2N2_1,compensated_FiM_candidate,,0,2,Cm,1,8.32,39,11,0,0,0.811564,0.7382235454545455,7.404,0.806,1.555,0.0030000000000001137,0.003,9,9
Mo2N2_2,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,9,9,0,0.804037,0.7289725555555555,3.736,1.335,2.416,0.0040000000000000036,0.004,7,7
Se2Ti2_4,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I4_1md,3,109.242,902,1,1,0,0.79497,0.79497,1.83,0.605,0.605,,0.001,0,0
Bi2Co2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,12,12,0,0.792416,0.6468533333333334,1.817,0.84,2.011,0.0020000000000000018,0.002,8,8
Nb2Te2_4,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,0.79053,0.640317294117647,0.236,1.834,2.236,0.0,0.0,12,12
Co2Se4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,16,16,0,0.774911,0.6747459375,0.784,1.197,2.309,0.0029999999999998916,0.003,12,12
Mn2O4_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,17,17,0,0.774428,0.5747246470588235,0.236,2.827,3.349,0.0009999999999998899,0.0,12,12
As2Mo2_3,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,5,5,0,0.77387,0.610201,1.089,0.055,1.29,0.0,0.004,3,3
Ni2O2_5,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,0.771302,0.6713008235294118,1.113,1.726,1.787,0.0,0.0,12,12
Cr2O4_2,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,17,17,0,0.756771,0.691454294117647,0.376,1.949,2.432,0.0009999999999998899,0.0,12,12
Fe2Sn4_3,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.750705,0.6576326470588235,0.92,2.921,3.155,0.001000000000000334,0.002,12,12
Cr2Se2_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,9,9,0,0.74998,0.6235101111111111,1.834,3.723,3.873,0.0,0.0,4,4
Rh2S4_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,P2_1/c,3,14.79,86,13,13,0,0.747066,0.5878023076923077,0.155,0.645,0.782,0.0,0.0,12,12
Cr2Te4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.740517,0.6818241764705882,2.372,3.738,3.922,0.001000000000000334,0.002,12,12
Cr2Se2_2,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,9,9,0,0.736631,0.6078975555555556,2.834,3.727,3.875,0.0,0.0,4,4
Fe2P4_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,P2_1/c,3,14.79,86,6,6,0,0.721628,0.6444401666666667,4.261,1.836,2.291,0.0030000000000001137,0.004,4,4
Bi2Mn2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,0.713318,0.5618152352941176,1.621,4.283,4.541,0.001000000000000334,0.004,12,12
Ni2S4_2,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.702495,0.5316824117647059,0.279,1.46,1.667,0.0009999999999998899,0.0,12,12
B2Fe2_3,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmcm,3,63.463,561,15,15,0,0.702066,0.5734423333333333,5.576,1.755,2.631,0.0029999999999996696,0.003,11,11
As2V2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmcm,3,63.463,561,17,17,0,0.692128,0.6423498823529412,6.844,2.027,2.336,0.0040000000000000036,0.004,12,12
Nb2Se2_2,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,0.684349,0.48487817647058823,1.643,1.938,2.314,0.0009999999999998899,0.001,12,12
Bi2Ru2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmcm,3,63.463,561,12,12,0,0.674668,0.5889143333333333,1.627,0.888,1.873,0.0040000000000000036,0.004,8,8
Bi6Cr2_1,compensated_FiM_candidate,,0,2,P-1,1,2.4,4,4,0,0,0.66508,0.57532175,9.044,4.122,4.17,0.0019999999999997797,0.004,2,2
Br4Ru2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.655218,0.4825261176470588,1.291,3.101,3.385,0.001000000000000334,0.0,12,12
I4Mn2_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,17,17,0,0.653102,0.5261424117647059,0.985,4.508,4.643,0.0009999999999994458,0.0,12,12
Cu2O4_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,P2_1/c,3,14.79,86,17,17,0,0.646015,0.46014352941176473,0.097,0.661,0.686,0.0,0.0,12,12
F6Pd2_2,ALTERMAGNET,rotation,2,4,C222_1,3,20.34,132,17,17,0,0.639828,0.45652288235294114,1.348,0.646,0.737,0.0,0.0,12,12
Ge2Mo2_2,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,16,16,0,0.635887,0.520015625,0.722,0.319,0.814,0.0040000000000000036,0.003,12,12
Fe2P2_3,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,17,17,0,0.633067,0.4591323529411765,0.804,2.599,3.162,0.001000000000000334,0.001,12,12
Mn2Pb8_3,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4/mbm,3,127.393,1053,17,17,0,0.630528,0.4130054705882353,0.745,4.321,4.569,0.0009999999999994458,0.003,12,12
Se2V2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,14,14,0,0.620299,0.48449621428571427,1.181,2.621,2.736,0.001000000000000334,0.0,9,9
Cu2F4_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,P2_1/c,3,14.79,86,17,17,0,0.619591,0.4989014117647059,2.021,0.829,0.857,0.0,0.0,12,12
Fe2P5_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,Imm2,3,44.231,329,3,3,0,0.612996,0.5804416666666666,3.659,1.775,2.328,,0.004,0,0
Pb2Ru2_2,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,8,8,0,0.608572,0.391006625,1.557,0.002,1.253,0.0020000000000000018,0.004,6,6
Bi2V2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,16,16,0,0.605668,0.473555375,1.619,2.615,2.757,0.0030000000000001137,0.004,11,11
O4V2_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,17,17,0,0.602315,0.4657634705882353,0.567,0.982,1.103,0.001000000000000112,0.0,12,12
Mn2S4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.599845,0.5107214117647059,0.806,4.408,4.598,0.0,0.0,12,12
P2Ru2_2,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,15,15,0,0.593917,0.4793401333333333,0.949,0.833,1.247,0.001000000000000112,0.002,11,11
Cl4Mn2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.590347,0.34253876470588235,0.417,4.548,4.659,0.001000000000000334,0.0,12,12
O4Ru2_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,17,17,0,0.585621,0.4685004117647059,0.518,1.396,1.649,0.0,0.0,12,12
C2Cr2_5,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,16,16,0,0.578519,0.4857645,1.769,1.714,3.04,0.0029999999999996696,0.003,11,11
P2V2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,0.574952,0.48274611764705877,0.41,0.675,1.895,0.001000000000000112,0.001,12,12
Fe2P6_2,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,6,4,2,0.571684,0.55355,9.099,1.323,2.003,0.0030000000000001137,0.002,2,2
Co2F4_1,ALTERMAGNET,mirror/rotoinv|rotation,8,16,P4_2/mnm,3,136.498,1158,16,16,0,0.566609,0.4151101875,5.336,2.736,2.786,0.0,0.0,11,11
Fe2Te6_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,2,1,1,0.561462,0.5427625,6.58,3.399,3.425,0.002000000000000224,0.004,1,1
Ru2S2_2,ALTERMAGNET,mirror/rotoinv|rotation,2,4,Cmc2_1,3,36.175,273,17,17,0,0.554971,0.3923854705882353,2.046,0.454,1.58,0.0029999999999998916,0.002,12,12
Mn2N2_2,compensated_FiM_candidate,,0,2,Cm,1,8.32,39,17,0,0,0.5519,0.48215211764705884,5.583,3.723,4.166,0.0030000000000001137,0.004,12,12
Cu2F6_1,ALTERMAGNET,rotation,6,12,P6_322,3,182.181,1411,17,17,0,0.548878,0.4648544117647059,0.26,1.051,1.137,0.0,0.0,12,12
Cl6Zr2_1,ALTERMAGNET,mirror/rotoinv,1,2,Cc,3,9.39,46,8,8,0,0.542894,0.24322587499999998,3.878,0.03,0.748,0.0020000000000000018,0.003,4,4
Cr2Sb6_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,4,3,1,0.542872,0.526573,8.043,3.656,3.996,0.0029999999999996696,0.004,1,1
C1Co2_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,Imm2,3,44.231,329,9,9,0,0.539864,0.41985988888888887,0.659,0.034,1.505,0.0,0.001,4,4
Te2V2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,12,12,0,0.539842,0.36354058333333333,0.158,2.66,2.765,0.0,0.0,7,7
Sb2Ti2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmcm,3,63.463,561,16,16,0,0.539832,0.31052243749999997,4.9,0.163,0.939,0.0030000000000000027,0.003,11,11
As2Ru2_2,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,12,12,0,0.531928,0.4585336666666667,2.3,0.824,1.471,0.0040000000000000036,0.004,7,7
Fe2Te4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.530094,0.38953805882352943,0.271,3.347,3.605,0.0,0.0,12,12
S2Ti2_2,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,10,10,0,0.528627,0.33272050000000003,1.384,0.047,1.286,0.0010000000000000009,0.001,6,6
Bi2Ti2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,12,12,0,0.523568,0.47241266666666665,4.028,0.8,1.112,0.0030000000000001137,0.003,8,8
Mn2Se4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.520944,0.4419562941176471,0.865,4.417,4.597,0.001000000000000334,0.0,12,12
Ni2O4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.507733,0.3326441764705882,0.458,1.758,1.802,0.001000000000000112,0.0,12,12
Mo2P4_4,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,13,13,0,0.507009,0.45271030769230775,0.886,0.71,1.775,0.0029999999999998916,0.003,10,10
Ni2O4_2,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.502922,0.3271445294117647,0.629,1.758,1.802,0.0009999999999998899,0.0,12,12
As8Cr2_1,ALTERMAGNET,rotation,1,2,P2_1,3,4.9,16,14,14,0,0.49955,0.4265112857142857,2.966,3.599,3.948,0.0029999999999996696,0.004,9,9
Fe2Se4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.499109,0.44824770588235296,0.394,3.432,3.645,0.001000000000000334,0.0,12,12
Cu2O2_4,ALTERMAGNET,mirror/rotoinv|rotation,2,4,Ama2,3,40.206,304,9,9,0,0.493897,0.42174622222222224,1.551,0.738,0.756,0.0010000000000000009,0.0,4,4
Mn2Sb6_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,3,1,2,0.492984,0.48541433333333334,9.623,4.353,4.405,0.0039999999999995595,0.004,2,2
Cr2Se4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,7,7,0,0.489549,0.38028485714285715,8.934,3.683,3.764,0.0029999999999996696,0.002,5,5
S2V2_4,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,16,16,0,0.485448,0.4050814375,1.274,2.561,2.703,0.0,0.0,11,11
Fe2S4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.481423,0.44584623529411765,0.069,3.43,3.656,0.0,0.0,12,12
Cl4Fe2_2,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.480547,0.3801598823529412,1.456,3.643,3.749,0.0009999999999998899,0.0,12,12
Co2Ge2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmcm,3,63.463,561,14,14,0,0.477012,0.40259849999999997,0.987,0.109,1.267,0.0020000000000000018,0.002,11,11
Mn2Te8_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,P2_1/c,3,14.79,86,15,15,0,0.474472,0.41775406666666665,1.146,4.335,4.528,0.001000000000000334,0.004,11,11
Cr2P4_2,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,15,15,0,0.47218,0.3368793333333333,7.016,3.171,3.642,0.001000000000000334,0.001,10,10
Bi6Fe2_2,ALTERMAGNET,mirror/rotoinv|rotation,6,12,R-3c,3,167.107,1337,13,9,4,0.471911,0.426098,8.489,3.06,3.233,0.0030000000000001137,0.004,8,8
F6Mn2_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,5,5,0,0.469212,0.3425202,2.58,3.716,3.926,,0.0,0,0
Ni2Se4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.468986,0.4008971176470588,0.064,1.405,1.631,0.001000000000000112,0.0,12,12
O2Ti2_7,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmcm,3,63.463,561,7,7,0,0.468335,0.27575242857142857,5.704,0.005,0.563,0.0030000000000000027,0.003,5,5
Br4Mn2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.464174,0.37370200000000003,1.266,4.536,4.652,0.0009999999999994458,0.0,12,12
Co2O2_1,ALTERMAGNET,mirror/rotoinv|rotation,6,12,P6_3mc,3,186.206,1436,17,17,0,0.463,0.40649052941176467,1.193,2.537,2.674,0.0,0.0,12,12
Cr2P8_2,ALTERMAGNET,rotation,2,4,C222_1,3,20.34,132,17,17,0,0.462207,0.36846717647058824,2.417,3.45,3.806,0.001000000000000334,0.004,12,12
Mn2Te4_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.458795,0.39635982352941174,0.331,4.39,4.591,0.0,0.0,12,12
As8Co2_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,P2_1/c,3,14.79,86,8,8,0,0.457247,0.157078625,3.509,0.006,0.338,0.0050000000000000044,0.004,5,5
Bi4V2_2,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.456287,0.3601964705882353,0.335,2.685,2.822,0.0009999999999998899,0.0,12,12
As4Cr2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,0.453544,0.3523587058823529,0.77,3.429,3.838,0.0009999999999998899,0.001,12,12
