filename,structure,parent,is_parent,strain,verdict,ops,n_ops,nsym,spacegroup,parent_verdict,verdict_same_as_parent,msg_type,bns,uni,sse_eV,gamma_avg_meV,m1_muB,m2_muB,m1_abs_muB,m_asymmetry_muB,antiparallel,m_total_abs_muB
POSCAR_Al5Mn2_1_z050,Al5Mn2_1_z050,Al5Mn2_1,False,z050,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,166.99,1329,0.014306,4.448,4.28,-4.281,4.28,0.0009999999999994458,True,0.001
POSCAR_Al5Mn2_1_z975,Al5Mn2_1_z975,Al5Mn2_1,False,z975,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,166.99,1329,0.015625,4.882,4.18,-4.179,4.18,0.0009999999999994458,True,0.002
POSCAR_As1V2_1,As1V2_1,As1V2_1,True,none,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,12.60,67,0.010596,2.626,2.554,-2.551,2.554,0.0029999999999996696,True,0.003
POSCAR_As1V2_1_st050,As1V2_1_st050,As1V2_1,False,st050,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,12.60,67,0.011958,2.973,2.682,-2.68,2.682,0.0019999999999997797,True,0.002
POSCAR_As1V2_1_x025,As1V2_1_x025,As1V2_1,False,x025,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.006343,0.84,2.581,-2.581,2.581,0.0,True,0.0
POSCAR_As1V2_1_x050,As1V2_1_x050,As1V2_1,False,x050,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.005809,0.775,2.606,-2.606,2.606,0.0,True,0.0
POSCAR_As1V2_1_x950,As1V2_1_x950,As1V2_1,False,x950,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.005735,1.255,2.495,-2.495,2.495,0.0,True,0.0
POSCAR_As1V2_1_x975,As1V2_1_x975,As1V2_1,False,x975,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.006191,1.025,2.525,-2.524,2.525,0.0009999999999998899,True,0.0
POSCAR_As1V2_1_y025,As1V2_1_y025,As1V2_1,False,y025,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.006241,1.036,2.582,-2.582,2.582,0.0,True,0.0
POSCAR_As1V2_1_y050,As1V2_1_y050,As1V2_1,False,y050,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.005902,1.158,2.609,-2.609,2.609,0.0,True,0.0
POSCAR_As1V2_1_y950,As1V2_1_y950,As1V2_1,False,y950,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.006592,0.987,2.492,-2.492,2.492,0.0,True,0.001
POSCAR_As1V2_1_y975,As1V2_1_y975,As1V2_1,False,y975,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.005919,0.901,2.523,-2.523,2.523,0.0,True,0.0
POSCAR_As1V2_1_z025,As1V2_1_z025,As1V2_1,False,z025,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,12.60,67,0.005736,0.912,2.581,-2.582,2.581,0.0009999999999998899,True,0.0
POSCAR_As1V2_1_z050,As1V2_1_z050,As1V2_1,False,z050,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,12.60,67,0.006135,1.196,2.607,-2.607,2.607,0.0,True,0.0
POSCAR_As1V2_1_z950,As1V2_1_z950,As1V2_1,False,z950,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,12.60,67,0.006102,1.029,2.48,-2.48,2.48,0.0,True,0.0
POSCAR_As1V2_1_z975,As1V2_1_z975,As1V2_1,False,z975,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,12.60,67,0.006598,1.07,2.519,-2.518,2.519,0.001000000000000334,True,0.0
POSCAR_As2Cr2_1,As2Cr2_1,As2Cr2_1,True,none,compensated_FiM_candidate,,0,2,Cm,compensated_FiM_candidate,True,1,8.32,39,0.740445,3.907,3.992,-3.994,3.992,0.002000000000000224,True,0.004
POSCAR_As2Cr2_1_st025,As2Cr2_1_st025,As2Cr2_1,False,st025,compensated_FiM_candidate,,0,2,Cm,compensated_FiM_candidate,True,1,8.32,39,0.748907,4.272,4.034,-4.036,4.034,0.0019999999999997797,True,0.003
POSCAR_As2Cr2_1_st950,As2Cr2_1_st950,As2Cr2_1,False,st950,compensated_FiM_candidate,,0,2,Cm,compensated_FiM_candidate,True,1,8.32,39,0.779899,3.281,3.874,-3.872,3.874,0.002000000000000224,True,0.001
POSCAR_As2Cr2_1_st975,As2Cr2_1_st975,As2Cr2_1,False,st975,compensated_FiM_candidate,,0,2,Cm,compensated_FiM_candidate,True,1,8.32,39,0.709517,3.831,3.942,-3.94,3.942,0.002000000000000224,True,0.001
POSCAR_As2Cr2_1_z025,As2Cr2_1_z025,As2Cr2_1,False,z025,compensated_FiM_candidate,,0,2,Cm,compensated_FiM_candidate,True,1,8.32,39,0.688894,3.628,4.022,-4.02,4.022,0.002000000000000668,True,0.001
POSCAR_As2Cr2_1_z050,As2Cr2_1_z050,As2Cr2_1,False,z050,ALTERMAGNET,mirror/rotoinv,1,2,Cc,compensated_FiM_candidate,False,1,8.32,39,0.670694,2.739,4.049,-4.049,4.049,0.0,True,0.001
POSCAR_As2Cr2_1_z950,As2Cr2_1_z950,As2Cr2_1,False,z950,ALTERMAGNET,mirror/rotoinv,1,2,Cc,compensated_FiM_candidate,False,1,8.32,39,0.868294,3.609,3.928,-3.93,3.928,0.002000000000000224,True,0.002
POSCAR_As2Cr2_1_z975,As2Cr2_1_z975,As2Cr2_1,False,z975,ALTERMAGNET,mirror/rotoinv,1,2,Cc,compensated_FiM_candidate,False,1,8.32,39,0.805968,4.593,3.963,-3.965,3.963,0.0019999999999997797,True,0.004
POSCAR_As2Cr2_4,As2Cr2_4,As2Cr2_4,True,none,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Cmcm,conventional_AFM_inversion,True,3,63.460,558,0.014335,1.385,4.085,-4.085,4.085,0.0,True,0.001
POSCAR_As2Cr2_4_st025,As2Cr2_4_st025,As2Cr2_4,False,st025,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Cmcm,conventional_AFM_inversion,True,3,63.460,558,0.013762,1.741,4.129,-4.128,4.129,0.0009999999999994458,True,0.002
POSCAR_As2Cr2_4_st050,As2Cr2_4_st050,As2Cr2_4,False,st050,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Cmcm,conventional_AFM_inversion,True,3,63.460,558,0.012103,1.556,4.159,-4.159,4.159,0.0,True,0.0
POSCAR_As2Cr2_4_st950,As2Cr2_4_st950,As2Cr2_4,False,st950,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Cmcm,conventional_AFM_inversion,True,3,63.460,558,0.018884,2.256,3.959,-3.958,3.959,0.0009999999999998899,True,0.003
POSCAR_As2Cr2_4_st975,As2Cr2_4_st975,As2Cr2_4,False,st975,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Cmcm,conventional_AFM_inversion,True,3,63.460,558,0.015725,1.62,4.033,-4.033,4.033,0.0,True,0.0
POSCAR_As2Cr2_4_x025,As2Cr2_4_x025,As2Cr2_4,False,x025,conventional_AFM_inversion,inversion|rotation,2,4,P2_1/m,conventional_AFM_inversion,True,3,63.460,558,0.016136,1.773,4.098,-4.097,4.098,0.0009999999999994458,True,0.001
POSCAR_As2Cr2_4_x050,As2Cr2_4_x050,As2Cr2_4,False,x050,conventional_AFM_inversion,inversion|rotation,2,4,P2_1/m,conventional_AFM_inversion,True,3,63.460,558,0.013975,2.335,4.107,-4.107,4.107,0.0,True,0.001
POSCAR_As2Cr2_4_x950,As2Cr2_4_x950,As2Cr2_4,False,x950,conventional_AFM_inversion,inversion|rotation,2,4,P2_1/m,conventional_AFM_inversion,True,3,63.460,558,0.017682,2.741,4.065,-4.064,4.065,0.001000000000000334,True,0.002
POSCAR_As2Cr2_4_x975,As2Cr2_4_x975,As2Cr2_4,False,x975,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Cmcm,conventional_AFM_inversion,True,3,63.460,558,0.017416,2.152,4.076,-4.075,4.076,0.0009999999999994458,True,0.001
POSCAR_As2Cr2_4_y025,As2Cr2_4_y025,As2Cr2_4,False,y025,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Cmcm,conventional_AFM_inversion,True,3,63.460,558,0.014218,1.603,4.098,-4.097,4.098,0.0009999999999994458,True,0.001
POSCAR_As2Cr2_4_y050,As2Cr2_4_y050,As2Cr2_4,False,y050,conventional_AFM_inversion,inversion|rotation,2,4,P2_1/m,conventional_AFM_inversion,True,3,63.460,558,0.014009,1.879,4.107,-4.106,4.107,0.001000000000000334,True,0.001
POSCAR_As2Cr2_4_y950,As2Cr2_4_y950,As2Cr2_4,False,y950,conventional_AFM_inversion,inversion|rotation,2,4,P2_1/m,conventional_AFM_inversion,True,3,63.460,558,0.017292,2.824,4.066,-4.064,4.066,0.0019999999999997797,True,0.003
POSCAR_As2Cr2_4_y975,As2Cr2_4_y975,As2Cr2_4,False,y975,conventional_AFM_inversion,inversion|rotation,2,4,P2_1/m,conventional_AFM_inversion,True,3,63.460,558,0.01333,3.974,4.076,-4.078,4.076,0.002000000000000668,True,0.004
POSCAR_As2Cr2_4_z025,As2Cr2_4_z025,As2Cr2_4,False,z025,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Cmcm,conventional_AFM_inversion,True,3,63.460,558,0.01425,1.357,4.109,-4.109,4.109,0.0,True,0.001
