filename,avg_bond_length,max_bond_length,min_bond_length,std_bond_length,center_max_angle,center_min_angle,center_avg_angle,center_std_angle,nonmag_max_angle,nonmag_min_angle,nonmag_std_angle,labelled_1st,labelled_2nd,labelled_3rd,global_1st,global_2nd,global_3rd,avg_long_axis,avg_short_axis,avg_axis_ratio,avg_s,avg_delta,motif0_nonmag_count,magnetic_atomic_number,magnetic_electronegativity,nonmagnetic_atomic_number,nonmagnetic_electronegativity,hungarian_rotation_angle_deg,dimension,avg_motif_measure,unit_cell_volume,packing_fraction,p_metric,p_metric_std,d_orb_e,p_orb_e_non,d_lone_pair,proxy_M_magnet,delta_chi,abs_delta_chi,delta_Z,abs_delta_Z,pd_ratio,ax_eq_gap,bond_range,bond_cv,center_angle_spread,nonmag_angle_spread,delta_chi_times_axeq,d_global_local_1st,d_global_local_2nd,d_global_local_3rd
POSCAR_FeS__4relaxed,2.3423612501718836,2.381448543524429,2.303358167271228,0.03875294367506661,179.9537436741503,84.37217240013847,119.98399055235627,42.65122810243358,91.90475536277953,41.331546496101865,21.3794653544356,2.963202417386116,4.140770869970858,4.9436902863364685,2.963202417386116,3.4699759789728866,3.9941199490475636,4.76222535394311,3.146784349701196,1.5133626110057077,0.016543828175976938,0.00044251200833577965,4,26,1.83,16,2.58,71.01846542035592,2,10.917599798840936,63.92507435001821,0.5327215948299565,0.8707997526220471,0.00233167226857362,7,4,4,4.9,-0.75,0.75,10,10,0.57142848979593,0.03908729335254524,0.07809037625320059,0.01654438534100475,95.58157127401184,50.57320886667766,0.02931547001440893,0.0,-0.6707948909979713,-0.9495703372889048
POSCAR_CrS__4relaxed,2.718555282310722,2.8248629006720023,2.6141803578375598,0.1038555502732399,179.81174044331436,84.93163204271235,119.93035091706783,42.525249086746996,94.3916390662638,40.491461469543104,21.537142485081564,3.4392458870552334,4.910917816661822,5.595996675895398,3.4392458870552334,4.011163994307561,4.379132281002393,5.644782938671208,3.6761469388186367,1.5355161414492926,0.03819708024079448,0.00193315659721013,4,24,1.66,16,2.58,120.1838232614312,2,14.703116119082878,98.56264836337297,0.5164583994032201,0.6939365877687519,0.0013795823360475568,5,4,5,3.87,-0.9200000000000002,0.9200000000000002,8,8,0.799999840000032,0.10630761836128011,0.21068254283444254,0.03820246464971643,94.88010840060201,53.9001775967207,0.09780300889237771,0.0,-0.8997538223542607,-1.2168643948930047
POSCAR_CrS__3generated,2.744537602183115,2.7486693498852564,2.739908360079454,0.003888383723651305,179.61717943694714,86.08333438351762,119.87195049769501,42.36645516860115,90.16075032965274,42.97190096666914,21.273370331106626,3.4391750358313624,4.910838214440795,5.595139368557405,3.4391750358313624,4.0111639943075605,4.379132281002394,5.496726745494107,3.7468013865118754,1.4670451407718432,0.001399552710371203,0.0033484457033074516,4,24,1.66,16,2.58,121.61116075882617,2,15.029774993401254,98.56264836337297,0.52789641669242,0.7505019838452438,0.0013697814195613703,5,4,5,3.87,-0.9200000000000002,0.9200000000000002,8,8,0.799999840000032,0.0041317477021411975,0.00876098980580231,0.0014167713729944735,93.53384505342952,47.1888493629836,0.0038012078859699025,0.0,-0.8996742201332344,-1.2160070875550106
POSCAR_FeS__2matched,1.8496482133144712,1.8505232380181482,1.8487671561845906,0.000782794737028223,179.98332504890612,83.55250830238073,119.99397954753772,42.74302012524306,90.04822996088447,41.756331161555224,21.37576238474947,3.081580380979819,3.224583323194926,4.880299194196201,2.758527846752971,3.081580380979819,3.224583323194926,3.7008435078100774,2.464629765350966,1.501581956280516,0.00041822450681464166,0.00017449177627874854,4,29,1.9,8,3.44,85.15644691738181,2,6.799158396765748,37.358193462178036,0.5001943494140935,1.0182096249959398,0.03036564843678849,10,4,0,1.73,-1.54,1.54,21,21,0.39999996000000404,0.0008750247036770631,0.0017560818335575767,0.00042321253748730945,96.4308167465254,48.291898799329246,0.0013475380436626771,-0.3230525342268482,-0.1430029422151069,-1.6557158710012754
POSCAR_CoO_sp__3generated,1.9736979127700038,1.9915027685891302,1.9562084781854339,0.017274966423166924,179.53911166940637,82.78085608836537,119.84415312394304,42.61518723679632,91.0105815009748,40.95636156519167,21.42807792403624,2.6370520637589854,3.41623994624196,3.5300137629796673,2.6370520637589854,2.959474534515975,3.342286342458803,3.981900696852213,2.610478981352882,1.5253525674010433,0.00874965153946251,0.004070151817683214,4,27,1.88,8,3.44,157.1350265487081,2,7.728751348250999,40.10961116241702,0.5175487779520982,0.7914587743366273,0.0018675489900906997,8,4,3,3.87,-1.56,1.56,19,19,0.4999999375000079,0.017804855819126386,0.03529429040369636,0.008752584455205598,96.758255581041,50.054219935783124,0.027775575077837164,0.0,-0.4567654117259847,-0.1877274205208641
POSCAR_NiS__4relaxed,2.4595182609212345,2.459969725236615,2.4589947746311704,0.00035868947225509325,179.99703677226756,88.70565193520052,107.99874162510062,36.01585756847448,90.01870521382558,44.34602735582492,16.447080254414935,2.775525804097486,4.480327951076531,6.694290389343051,2.775525804097486,3.517100302904763,4.480327951076531,4.919695302681037,3.4385586445404748,1.430743463202527,0.00013952025468862736,7.35808012666376e-05,6,28,1.91,16,2.58,179.98278645827966,3,19.822368820578482,59.46710646173544,0.33333333333333337,0.6816293834646064,0.00033802845942721896,9,4,2,2.83,-0.6700000000000002,0.6700000000000002,12,12,0.44444439506173394,0.0004514643153803455,0.0009749506054443913,0.00014583722841867192,91.29138483706704,45.67267785800066,0.00030248109130483154,0.0,-0.9632276481717681,-2.2139624382665195
POSCAR_CoO_sp__2matched,1.9736979127700038,1.9915027685891302,1.9562084781854339,0.017274966423166924,179.53911166940637,82.78085608836537,119.84415312394304,42.61518723679632,91.0105815009748,40.95636156519167,21.42807792403624,2.6370520637589854,3.41623994624196,3.5300137629796673,2.6370520637589854,2.959474534515975,3.342286342458803,3.981900696852213,2.610478981352882,1.5253525674010433,0.00874965153946251,0.004070151817683214,4,25,1.55,7,3.04,157.1350265487081,2,7.728751348250999,40.10961116241702,0.5175487779520982,0.7914587743366273,0.0018675489900906997,6,3,5,4.9,-1.49,1.49,18,18,0.49999991666668053,0.017804855819126386,0.03529429040369636,0.008752584455205598,96.758255581041,50.054219935783124,0.026529235170498315,0.0,-0.4567654117259847,-0.1877274205208641
POSCAR_CrS__2matched,1.9736979127700038,1.9915027685891302,1.9562084781854339,0.017274966423166924,179.53911166940637,82.78085608836537,119.84415312394304,42.61518723679632,91.0105815009748,40.95636156519167,21.42807792403624,2.6370520637589854,3.41623994624196,3.5300137629796673,2.6370520637589854,2.959474534515975,3.342286342458803,3.981900696852213,2.610478981352882,1.5253525674010433,0.00874965153946251,0.004070151817683214,4,25,1.55,7,3.04,157.1350265487081,2,7.728751348250999,40.10961116241702,0.5175487779520982,0.7914587743366273,0.0018675489900906997,6,3,5,4.9,-1.49,1.49,18,18,0.49999991666668053,0.017804855819126386,0.03529429040369636,0.008752584455205598,96.758255581041,50.054219935783124,0.026529235170498315,0.0,-0.4567654117259847,-0.1877274205208641
POSCAR_CoS__5fullrelax,2.4833289688528395,2.483573159218441,2.4829805062621224,0.00021634934131714454,179.99401849898265,89.12833955124387,107.99826036044902,36.00474274366317,90.00815034949258,44.56217825937165,16.438522422129488,2.8241086853480613,4.526863723658026,6.747490022639443,2.8241086853480613,3.5379502571863415,4.526863723658026,4.966901599781376,3.4851881715041326,1.4251458925761527,6.597527757617765e-05,9.626250250241024e-05,6,27,1.88,16,2.58,70.54178414465403,3,20.412356795627883,61.23707038688365,0.3333333333333333,0.6766745718603697,0.0002932316518831066,8,4,3,3.87,-0.7000000000000002,0.7000000000000002,11,11,0.4999999375000079,0.0002441903656014155,0.0005926529563184957,8.712065816089913e-05,90.86567894773879,45.44597209012093,0.0001709332559209909,0.0,-0.9889134664716841,-2.2206262989814176
POSCAR_FeAs__5fullrelax,2.6071249375603043,2.6137761491676033,2.6023075408322462,0.004764233817682997,179.99366335282593,87.91191589502793,107.99818065686614,36.03889638881775,90.24677919788729,43.90658190803578,16.468092260193426,2.905990739074814,4.732141431252931,7.102663243080075,2.905990739074814,3.748728165548697,4.732141431252931,5.227197565903486,3.614852243728041,1.4460335347384152,0.001826532349223467,9.874092247193504e-05,6,26,1.83,33,2.18,179.94407538211345,3,23.585431548560102,70.75629464568028,0.3333333333333334,0.6894019034269099,0.0006818434063768079,7,3,4,4.9,-0.3500000000000001,0.3500000000000001,-7,7,0.4285713673469475,0.006651211607298979,0.011468608335357011,0.0018273892139408006,92.081747457798,46.34019728985151,0.002327924062554643,0.0,-0.9834132657042338,-2.3705218118271443
POSCAR_CrS__5fullrelax,2.67078973732477,3.0253122401877075,2.49153270184104,0.24892061931509687,179.9849480462476,82.0318302668179,107.9833754517895,36.278323811310344,101.0128616376727,36.31022919088352,17.64117197662644,3.1326650350042313,4.4686481181373505,5.1014163662896514,3.1326650350042313,3.6464860256648155,4.001572943835745,6.045584944761934,3.4057130755751848,1.775130438100928,0.0931997851255436,0.0009550908280461363,6,24,1.66,16,2.58,149.3092756469636,3,24.772638296236877,74.31791488871065,0.33333333333333326,0.6678863013009435,0.006139135837746102,5,4,5,3.87,-0.9200000000000002,0.9200000000000002,8,8,0.799999840000032,0.3545225028629373,0.5337795383466677,0.09320109428132554,97.9531177794297,64.70263244678918,0.32616070263390234,0.0,-0.822162092472535,-1.0998434224539064
POSCAR_CoO_sp__5fullrelax,2.1436614193677612,2.1837105286591747,2.116929094191266,0.028789173091108934,179.995339150883,86.54388625139325,107.99846833421707,36.08619505048226,91.77840887707907,42.60723257016818,16.524455073665372,2.5913083069396095,3.860372938984316,3.968376560475978,2.5913083069396095,2.9573851021681548,3.860372938984316,4.3672680655950735,2.957385102168155,1.476732963317252,0.013429807364815893,8.542027064192538e-05,6,27,1.88,8,3.44,147.11671167149194,3,13.08375609645342,39.25126828936026,0.3333333333333333,0.6350225199961268,0.010113679950394184,8,4,3,3.87,-1.56,1.56,19,19,0.4999999375000079,0.040049109291413476,0.06678143446790852,0.01342990054357525,93.45145289948977,49.171176306910894,0.062476610494605025,0.0,-0.9029878368161612,-0.1080036214916622
POSCAR_FeS__5fullrelax_PARTIAL,2.56733472267378,2.618058947967382,2.472554822436604,0.0669106307191347,179.97853099209735,87.70991246688627,107.99405594011967,36.01343360642836,93.25562330214862,42.91952159140921,16.53546222658605,2.9539532517935503,4.629331993247401,4.783655392400498,2.9539532517935503,3.5701898209797585,3.770610610685691,5.2348142720104285,3.570189820979759,1.4662565674375965,0.026061661693525886,0.00031918397503861306,6,26,1.83,16,2.58,110.24717725859064,3,22.51549165278572,67.54647495835717,0.3333333333333333,0.6703781129362257,0.0012832447995581185,7,4,4,4.9,-0.75,0.75,10,10,0.57142848979593,0.050724225293601766,0.14550412553077807,0.026062283217657984,92.26861852521108,50.33610171073941,0.038043168970201324,0.0,-1.0591421722676428,-1.0130447817148074
POSCAR_NiS__5fullrelax,2.4602636248427086,2.46026362484272,2.4602636248427023,8.325761918628408e-15,180.0,89.17399849649266,107.99999991462263,36.00757990330224,90.00000000000043,44.58699924824632,16.437985113322156,2.799614407289897,4.485326244382769,6.684218196366438,2.799614407289897,3.504327423207437,4.485326244382769,4.92052724968544,3.4541681669908515,1.4245187297791668,3.4046966869436784e-15,4.5126181333357567e-17,6,28,1.91,16,2.58,179.99999829245272,3,19.84938004174316,59.54814012522949,0.3333333333333333,0.6762772976645038,8.168711380446959e-15,9,4,2,2.83,-0.6700000000000002,0.6700000000000002,12,12,0.44444439506173394,1.1546319456101628e-14,1.7763568394002505e-14,3.384092034067553e-15,90.82600150350734,45.413000751754105,7.736034035588093e-15,0.0,-0.9809988211753318,-2.1988919519836694
