filename,sg,verdict,ops,n_ops,nsym
Fe2Si2_3_st050,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Si2_3_st950,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Si2_3_st975,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Si2_3_x025,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Si2_3_x050,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Si2_3_x950,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Si2_3_x975,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Si2_3_y025,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Si2_3_y050,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Si2_3_y950,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Si2_3_y975,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Si2_3_z025,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Si2_3_z050,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Si2_3_z950,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Si2_3_z975,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Fe2Si2_4,P4/nmm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16
Fe2Si2_4_st025,P4/nmm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16
Fe2Si2_4_x050,Pmmn,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Fe2Si2_4_x950,Pmmn,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Fe2Si2_4_y025,Pmmn,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Fe2Si2_4_y050,Pmmn,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Fe2Si2_4_y950,Pmmn,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Fe2Si2_4_y975,Pmmn,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Fe2Si2_4_z025,P4/nmm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16
Fe2Si2_4_z050,P4/nmm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16
Fe2Si2_4_z975,P4/nmm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16
Fe2Sn10_2,I4/mcm,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16
Fe2Sn10_2_st025,I4/mcm,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16
Fe2Sn10_2_st975,I4/mcm,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16
Fe2Sn10_2_x025,C2/c,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn10_2_x950,C2/c,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn10_2_x975,C2/c,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn10_2_y025,C2/c,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn10_2_y050,C2/c,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn10_2_y950,C2/c,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn10_2_y975,C2/c,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn10_2_z025,C2/m,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn10_2_z050,C2/m,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn10_2_z950,C2/m,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn2_1,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Sn2_1_st050,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Sn2_1_st975,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Sn2_1_z025,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Sn2_1_z950,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Fe2Sn3_1,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn3_1_st025,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn3_1_st050,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn3_1_st975,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn3_1_x025,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn3_1_x050,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn3_1_x975,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn3_1_y025,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn3_1_y050,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn3_1_y975,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn3_1_z025,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn3_1_z050,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn3_1_z950,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn3_1_z975,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn4_3,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn4_3_st025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn4_3_st050,Pc,ALTERMAGNET,mirror/rotoinv,1,2
Fe2Sn4_3_st950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn4_3_st975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn4_3_x025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn4_3_x050,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn4_3_x950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn4_3_x975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn4_3_y025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn4_3_y050,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn4_3_y950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn4_3_y975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn4_3_z025,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn4_3_z050,Pc,ALTERMAGNET,mirror/rotoinv,1,2
Fe2Sn4_3_z950,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn4_3_z975,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Sn8_2,C2/m,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn8_2_st025,C2/m,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn8_2_x025,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn8_2_x950,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn8_2_x975,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn8_2_y950,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn8_2_y975,P-1,conventional_AFM_inversion,inversion,1,2
Fe2Sn8_2_z025,C2/m,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn8_2_z050,C2/m,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn8_2_z950,C2/m,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Sn8_2_z975,C2/m,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Fe2Te2_1,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te2_1_st025,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Fe2Te2_1_st050,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
