filename,parent,sse,avg_bond_length,max_bond_length,min_bond_length,std_bond_length,center_max_angle,center_min_angle,center_avg_angle,center_std_angle,nonmag_max_angle,nonmag_min_angle,nonmag_std_angle,labelled_1st,labelled_2nd,labelled_3rd,global_1st,global_2nd,global_3rd,avg_long_axis,avg_short_axis,avg_axis_ratio,avg_s,avg_delta,motif0_nonmag_count,magnetic_atomic_number,magnetic_electronegativity,nonmagnetic_atomic_number,nonmagnetic_electronegativity,hungarian_rotation_angle_deg,dimension,avg_motif_measure,unit_cell_volume,packing_fraction,characteristic_length_ratio,p_metric,p_metric_std,d_orb_e,p_orb_e_non,d_lone_pair,proxy_M_magnet,delta_chi,abs_delta_chi,delta_Z,abs_delta_Z,pd_ratio,ax_eq_gap,bond_range,bond_cv,center_angle_spread,nonmag_angle_spread,delta_chi_times_axeq,d_global_local_1st,d_global_local_2nd,d_global_local_3rd,gamma point average splitting,ion1 tot,tot_mag
POSCAR_Al10Fe2_1_st950,Al10Fe2_1,0.019014,2.662379522088036,2.7382249796292037,2.6108592038373684,0.0531853557835652,179.97552266594818,58.22629791501721,98.16815766880518,36.43764327874205,122.09674587160566,28.306383685119474,23.72026289823676,5.751394750879215,6.918405198003278,7.918589526990181,3.8488096307566826,5.47158993166083,5.751394750879215,5.475015337743187,2.6132596605845992,2.095092038746969,0.0199757759084392,0.0003733611610295,12,26,1.83,13,1.61,179.97121249098709,3,44.3202867846237,162.3124390220437,0.2730553927453739,0.6487592843181578,8.702782981968506e-06,0.0009877916662951,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.0758454575411673,0.1273657757918349,0.0199766169194527,121.74922475093096,93.7903621864862,0.0166860006590568,-1.9025851201225328,-1.4468152663424476,-2.167194776110966,4.105,2.798,0.002
POSCAR_Al10Fe2_1_st975,Al10Fe2_1,0.042746,2.7324421410903525,2.810283531724709,2.679566024990983,0.0545849704094486,179.97552266595508,58.2262979150172,98.16815766880518,36.4376432787421,122.09674587160566,28.306383685119485,23.72026289823676,5.902747244323405,7.100468492687575,8.126973461910977,3.9500940947239647,5.615579140388747,5.902747244323405,5.619094688736428,2.6820296516526145,2.0950920387469694,0.0199757759084392,0.0003733611610294,12,26,1.83,13,1.61,179.9712124910504,3,47.91214265521745,175.46675117270394,0.2730553927453737,0.6487592843181575,8.702782981968316e-06,0.0009877916662951,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.0778413906343562,0.1307175067337258,0.0199766171118448,121.74922475093788,93.79036218648618,0.0171251059395583,-1.95265314959944,-1.4848893522988282,-2.224226217587572,4.551,2.935,0.003
POSCAR_Al10Fe2_1_x025,Al10Fe2_1,0.021152,2.8269419714338846,2.918208716870492,2.7661145428313185,0.0639941093505604,179.97573438887332,57.904022659261855,98.16817259865422,36.46292794857854,122.24141533507007,28.172109865734136,23.74570899801772,6.055529082669246,7.310888991749083,8.39013036098944,4.096307247278491,5.831213439632463,6.055529082669246,5.834863863760702,2.765123333197786,2.110164484104541,0.0226364670898838,0.0003741385187261,12,26,1.83,13,1.61,179.99996852596138,3,52.98532608669261,194.04607085018,0.2730553927453742,0.648759284318158,8.666594676914059e-06,0.0009907704364074,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.0912667454366071,0.1520941740391732,0.0226372127054622,122.07171172961148,94.06930546933594,0.0200786839960535,-1.9592218353907545,-1.4796755521166205,-2.3346012783201946,3.728,3.065,0.003
POSCAR_Al10Fe2_1_x975,Al10Fe2_1,0.047069,2.778372082465835,2.8469252167525685,2.706151097262995,0.0528898126248423,179.97531295886765,57.65523224614212,98.16814598714954,36.42584989619418,122.64342391052396,28.22994692738611,23.709196961320718,6.0291262209166,7.240636446585544,8.207068335348644,3.950094094759151,4.096307247278491,5.6888243110673375,5.692383578161616,2.708283798006708,2.1018440711501327,0.0190353822407755,0.0003725695672995,12,26,1.83,13,1.61,179.99990403113284,3,50.40067603476609,184.5804088614541,0.2730553927453741,0.648759284318158,8.739863478396568e-06,0.0009849356930077,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.0685531342867333,0.1407741194895733,0.019036252891531,122.32008071272551,94.41347698313784,0.0150816895430813,-2.0790321261574496,-3.144329199307053,-2.518244024281307,3.407,3.004,0.003
POSCAR_Al10Fe2_1_y975,Al10Fe2_1,0.033551,2.7779206996080914,2.8461587599450064,2.722327084823788,0.0480647862987762,179.9753442972592,58.156989794957184,98.16813546122437,36.41698887875344,121.98723791358506,28.47276567408529,23.698694878256163,6.030040556608535,7.232982745697971,8.296632924007643,3.993899566112365,5.687235496338154,6.030040556608535,5.6907957570370025,2.7212883689587377,2.0912142452188065,0.0173013442423053,0.0003765750529851,12,26,1.83,13,1.61,179.97115485074323,3,50.40067603370929,184.5804088575838,0.2730553927453742,0.648759284318158,8.840430628132347e-06,0.0009975522158216,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.068238060336915,0.1238316751212185,0.0173024265966737,121.818354502302,93.51447223949975,0.0150123732741213,-2.0361409904961696,-1.5457472493598168,-2.266592367399108,3.122,3.007,0.003
POSCAR_Al10Fe2_1_z050,Al10Fe2_1,0.021833,2.8451856680849588,2.882348028865586,2.8011518638345083,0.0287010302853372,179.97473555932322,58.62182709111586,98.16809841754566,36.373004054356585,121.69151103350696,28.92900588153032,23.65454126993624,6.307909880650923,7.488592781879966,8.497408864099071,4.051378558634946,5.759568349045532,6.307909880650923,5.763174039678088,2.803403949029276,2.055779724307988,0.0100855469194664,0.0003781322877384,12,26,1.83,13,1.61,179.99960757141585,3,54.2776511130164,198.77890184586337,0.2730553927453741,0.648759284318158,9.047711983287633e-06,0.0010015585821892,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.037162360780627,0.0811961650310775,0.0100875737283892,121.35290846820736,92.76250515197664,0.0081757193717379,-2.2565313220159773,-1.729024432834434,-2.189498983448148,6.381,3.26,0.004
POSCAR_Al2Fe2_2,Al2Fe2_2,0.082671,2.7072609493717525,3.017882737368647,2.570592945174828,0.1542129115546461,178.13871768754902,58.4645112084831,100.71302286588224,32.56839605334549,127.97818547665204,25.080681680827528,21.98123115862513,2.8255991389549844,4.435807189862496,4.672421328051504,2.8255991389549844,3.4104013190236504,3.856149381194935,5.148496254174379,2.758931265224436,1.866119797571526,0.0539039257475346,0.0155835155593998,8,26,1.83,13,1.61,179.999002114271,3,28.68235180113501,57.364703602270005,0.5000000000000001,0.7937005259840999,0.0014800074848314,6.58282848340214e-17,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.3106217879968946,0.447289792193819,0.0569626857092394,119.67420647906592,102.8975037958245,0.0683367933593168,0.0,-1.0254058708388456,-0.8162719468565696,3.702,3.074,0.004
POSCAR_Al2Fe2_2_st025,Al2Fe2_2,0.013031,2.7749424731060457,3.093329805802852,2.634857768804189,0.1580682343435111,178.13871768754933,58.46451120848338,100.71302286588228,32.56839605334554,127.97818547665156,25.080681680827748,21.981231158625125,2.896239117428847,4.546702369609043,4.7892318612528,2.896239117428847,3.495661351999241,3.952553115724808,5.277208660528738,2.827904546855051,1.866119797571523,0.0539039257475343,0.0155835155593977,8,26,1.83,13,1.61,179.9990021150015,3,30.88775575759414,61.77551151518829,0.4999999999999999,0.7937005259840997,0.0014800074848389,6.373070077763995e-17,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.3183873326968061,0.4584720369986623,0.0569626862224268,119.67420647906596,102.8975037958238,0.0700452131932973,0.0,-1.0510410176098013,-0.8366787455279918,2.619,3.225,0.002
POSCAR_Al2Fe2_2_st950,Al2Fe2_2,0.013366,2.5718979019031645,2.8669886005002043,2.4420632979160777,0.1465022659769127,178.13871768754925,58.46451120848338,100.71302286588224,32.5683960533455,127.97818547665156,25.080681680827727,21.981231158625125,2.684319182007224,4.214016830369357,4.438800261648936,2.684319182007224,3.2398812530724683,3.6633419121351873,4.891071441465661,2.620984701963218,1.866119797571523,0.0539039257475344,0.0155835155593977,8,26,1.83,13,1.61,179.9990021150015,3,24.59153137549813,49.18306275099624,0.5000000000000001,0.7937005259840999,0.001480007484839,5.0466440721341016e-17,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.2950906985970398,0.4249253025841266,0.0569626846018338,119.67420647906587,102.89750379582384,0.0649199536913487,0.0,-0.9741355772968888,-0.7754583495137486,1.246,2.67,0.0
POSCAR_Al2Fe2_2_x025,Al2Fe2_2,0.027716,2.728173865878766,3.0179548492531216,2.598996394387893,0.1440073512055842,178.15883736433733,58.55756760783607,100.7063315710223,32.52564523908622,127.67554643801604,25.426935807852164,21.92676024042779,2.8369430426832745,4.486203820746385,4.679982197589986,2.8369430426832745,3.495661351993581,3.856149381228728,5.205380103574807,2.7735479593113226,1.876794697600006,0.0499815837464038,0.0154671542398248,8,26,1.83,13,1.61,179.99900873901436,3,29.39941059651377,58.79882119302754,0.5000000000000001,0.7937005259840999,0.0014921911128115,1.199209314461665e-16,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.2897809833743556,0.4189584548652285,0.0527852349226882,119.60126975650128,102.24861063016388,0.0637518163423582,0.0,-0.9905424687528042,-0.8238328163612576,3.166,3.16,0.0
POSCAR_Al2Fe2_2_x050,Al2Fe2_2,0.007001,2.749439681745009,3.0181811774426928,2.6277829965606365,0.1343876696249665,178.17869563033508,58.612961559521935,100.69925501343133,32.502479790785024,127.39037047351088,25.76135992343505,21.886982931948097,2.8371655686479405,4.536457537655131,4.687621640779698,2.8371655686479405,3.5809213850039137,3.856149381228729,5.263030392517301,2.786981902725626,1.8884336447861887,0.0463792577571536,0.0153516273814903,8,26,1.83,13,1.61,179.99901532837757,3,30.11646939209467,60.23293878418933,0.5000000000000001,0.7937005259840999,0.0015041724674566,1.0044366903728796e-16,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.2687414956976832,0.3903981808820562,0.0488781847585355,119.56573407081316,101.62901055007582,0.0591231290534903,0.0,-0.9555361526512168,-0.8314722595509689,1.63,3.175,0.0
POSCAR_Al2Fe2_2_x950,Al2Fe2_2,0.010943,2.57767804956519,2.7211038202254008,2.514987267514399,0.0848214650424796,178.09770671078363,67.01045372081293,101.10561834484292,35.09201159188835,90.82836597673128,34.90934359049551,19.65912606976652,2.750178359164253,2.8837000757252533,4.275149363709857,2.750178359164253,2.8837000757252533,3.2398812530940737,5.037131389332455,2.8963903870263565,1.7391065140579811,0.0837922316239548,0.2788163164831817,6,26,1.83,13,1.61,179.9968863550512,3,13.717904161617156,54.4964684232845,0.2517209749275415,0.6314027489757985,0.0020400558860151,6.95839462264934e-17,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.1434257706602109,0.2061165527110016,0.0329061389767619,111.0872529899707,55.91902238623577,0.0315536695452463,0.0,0.0,-1.035268110615783,1.769,2.784,0.001
POSCAR_Al2Fe2_2_x975,Al2Fe2_2,0.031944,2.6867123586221315,3.0179648528913834,2.5425854921119804,0.1648436923386949,178.11833954790205,57.76768307881983,100.71929441847487,32.63162829078597,128.4879831204813,24.72989550560696,22.05095301740985,2.7877308549679305,4.354931872786927,4.650282054732688,2.7877308549679305,3.325141286008929,3.856149381228729,5.130794485228732,2.7200002117455364,1.8863213550766929,0.0580813455707023,0.0157006193072024,8,26,1.83,13,1.61,179.99899546645776,3,27.96529300632902,55.93058601265803,0.5000000000000001,0.7937005259840999,0.001467622194453,8.48089697068171e-17,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.3312524942692518,0.475379360779403,0.0613551467296214,120.35065646908222,103.75808761487431,0.0728755487392354,0.0,-1.029790586777998,-0.7941326735039596,3.587,2.824,0.001
POSCAR_Al2Fe2_2_y025,Al2Fe2_2,0.014834,2.73364942424997,3.068620189538001,2.60651954622202,0.154009056749794,178.16456462708177,57.46298447449277,100.701444821448,32.68182589806294,127.76824865606956,24.960856371665034,22.023467149266857,2.826939043170166,2.9317511506893776,4.446979217145269,2.826939043170166,2.9317511506893776,3.4104013190489937,5.22110706403679,2.760190164292609,1.8915751282574675,0.0525651047091766,0.0156377385418446,8,26,1.83,13,1.61,179.99900477711398,3,29.399410596534928,58.79882119306984,0.5000000000000001,0.7937005259840999,0.0014717665615823,1.0340059153066695e-16,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.3349707652880309,0.4621006433159813,0.0563382411238808,120.70158015258896,102.80739228440454,0.0736935683633668,0.0,0.0,-1.036577898096275,2.961,3.138,0.002
POSCAR_Al2Fe2_2_y950,Al2Fe2_2,0.005462,2.655636024237681,2.9193495017601885,2.4999228252578214,0.1606751983330708,178.08543198377683,60.53487192701744,100.73544941089514,32.3969516145802,128.4616848736311,25.283872950271,21.946076479927346,2.789473044856618,4.404957687995861,4.561023367992162,2.789473044856618,3.4104013190489937,3.66334191214865,5.055127019090318,2.7570936794804157,1.8334984613373655,0.0588524985151076,0.0154815614895979,8,26,1.83,13,1.61,179.9989988150612,3,27.248234211736538,54.49646842347308,0.5,0.7937005259840997,0.0014961001289996,9.123251373332303e-17,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.2637134775225069,0.4194266765023671,0.0605034486515316,117.5505600567594,103.17781192336012,0.0580169650549515,0.0,-0.994556368946867,-0.8976814558435118,1.022,2.804,0.001
POSCAR_Al2Fe2_2_z050,Al2Fe2_2,0.017962,2.749431627629293,3.070458677701194,2.5712385583225243,0.1891210254371571,178.0456213131036,59.10432916976946,100.749266316318,32.49098087565345,129.46238010599188,24.60130872414164,22.07725286195724,2.8893746509648905,4.4663395919943465,4.748947318873537,2.8893746509648905,3.4104013190489937,3.856149381228728,5.311518721966241,2.8179649599895287,1.8848774904518253,0.0665556347880281,0.0157169332558792,8,26,1.83,13,1.61,179.99898641856768,3,30.11646939149833,60.232938782996655,0.5000000000000001,0.7937005259840999,0.0014712662866381,9.602334377618767e-17,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.3210270500719017,0.4992201193786703,0.0687854736052315,118.94129214333414,104.86107138185024,0.0706259510158183,0.0,-1.0559382729453528,-0.8927979376448083,2.822,2.914,0.0
POSCAR_Al2Fe2_2_z950,Al2Fe2_2,0.00829,2.6664737679940207,2.969778671553752,2.569949308006233,0.1285282433501435,178.23102216903033,56.58049772081604,100.6775435459216,32.70025089822934,126.93760032458783,25.502623387057803,21.969860357729587,2.7123239382716515,2.8371963209695803,4.3366202240365626,2.7123239382716515,2.8371963209695803,3.4104013190489937,5.148496254255827,2.651735320655288,1.941557369678792,0.0440555558262638,0.0154634597077137,8,26,1.83,13,1.61,179.99902247689803,3,27.24823421141232,54.49646842282464,0.5,0.7937005259840997,0.0014876377264195,5.648880830938152e-17,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.3033049035597313,0.3998293635475192,0.0482015599370681,121.65052444821428,101.43497693753002,0.0667270787831408,0.0,0.0,-0.9262189049875688,1.616,2.938,0.0
POSCAR_Al2Fe2_2_z975,Al2Fe2_2,0.006618,2.6866883959644445,2.993257775424299,2.5702708795323668,0.1398968737937467,178.18497649117472,57.54254522789917,100.69517100029196,32.62716696479147,127.45185501107368,25.308781088152077,21.96435084132897,2.768789244466872,4.386336325248738,4.619371883080697,2.768789244466872,3.4104013190489937,3.856149381228728,5.148496254255828,2.7058062774892493,1.9027586331986712,0.0484905891632852,0.0155216900462134,8,26,1.83,13,1.61,179.99901169034595,3,27.965293006348837,55.93058601269766,0.5000000000000001,0.7937005259840999,0.0014839696873771,7.728822266039223e-17,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.3065693794598543,0.422986895891932,0.052070356180316,120.64243126327555,102.1430739229216,0.0674452634811679,0.0,-0.9759350061997444,-0.7632225018519683,1.228,3.055,0.0
POSCAR_Al2Mn2_2,Al2Mn2_2,0.011028,2.7775300930027718,2.779077534373784,2.7763089630254543,0.0011676977278847,179.99617371252378,68.6785864633209,102.85642983724638,36.30799422792074,90.06931269552138,34.33676459297834,20.327174332856952,3.134982287301256,4.510200285269114,5.552626548748993,3.134982287301256,3.242718771321735,4.510200285269114,5.557931351178641,3.134985015539006,1.7728747919436294,0.000419135120025,5.459505610533119e-05,8,25,1.55,13,1.61,0.0124500586632234,3,32.96522043975359,65.93044087950716,0.5000000000000001,0.7937005259840999,1.5641076366869837e-06,2.4988464453156163e-06,6,1,5,4.9,-0.06,0.06,12,12,0.1666666388888935,0.0015474413710125,0.0027685713483296,0.0004204085170554,111.31758724920287,55.73254810254304,9.284648226075562e-05,0.0,-1.2674815139473794,-1.0424262634798789,2.083,4.106,0.003
POSCAR_Al2Mn2_2_st950,Al2Mn2_2,0.011499,2.638653588352632,2.640123657655095,2.6374935148741816,0.0011093128414905,179.99617371246927,68.6785864633209,102.8564298372424,36.30799422791229,90.06931269552138,34.33676459297831,20.327174332856952,2.978233172936194,4.284690271005658,5.274995221311542,2.978233172936194,3.080582832755648,4.284690271005658,5.280034783619708,2.978235764762056,1.7728747919436292,0.000419135120025,5.459505610535896e-05,8,25,1.55,13,1.61,0.0124500583119338,3,28.26355587453373,56.52711174906745,0.5000000000000001,0.7937005259840999,1.56410763668655e-06,2.4988464455994794e-06,6,1,5,4.9,-0.06,0.06,12,12,0.1666666388888935,0.0014700693024627,0.0026301427809132,0.0004204085090891,111.31758724914836,55.73254810254306,8.820415814776447e-05,0.0,-1.2041074382500103,-0.9903049503058838,2.432,3.786,0.002
POSCAR_Al2Mn2_2_st975,Al2Mn2_2,0.011657,2.7080918406777017,2.7096005960144387,2.706901238949817,0.0011385052846876,179.9961737126023,68.6785864633209,102.85642983724468,36.30799422791718,90.06931269552138,34.33676459297831,20.32717433285696,3.0566077301187247,4.397445278137385,5.413810885030268,3.0566077301187247,3.161650802038692,4.397445278137385,5.418983067399173,3.0566103901505315,1.7728747919436287,0.0004191351200249,5.459505610518773e-05,8,25,1.55,13,1.61,0.0124500584290303,3,30.55412361352723,61.10824722705447,0.4999999999999999,0.7937005259840997,1.5641076366874072e-06,2.498846445459704e-06,6,1,5,4.9,-0.06,0.06,12,12,0.1666666388888935,0.001508755336737,0.0026993570646212,0.0004204085131744,111.31758724928142,55.73254810254306,9.052532020422008e-05,0.0,-1.2357944760986936,-1.016365606892883,2.327,3.947,0.004
