filename,msg_type,bns,uni
Mn2Se4_1,3,58.397,495
Mn2Sn3_1,3,164.87,1317
Mn2Te2_1,3,194.269,1499
Mn2Te3_1,3,139.533,1193
Mn2Te4_1,3,58.397,495
Mn2Te8_1,3,14.79,86
Mn2Te8_2,3,15.88,95
Mn2Te8_3,3,12.62,69
Mn2Tl13_1,1,1.1,1
Mo2N2_2,3,194.269,1499
Mo2N2_4,3,186.206,1436
Mo2O3_1,3,65.485,583
Mo2O4_2,3,14.79,86
Mo2P4_4,3,58.397,495
Mo2P8_1,3,127.393,1053
Mo2Sb2_2,3,63.463,561
Mo2Se2_1,3,9.39,46
Mo2Sn4_1,3,140.549,1209
Mo2Sn5_1,3,12.60,67
Mo2Te2_1,3,15.89,96
N2V2_1,3,109.242,902
N2V2_7,3,186.206,1436
N4Nb2_4,3,194.269,1499
Nb2Se2_2,3,194.269,1499
Nb2Te2_4,3,194.269,1499
Ni2O2_5,3,194.269,1499
Ni2O4_1,3,58.397,495
Ni2O4_2,3,58.397,495
Ni2P4_1,3,58.397,495
Ni2P8_1,3,14.79,86
Ni2Pb1_1,3,139.533,1193
Ni2Pb2_1,3,194.269,1499
Ni2S4_2,3,58.397,495
Ni2Sb4_1,3,58.397,495
Ni2Se2_1,3,194.269,1499
Ni2Se2_2,3,194.269,1499
Ni2Se3_1,3,44.231,329
Ni2Se4_1,3,58.397,495
Ni2Te2_1,3,63.463,561
O2Rh2_7,4,12.63,70
O2Sc2_2,3,186.206,1436
O2Ti2_7,3,63.463,561
O2V2_3,3,194.269,1499
O2Y2_1,3,186.206,1436
O2Y2_4,3,131.439,1099
O4Rh2_1,3,136.498,1158
O4Ru2_1,3,136.498,1158
O4Ru2_2,3,46.244,342
O4V2_1,3,136.498,1158
O4V2_3,3,43.227,325
O4Y2_5,3,136.498,1158
O5Ru2_1,3,65.483,581
O6Rh2_1,3,167.107,1337
O6Ru2_2,3,5.15,22
P1Ru2_1,3,225.118,1620
P2Ru2_2,3,194.269,1499
P2V2_1,3,194.269,1499
P2V2_2,3,109.242,902
P2Zr2_2,3,109.242,902
P8V2_2,3,4.9,16
P8Zr2_1,3,14.79,86
Pb10Ru2_1,3,140.549,1209
Pb2Ru2_2,3,194.269,1499
Pb2Ru2_3,3,63.460,558
Pb2Sc2_3,3,194.269,1499
Pb3Ru2_1,3,12.60,67
Rh2S4_1,3,14.79,86
Rh2Tl2_1,3,194.269,1499
Ru2S2_1,3,186.206,1436
Ru2S2_2,3,36.175,273
Ru2S8_1,3,14.79,86
Ru2Si1_1,3,225.118,1620
Ru2Sn2_3,3,194.269,1499
S2Ti2_2,3,194.269,1499
S2V2_2,3,109.242,902
S2V2_3,3,186.206,1436
S2V2_4,3,194.269,1499
Sb2Ti2_1,3,63.463,561
Sc2Te2_1,3,194.269,1499
Se2Ti2_1,3,194.269,1499
Se2Ti2_4,3,109.242,902
Se2V2_1,3,194.269,1499
Te2V2_1,3,194.269,1499
Te4Ti2_1,3,2.6,6
Te4V2_1,3,8.34,41
Tl2Zr2_1,3,194.269,1499
