filename,parent,sse,msbi,msbi_shap,mpf,mpf_shap,pd_ratio,pd_ratio_shap
POSCAR_Al5Mn2_1_st025,Al5Mn2_1,0.013926,2.9866595e-05,-0.22792387,0.28703734,0.017335376,0.16666664,-0.0010386718
POSCAR_Al5Mn2_1_st050,Al5Mn2_1,0.015113,2.9866595e-05,-0.22057618,0.28703734,0.017010022,0.16666664,-0.00062315067
POSCAR_Al5Mn2_1_st975,Al5Mn2_1,0.015802,2.9866595e-05,-0.2342848,0.28703734,0.017499717,0.16666664,-0.002129017
POSCAR_Al5Mn2_1_x025,Al5Mn2_1,0.015286,2.9346429e-05,-0.23279011,0.28703734,0.016941186,0.16666664,-0.001552967
POSCAR_Al5Mn2_1_x050,Al5Mn2_1,0.015588,2.8838156e-05,-0.23334593,0.28703734,0.016703859,0.16666664,-0.0012579777
POSCAR_Al5Mn2_1_x950,Al5Mn2_1,0.014834,3.0942e-05,-0.23635733,0.28703734,0.01690593,0.16666664,-0.0017075074
POSCAR_Al5Mn2_1_x975,Al5Mn2_1,0.014906,3.0398518e-05,-0.23451014,0.28703734,0.016987508,0.16666664,-0.0019723673
POSCAR_Al5Mn2_1_y025,Al5Mn2_1,0.015101,3.0025341e-05,-0.23358338,0.28703734,0.017023502,0.16666664,-0.0016947292
POSCAR_Al5Mn2_1_y050,Al5Mn2_1,0.015316,3.0187859e-05,-0.23512633,0.28703734,0.016753174,0.16666664,-0.001722576
POSCAR_Al5Mn2_1_y950,Al5Mn2_1,0.014216,2.9562903e-05,-0.23702492,0.28703734,0.01663224,0.16666664,-0.0020678162
POSCAR_Al5Mn2_1_y975,Al5Mn2_1,0.01486,2.971223e-05,-0.23462234,0.28703734,0.0170583,0.16666664,-0.0018761612
POSCAR_Al5Mn2_1_z025,Al5Mn2_1,0.01486,3.0237314e-05,-0.23109894,0.28703734,0.017039843,0.16666664,-0.0011318857
POSCAR_Al5Mn2_1_z050,Al5Mn2_1,0.014306,3.0610398e-05,-0.23144858,0.28703734,0.01674011,0.16666664,-0.00043526842
POSCAR_Al5Mn2_1_z975,Al5Mn2_1,0.015625,2.9498628e-05,-0.23343047,0.28703734,0.017201357,0.16666664,-0.0019726017
POSCAR_As1V2_1,As1V2_1,0.010596,0.0020249558,-0.21333387,0.3550732,0.019273784,0.7499998,0.0075680087
POSCAR_As1V2_1_st050,As1V2_1,0.011958,0.0020249558,-0.21385834,0.5,0.019319361,0.7499998,0.007316112
POSCAR_As1V2_1_x025,As1V2_1,0.006343,0.0020056148,-0.2136953,0.5,0.019364906,0.7499998,0.007623552
POSCAR_As1V2_1_x050,As1V2_1,0.005809,0.0019867055,-0.21335952,0.5,0.019245185,0.7499998,0.007626714
POSCAR_As1V2_1_x950,As1V2_1,0.005735,0.002064894,-0.21314745,0.5,0.019370982,0.7499998,0.007529824
POSCAR_As1V2_1_x975,As1V2_1,0.006191,0.0020447194,-0.21302418,0.3550732,0.019319365,0.7499998,0.0076308222
POSCAR_As1V2_1_y025,As1V2_1,0.006241,0.002029407,-0.21302532,0.5,0.019299164,0.7499998,0.007628131
POSCAR_As1V2_1_y050,As1V2_1,0.005902,0.0020335312,-0.21314146,0.35196742,0.019114207,0.7499998,0.007689021
POSCAR_As1V2_1_y950,As1V2_1,0.006592,0.0020149832,-0.21311721,0.5,0.019380447,0.7499998,0.007475863
POSCAR_As1V2_1_y975,As1V2_1,0.005919,0.0020201558,-0.2137434,0.35196742,0.019285163,0.7499998,0.0076084333
POSCAR_As1V2_1_z025,As1V2_1,0.005736,0.0020399212,-0.21341789,0.34338284,0.019177241,0.7499998,0.0073815477
POSCAR_As1V2_1_z050,As1V2_1,0.006135,0.002054931,-0.21308665,0.33520707,0.019256461,0.7499998,0.007335382
POSCAR_As1V2_1_z950,As1V2_1,0.006102,0.0014712558,-0.1963763,0.16666667,0.00069375447,0.7499998,0.0061519537
POSCAR_As1V2_1_z975,As1V2_1,0.006598,0.0020100682,-0.21374778,0.5,0.019355904,0.7499998,0.0076601724
POSCAR_As2Cr2_1,As2Cr2_1,0.740445,0.3944287,0.03394678,0.25,0.04276446,0.5999999,0.014049083
POSCAR_As2Cr2_1_st025,As2Cr2_1,0.748907,0.3944287,0.033822786,0.25,0.04234824,0.5999999,0.013987243
POSCAR_As2Cr2_1_st950,As2Cr2_1,0.779899,0.3944287,0.034888975,0.25,0.043364894,0.5999999,0.013450116
POSCAR_As2Cr2_1_st975,As2Cr2_1,0.709517,0.3944287,0.03456073,0.25,0.04257498,0.5999999,0.013752553
POSCAR_As2Cr2_1_z025,As2Cr2_1,0.688894,0.39221802,0.034150194,0.25,0.04260888,0.5999999,0.013879941
POSCAR_As2Cr2_1_z050,As2Cr2_1,0.670694,0.38994727,0.03309987,0.25,0.042127572,0.5999999,0.0131944325
POSCAR_As2Cr2_1_z950,As2Cr2_1,0.868294,0.3986514,0.037512664,0.25,0.043302767,0.5999999,0.014149857
POSCAR_As2Cr2_1_z975,As2Cr2_1,0.805968,0.3965747,0.034792345,0.25,0.042977285,0.5999999,0.014135332
POSCAR_As2Cr2_4,As2Cr2_4,0.014335,0.0015399285,-0.21201667,0.25,0.018362572,0.5999999,0.007218977
POSCAR_As2Cr2_4_st025,As2Cr2_4,0.013762,0.0015399285,-0.21169662,0.25,0.018354248,0.5999999,0.0072525805
POSCAR_As2Cr2_4_st050,As2Cr2_4,0.012103,0.0015399285,-0.21100536,0.25,0.018238047,0.5999999,0.007245157
POSCAR_As2Cr2_4_st950,As2Cr2_4,0.018884,0.0015399285,-0.21342199,0.25,0.018226102,0.5999999,0.007240541
POSCAR_As2Cr2_4_st975,As2Cr2_4,0.015725,0.0015399285,-0.2124445,0.25,0.018290903,0.5999999,0.0072791474
POSCAR_As2Cr2_4_x025,As2Cr2_4,0.016136,0.0015498452,-0.2136205,0.25,0.018445473,0.5999999,0.0071404786
POSCAR_As2Cr2_4_x050,As2Cr2_4,0.013975,0.001560033,-0.21369506,0.25,0.017844807,0.5999999,0.007466916
POSCAR_As2Cr2_4_x950,As2Cr2_4,0.017682,0.0015209696,-0.21567674,0.25,0.016691692,0.5999999,0.007879038
POSCAR_As2Cr2_4_x975,As2Cr2_4,0.017416,0.001530298,-0.214526,0.25,0.017641341,0.5999999,0.007517253
POSCAR_As2Cr2_4_y025,As2Cr2_4,0.014218,0.0015635573,-0.21441267,0.25,0.018325275,0.5999999,0.00704537
POSCAR_As2Cr2_4_y050,As2Cr2_4,0.014009,0.0015876492,-0.21498512,0.25,0.017753748,0.5999999,0.0074459226
POSCAR_As2Cr2_4_y950,As2Cr2_4,0.017292,0.0014941891,-0.21416417,0.25,0.016762653,0.5999999,0.007943435
POSCAR_As2Cr2_4_y975,As2Cr2_4,0.01333,0.0015167949,-0.21365505,0.25,0.017751398,0.5999999,0.007660578
POSCAR_As2Cr2_4_z025,As2Cr2_4,0.01425,0.0015072984,-0.21223372,0.25,0.017662596,0.5999999,0.0076757893
POSCAR_As2Cr2_4_z050,As2Cr2_4,0.015783,0.0014757137,-0.21279667,0.25,0.015989996,0.5999999,0.007612554
POSCAR_As2Cr2_4_z975,As2Cr2_4,0.01708,0.0015736333,-0.21141014,0.25,0.018401897,0.5999999,0.0071641766
POSCAR_As2Mo2_1,As2Mo2_1,0.787982,0.40840688,0.064909786,0.25,0.05170086,0.5999999,0.020800088
POSCAR_As2Mo2_1_st025,As2Mo2_1,0.793091,0.40840688,0.06163009,0.25,0.049324475,0.5999999,0.019038597
POSCAR_As2Mo2_1_st050,As2Mo2_1,1.034625,0.40840688,0.061116528,0.25,0.047392104,0.5999999,0.019052884
POSCAR_As2Mo2_1_st950,As2Mo2_1,0.91958,0.40840688,0.065785736,0.25,0.054130856,0.5999999,0.021296125
POSCAR_As2Mo2_1_st975,As2Mo2_1,0.851399,0.40840688,0.0654775,0.25,0.052782048,0.5999999,0.021159822
POSCAR_As2Mo2_1_z025,As2Mo2_1,0.825663,0.4080372,0.063630275,0.25,0.050945833,0.5999999,0.020192893
POSCAR_As2Mo2_1_z050,As2Mo2_1,0.85641,0.4076437,0.061731867,0.25,0.050553214,0.5999999,0.01899976
POSCAR_As2Mo2_1_z950,As2Mo2_1,0.765184,0.4090798,0.06836209,0.25,0.0526794,0.5999999,0.021398427
POSCAR_As2Mo2_1_z975,As2Mo2_1,0.865291,0.40875396,0.06688899,0.25,0.053107448,0.5999999,0.021924661
POSCAR_As2Mo2_3,As2Mo2_3,0.669785,0.5948025,0.059803195,0.33333334,0.03520442,0.5999999,0.018316537
POSCAR_As2Mo2_3_st975,As2Mo2_3,0.083541,0.5948025,0.062041517,0.33333334,0.03585286,0.5999999,0.019425008
POSCAR_As2Mo2_3_x950,As2Mo2_3,0.750309,0.5828958,0.059091575,0.33333334,0.03411807,0.5999999,0.01641782
POSCAR_As2Mo2_3_x975,As2Mo2_3,0.77387,0.5888118,0.061010312,0.33333334,0.036926534,0.5999999,0.018643238
POSCAR_As2Mo2_3_y975,As2Mo2_3,0.7735,0.588811,0.06100584,0.33333334,0.037004303,0.5999999,0.018643333
POSCAR_As2Mo2_4,As2Mo2_4,0.013832,0.0010658331,-0.24454719,0.33333334,0.01987683,0.5999999,0.008570244
POSCAR_As2Mo2_4_st025,As2Mo2_4,0.012847,0.0010658331,-0.24231735,0.33333334,0.01988446,0.5999999,0.00852724
POSCAR_As2Mo2_4_st050,As2Mo2_4,0.015537,0.0010658331,-0.24087483,0.33333334,0.019876057,0.5999999,0.008368559
POSCAR_As2Mo2_4_st975,As2Mo2_4,0.014885,0.0010658331,-0.24629569,0.33333334,0.019954382,0.5999999,0.008530267
POSCAR_As2Mo2_4_x025,As2Mo2_4,0.014758,0.0010523763,-0.24462987,0.33333334,0.019893086,0.5999999,0.008595606
POSCAR_As2Mo2_4_y025,As2Mo2_4,0.013445,0.0010517464,-0.24468069,0.33333334,0.019756392,0.5999999,0.00863786
POSCAR_As2Mo2_4_z050,As2Mo2_4,0.013309,0.0015297891,-0.20969225,0.5469654,0.022653202,0.5999999,0.0074283145
POSCAR_As2Mo2_4_z950,As2Mo2_4,0.013513,0.0010098474,-0.24526666,0.33333334,0.019956622,0.5999999,0.008599561
POSCAR_As2Mo2_4_z975,As2Mo2_4,0.013802,0.0010380218,-0.24519287,0.33333334,0.01991214,0.5999999,0.008557537
POSCAR_As2Nb2_2,As2Nb2_2,0.014892,0.5555146,0.051892444,0.33333334,0.023110656,0.7499998,0.01435764
POSCAR_As2Nb2_2_y025,As2Nb2_2,0.005726,0.5617437,0.052505437,0.33333334,0.024015635,0.7499998,0.014950457
POSCAR_As2Ni2_1,As2Ni2_1,0.039255,0.7224368,0.07738021,0.33333334,0.036525123,0.33333328,0.007145396
POSCAR_As2Ni2_1_x025,As2Ni2_1,0.006353,0.72748053,0.07845976,0.33333334,0.040104255,0.33333328,0.0085520735
POSCAR_As2Ni2_1_x050,As2Ni2_1,0.006627,0.7325797,0.07344835,0.33333334,0.03683378,0.33333328,0.008621698
POSCAR_As2Ni2_1_y025,As2Ni2_1,0.00749,0.7274806,0.07845707,0.33333334,0.040100276,0.33333328,0.008552269
POSCAR_As2Ni2_1_y050,As2Ni2_1,0.007334,0.7325798,0.07351869,0.33333334,0.036843866,0.33333328,0.008592238
POSCAR_As2Ni2_1_z050,As2Ni2_1,0.015835,0.7024518,0.08033367,0.33333334,0.03878687,0.33333328,0.0067602415
POSCAR_As2Ru2_2,As2Ru2_2,0.418411,0.638443,0.07125059,0.33333334,0.033551246,0.42857137,0.023760114
POSCAR_As2Ru2_2_st025,As2Ru2_2,0.466105,0.638443,0.071654834,0.33333334,0.03423597,0.42857137,0.02409779
POSCAR_As2Ru2_2_st050,As2Ru2_2,0.453433,0.638443,0.07112774,0.33333334,0.03442292,0.42857137,0.02394392
POSCAR_As2Ru2_2_st950,As2Ru2_2,0.498606,0.638443,0.06995195,0.33333334,0.032248713,0.42857137,0.025465138
POSCAR_As2Ru2_2_st975,As2Ru2_2,0.454282,0.638443,0.070113376,0.33333334,0.032652438,0.42857137,0.023587389
POSCAR_As2Ru2_2_x950,As2Ru2_2,0.512908,0.62693423,0.062825695,0.33333334,0.032541256,0.42857137,0.02317591
POSCAR_As2Ru2_2_x975,As2Ru2_2,0.448862,0.63265294,0.06634242,0.33333334,0.032803908,0.42857137,0.02339201
POSCAR_As2Ru2_2_y950,As2Ru2_2,0.531928,0.62714624,0.06340044,0.33333334,0.032303095,0.42857137,0.02316145
POSCAR_As2Ru2_2_y975,As2Ru2_2,0.472193,0.63275737,0.06154247,0.33333334,0.0339057,0.42857137,0.023582287
POSCAR_As2Ru2_2_z025,As2Ru2_2,0.414503,0.62696654,0.06427533,0.33333334,0.03149586,0.42857137,0.023447182
POSCAR_As2Ru2_2_z950,As2Ru2_2,0.412548,0.66177285,0.07661075,0.33333334,0.035945777,0.42857137,0.02334385
POSCAR_As2Ru2_2_z975,As2Ru2_2,0.418625,0.65004814,0.07418063,0.33333334,0.034153763,0.42857137,0.02391715
POSCAR_As2V2_1,As2V2_1,0.656042,0.67974555,0.068841994,0.33333334,0.040512096,0.7499998,0.01846715
POSCAR_As2V2_1_st025,As2V2_1,0.663176,0.67974555,0.06815714,0.33333334,0.04050825,0.7499998,0.018811595
POSCAR_As2V2_1_st050,As2V2_1,0.646659,0.67974555,0.06754283,0.33333334,0.04033001,0.7499998,0.018983003
POSCAR_As2V2_1_st950,As2V2_1,0.603654,0.67974555,0.07010688,0.33333334,0.040875804,0.7499998,0.018768175
POSCAR_As2V2_1_st975,As2V2_1,0.692128,0.67974555,0.07001053,0.33333334,0.04059492,0.7499998,0.018555136
POSCAR_As2V2_1_x025,As2V2_1,0.671571,0.6847433,0.06869531,0.33333334,0.040497504,0.7499998,0.018608155
POSCAR_As2V2_1_x050,As2V2_1,0.641712,0.68980163,0.06758928,0.33333334,0.040777955,0.7499998,0.018190231
POSCAR_As2V2_1_x950,As2V2_1,0.664676,0.66996366,0.06795794,0.33333334,0.037626937,0.7499998,0.018005747
POSCAR_As2V2_1_x975,As2V2_1,0.658972,0.6748163,0.068809815,0.33333334,0.039479304,0.7499998,0.018017493
POSCAR_As2V2_1_y025,As2V2_1,0.62144,0.68571174,0.06859086,0.33333334,0.039211947,0.7499998,0.018049825
POSCAR_As2V2_1_y050,As2V2_1,0.566872,0.69170433,0.06918048,0.33333334,0.03827203,0.7499998,0.017969081
POSCAR_As2V2_1_y950,As2V2_1,0.569024,0.66793036,0.068155736,0.33333334,0.041350007,0.7499998,0.018518556
POSCAR_As2V2_1_y975,As2V2_1,0.672284,0.67381513,0.06887686,0.33333334,0.04052893,0.7499998,0.018518822
POSCAR_As2V2_1_z025,As2V2_1,0.642444,0.66887116,0.0678858,0.33333334,0.040250484,0.7499998,0.01899839
POSCAR_As2V2_1_z050,As2V2_1,0.68471,0.6580834,0.06617778,0.33333334,0.03967439,0.7499998,0.01938184
POSCAR_As2V2_1_z950,As2V2_1,0.602593,0.7017174,0.07147431,0.33333334,0.04089419,0.7499998,0.018457828
POSCAR_As2V2_1_z975,As2V2_1,0.661991,0.69069755,0.070247106,0.33333334,0.040687848,0.7499998,0.018705286
POSCAR_As2V2_2,As2V2_2,0.82987,0.40512404,0.056224447,0.25,0.059772935,0.7499998,0.011755329
POSCAR_As2V2_2_st025,As2V2_2,0.811532,0.40512404,0.053155087,0.25,0.05297801,0.7499998,0.011866387
POSCAR_As2V2_2_st050,As2V2_2,0.828835,0.40512404,0.052700475,0.25,0.051260635,0.7499998,0.012040716
POSCAR_As2V2_2_st950,As2V2_2,1.141372,0.40512404,0.06296962,0.25,0.06766724,0.7499998,0.013890524
POSCAR_As2V2_2_st975,As2V2_2,0.899129,0.40512404,0.058252983,0.25,0.06266506,0.7499998,0.011595219
POSCAR_As2V2_2_z025,As2V2_2,0.73057,0.4044879,0.0544985,0.25,0.05299596,0.7499998,0.01192447
POSCAR_As2V2_2_z050,As2V2_2,0.765801,0.40381855,0.052889347,0.25,0.051110964,0.7499998,0.013408638
POSCAR_As2V2_2_z950,As2V2_2,1.054532,0.4062993,0.057474326,0.25,0.062059544,0.7499998,0.016072888
POSCAR_As2V2_2_z975,As2V2_2,0.95361,0.40572754,0.054655753,0.25,0.060239255,0.7499998,0.013728151
POSCAR_As4Cr2_1,As4Cr2_1,0.333181,0.42849547,0.064223014,0.19814426,0.025143657,0.5999999,0.015261087
POSCAR_As4Cr2_1_st025,As4Cr2_1,0.334313,0.42849547,0.06366377,0.19814426,0.025717694,0.5999999,0.015386968
POSCAR_As4Cr2_1_st050,As4Cr2_1,0.392161,0.42849547,0.06378099,0.19814426,0.025979726,0.5999999,0.0154995145
POSCAR_As4Cr2_1_st950,As4Cr2_1,0.453544,0.42849547,0.06333395,0.19814426,0.02382881,0.5999999,0.015370262
POSCAR_As4Cr2_1_st975,As4Cr2_1,0.353122,0.42849547,0.063873015,0.19814426,0.024500273,0.5999999,0.015152563
POSCAR_As4Cr2_1_x025,As4Cr2_1,0.328265,0.423865,0.06407922,0.19814426,0.025259534,0.5999999,0.015429938
POSCAR_As4Cr2_1_x050,As4Cr2_1,0.339924,0.4192351,0.063562594,0.19814426,0.024848303,0.5999999,0.015653089
POSCAR_As4Cr2_1_x950,As4Cr2_1,0.366618,0.4377421,0.06451926,0.19814426,0.025402239,0.5999999,0.01555503
POSCAR_As4Cr2_1_x975,As4Cr2_1,0.351546,0.43312255,0.06466283,0.19814426,0.025341343,0.5999999,0.015388533
POSCAR_As4Cr2_1_y025,As4Cr2_1,0.328938,0.42693695,0.062093616,0.19814426,0.025001597,0.5999999,0.015309503
POSCAR_As4Cr2_1_y050,As4Cr2_1,0.329224,0.42543006,0.06282889,0.19814426,0.02493664,0.5999999,0.0152843585
POSCAR_As4Cr2_1_y950,As4Cr2_1,0.350698,0.43176934,0.06497649,0.19814426,0.024332142,0.5999999,0.015366144
POSCAR_As4Cr2_1_y975,As4Cr2_1,0.339696,0.4301061,0.06516999,0.19814426,0.024210058,0.5999999,0.0149564305
POSCAR_As4Cr2_1_z025,As4Cr2_1,0.321711,0.43470982,0.06708981,0.19814426,0.0247088,0.5999999,0.015239565
POSCAR_As4Cr2_1_z050,As4Cr2_1,0.32385,0.44092152,0.065959506,0.19814426,0.0247909,0.5999999,0.01533554
POSCAR_As4Cr2_1_z950,As4Cr2_1,0.405449,0.41608,0.06202912,0.19814426,0.024219092,0.5999999,0.015690032
POSCAR_As4Cr2_1_z975,As4Cr2_1,0.337858,0.42228368,0.06268443,0.19814426,0.024662558,0.5999999,0.015114304
POSCAR_As4Fe2_1,As4Fe2_1,0.90515,0.46093237,0.053809576,0.19361416,0.015915118,0.42857137,0.025297396
POSCAR_As4Fe2_1_st050,As4Fe2_1,0.728886,0.46093237,0.054662075,0.19361416,0.01641556,0.42857137,0.026619034
POSCAR_As4Fe2_1_st950,As4Fe2_1,0.572258,0.46093237,0.05364999,0.19361416,0.014418281,0.42857137,0.025502842
POSCAR_As4Fe2_1_st975,As4Fe2_1,0.679322,0.46093237,0.054040734,0.19361416,0.014737555,0.42857137,0.025682935
POSCAR_As4Fe2_1_x025,As4Fe2_1,0.812578,0.4555045,0.05428023,0.19361416,0.016558,0.42857137,0.025473382
POSCAR_As4Fe2_1_x050,As4Fe2_1,0.867575,0.45008975,0.05331053,0.19361416,0.017333478,0.42857137,0.025452578
POSCAR_As4Fe2_1_x950,As4Fe2_1,0.814144,0.47180888,0.05523622,0.19361416,0.014734498,0.42857137,0.025562366
POSCAR_As4Fe2_1_x975,As4Fe2_1,0.928886,0.4663688,0.054257616,0.19361416,0.015063942,0.42857137,0.025231022
POSCAR_As4Fe2_1_y025,As4Fe2_1,0.805026,0.4606254,0.054194145,0.19361416,0.016571261,0.42857137,0.02576615
POSCAR_As4Fe2_1_y050,As4Fe2_1,0.785912,0.4603439,0.05275334,0.19361416,0.017414294,0.42857137,0.025452947
POSCAR_As4Fe2_1_y975,As4Fe2_1,0.936586,0.46126541,0.054350317,0.19361416,0.015244584,0.42857137,0.025042884
