trial_number,value,best_sse_overall
248,0.3232772946357727,0.836790919303894
249,0.4652005434036255,0.836790919303894
250,0.7280005216598511,0.836790919303894
251,0.3351673185825348,0.836790919303894
252,0.5600131750106812,0.836790919303894
253,0.662969708442688,0.836790919303894
254,0.5863944292068481,0.836790919303894
255,0.5232298374176025,0.836790919303894
256,0.7260270118713379,0.836790919303894
257,0.6132466793060303,0.836790919303894
258,0.5355494022369385,0.836790919303894
259,0.7308377027511597,0.836790919303894
260,0.6190866231918335,0.836790919303894
261,0.4537833929061889,0.836790919303894
262,0.6942126750946045,0.836790919303894
263,0.6061497926712036,0.836790919303894
264,0.6658704280853271,0.836790919303894
265,0.6958675384521484,0.836790919303894
266,0.6648906469345093,0.836790919303894
267,0.5016590356826782,0.836790919303894
268,0.4672257006168365,0.836790919303894
269,0.6623233556747437,0.836790919303894
270,0.6851516962051392,0.836790919303894
271,0.6815974712371826,0.836790919303894
272,0.596676230430603,0.836790919303894
273,0.6237467527389526,0.836790919303894
274,0.5344921350479126,0.836790919303894
275,0.6869434118270874,0.836790919303894
276,0.7055727243423462,0.836790919303894
277,0.5196552276611328,0.836790919303894
278,0.6917198896408081,0.836790919303894
279,0.7418650388717651,0.836790919303894
280,0.342109203338623,0.836790919303894
281,0.6283650398254395,0.836790919303894
282,0.6012977361679077,0.836790919303894
283,0.529787540435791,0.836790919303894
284,0.7142176628112793,0.836790919303894
285,0.6067196130752563,0.836790919303894
286,0.6701871156692505,0.836790919303894
287,0.5576483011245728,0.836790919303894
288,0.6963855028152466,0.836790919303894
289,0.6546813249588013,0.836790919303894
290,0.645358681678772,0.836790919303894
291,0.5998066663742065,0.836790919303894
292,0.6478546857833862,0.836790919303894
293,0.716834306716919,0.836790919303894
294,0.345256894826889,0.836790919303894
295,0.5680191516876221,0.836790919303894
296,0.3959626853466034,0.836790919303894
297,0.74318528175354,0.836790919303894
298,0.7356622219085693,0.836790919303894
299,0.5431103706359863,0.836790919303894
300,0.7110347747802734,0.836790919303894
301,0.7614988088607788,0.836790919303894
302,0.5491387844085693,0.836790919303894
303,0.7378486394882202,0.836790919303894
304,0.3939587771892547,0.836790919303894
305,0.5522252321243286,0.836790919303894
306,0.4519834518432617,0.836790919303894
307,0.643462061882019,0.836790919303894
308,0.4212124943733215,0.836790919303894
309,0.5846844911575317,0.836790919303894
310,0.6945046186447144,0.836790919303894
311,0.6795949935913086,0.836790919303894
312,0.2945596277713775,0.836790919303894
313,0.511053204536438,0.836790919303894
314,0.7062366008758545,0.836790919303894
315,0.5082401037216187,0.836790919303894
316,0.6029548645019531,0.836790919303894
317,0.7908141613006592,0.836790919303894
318,0.6472206115722656,0.836790919303894
