filename,kp_idx,band,spin,mag_elem,nonmag_elem,s_tot,s_mag_tot,d_mag_tot,s_nonmag_tot,p_nonmag_tot,p_tot,d_tot,total_occ,s_global,p_global,d_global,pd_hybrid_minimum,pd_hybrid_geometric,pd_hybrid_product,p_to_d_ratio,sse,pd_ratio
POSCAR_F4Fe2_2_z050,282,21,down,Fe,F,0.015,0.012,0.42000000000000004,0.003,0.47200000000000003,0.47200000000000003,0.42000000000000004,0.907,0.0165380374862183,0.5203969128996693,0.4630650496141125,0.926130099228225,0.9817894321918856,0.9639104891636653,1.1238095238095238,0.011973,0.7142856122449125
POSCAR_F4Fe2_2_z050,282,21,up,Fe,F,0.015,0.012,0.42100000000000004,0.003,0.47100000000000003,0.47100000000000003,0.42100000000000004,0.907,0.0165380374862183,0.5192943770672547,0.46416758544652703,0.9283351708930541,0.9819157135707035,0.9641584685570639,1.1187648456057007,0.011973,0.7142856122449125
POSCAR_F4Fe2_2_z950,293,21,down,Fe,F,0.007,0.003,0.504,0.004,0.41100000000000003,0.41100000000000003,0.504,0.922,0.007592190889370932,0.44577006507592193,0.5466377440347071,0.8915401301518439,0.9872684391416684,0.9746989709252262,0.8154761904761906,0.013903,0.7142856122449125
POSCAR_F4Fe2_2_z950,293,21,up,Fe,F,0.007,0.003,0.507,0.004,0.41200000000000003,0.41200000000000003,0.507,0.926,0.007559395248380129,0.4449244060475162,0.5475161987041036,0.8898488120950324,0.9871237399836298,0.9744132780392687,0.8126232741617357,0.013903,0.7142856122449125
POSCAR_F4Fe2_2_z975,293,21,down,Fe,F,0.007,0.004,0.487,0.003,0.425,0.425,0.487,0.919,0.007616974972796518,0.4624591947769314,0.529923830250272,0.9249183895538629,0.9900871634975339,0.9802725913225924,0.8726899383983573,0.013303,0.7142856122449125
POSCAR_F4Fe2_2_z975,293,21,up,Fe,F,0.007,0.004,0.488,0.003,0.425,0.425,0.488,0.9199999999999999,0.007608695652173914,0.46195652173913043,0.5304347826086957,0.9239130434782609,0.9900258727596261,0.9801512287334594,0.8709016393442623,0.013303,0.7142856122449125
POSCAR_F4Mn2_1,250,26,down,Mn,F,0.004,0.0,0.626,0.004,0.30200000000000005,0.30200000000000005,0.626,0.932,0.004291845493562232,0.32403433476394855,0.6716738197424892,0.6480686695278971,0.933049579301374,0.8705815174344711,0.4824281150159745,0.293119,0.8333331944444675
POSCAR_F4Mn2_1,250,26,up,Mn,F,0.021,0.007,0.705,0.014,0.2,0.2,0.705,0.9259999999999999,0.02267818574514039,0.21598272138228944,0.7613390928725702,0.4319654427645789,0.8110143998064185,0.6577443566933653,0.28368794326241137,0.293119,0.8333331944444675
POSCAR_F4Mn2_1_st025,250,26,down,Mn,F,0.002,0.0,0.585,0.002,0.3370000000000001,0.3370000000000001,0.585,0.924,0.0021645021645021645,0.3647186147186148,0.6331168831168831,0.7294372294372296,0.9610608983105218,0.923638050261427,0.5760683760683762,0.306416,0.8333331944444675
POSCAR_F4Mn2_1_st025,250,26,up,Mn,F,0.017,0.007,0.6749999999999999,0.01,0.224,0.224,0.6749999999999999,0.9159999999999999,0.018558951965065504,0.24454148471615722,0.7368995633187773,0.48908296943231444,0.849005331669152,0.7208100532026468,0.3318518518518519,0.306416,0.8333331944444675
POSCAR_F4Mn2_1_st050,250,26,down,Mn,F,0.007,0.002,0.553,0.005,0.367,0.367,0.553,0.927,0.007551240560949299,0.3959007551240561,0.5965480043149947,0.7918015102481122,0.9719543309766258,0.9446952215042203,0.6636528028933092,0.323907,0.8333331944444675
POSCAR_F4Mn2_1_st050,250,26,up,Mn,F,0.014,0.006,0.632,0.008,0.262,0.262,0.632,0.908,0.015418502202643172,0.28854625550660795,0.6960352422907489,0.5770925110132159,0.8962998669276487,0.8033534514545208,0.41455696202531644,0.323907,0.8333331944444675
POSCAR_F4Mn2_1_st950,249,26,down,Mn,F,0.019,0.005,0.6940000000000001,0.014,0.24300000000000002,0.24300000000000002,0.6940000000000001,0.9560000000000001,0.019874476987447695,0.25418410041841005,0.7259414225941423,0.5083682008368201,0.8591222671041717,0.7380910698342117,0.35014409221902015,0.304378,0.8333331944444675
POSCAR_F4Mn2_1_st950,249,26,up,Mn,F,0.022,0.006,0.745,0.016,0.176,0.176,0.745,0.943,0.02332979851537646,0.18663838812301167,0.7900318133616119,0.37327677624602335,0.767985062906073,0.5898010568468449,0.23624161073825503,0.304378,0.8333331944444675
