cohort,feature,d_log_mean,d_log_sd,d_eV_mean,neg
full,dimension,-0.0007190134938434955,0.009206747334343382,-0.0003911762424911591,12
full,d_global_local_3rd,-0.0005241293854211127,0.007497468882906752,-0.00069908223905642,11
full,avg_s,-0.0004771130682708402,0.00848731447475742,-7.466790685737856e-05,11
full,motif0_nonmag_count,0.00023170027090191892,0.00803908846171249,0.0009135376945667905,7
full,avg_motif_measure,0.0003716078187665228,0.008238568132361757,0.00034218218309667867,9
full,ax_eq_gap,0.0004064576562637645,0.007520974184628976,4.27567910508797e-05,10
full,nonmagnetic_electronegativity,0.0008009355044187649,0.007493059856482007,0.0002505289344624462,11
full,abs_delta_Z,0.0008549487778634734,0.0077312749381124,0.00036248948241888177,9
full,avg_axis_ratio,0.0009154593876972595,0.00835110856963835,0.0014980148943375792,9
full,labelled_3rd,0.0010325978674250059,0.007688716403741418,0.001255135248125716,9
full,global_1st,0.0012810868910321572,0.00874164504200091,0.0018317903651348388,10
full,p_metric_std,0.0013433076115384023,0.009891627804767262,6.305252273398066e-05,7
full,delta_chi_times_axeq,0.0014872402826352938,0.006892639433271567,0.0012980542065395395,11
full,unit_cell_volume,0.0015245512597966305,0.00782489732719467,0.0016643145765661172,7
full,bond_cv,0.00180463995735341,0.007346100359603091,0.001745040478780152,9
full,labelled_2nd,0.001878531136841033,0.007965106612178181,0.002073663233911993,9
full,nonmagnetic_atomic_number,0.0022044558155614067,0.007537460272775273,0.0021808861894772546,8
full,global_2nd,0.0022896266909534003,0.008805516464737028,0.0025335567168411066,9
full,d_global_local_2nd,0.002313143370334092,0.006393012877885412,0.0020243801153320418,8
full,nonmag_angle_spread,0.0024266289373211956,0.006238901025702728,0.0023583613353878987,7
full,magnetic_atomic_number,0.002476082827458481,0.008998478990393036,0.0031973203274942297,7
full,avg_long_axis,0.002610760485521291,0.007438608343712584,0.0029096413271286147,7
full,nonmag_min_angle,0.0026526248159664477,0.008629674103461667,0.0030967585229916437,10
full,bond_range,0.002729568050032366,0.007239443542721792,0.0028775838292881273,8
full,proxy_M_magnet,0.002791470724316086,0.008746570690481003,0.004312149114193614,9
full,max_bond_length,0.0030212868559247484,0.007991242793016528,0.0035465189503839146,8
full,global_3rd,0.003025066794607334,0.008233750553133624,0.0035855701167876895,8
full,center_angle_spread,0.003053071339824459,0.006710184928902582,0.0029031867484973772,8
full,delta_chi,0.0031808992878460452,0.0087886707830146,0.003802058064374947,8
full,d_global_local_1st,0.0033306751026852986,0.007446625366856492,0.0026615206110868262,8
full,delta_Z,0.003366000881867365,0.007204114451957248,0.003453232268492079,7
full,min_bond_length,0.0033812703166724136,0.008294125072592287,0.004231550615892143,8
full,center_min_angle,0.0034615239670093443,0.007541034061595343,0.003780413026984719,7
full,abs_delta_chi,0.0036559260484827884,0.00848878376373718,0.00423376346496146,6
full,nonmag_max_angle,0.003694983341845248,0.008286892063338866,0.004232281715055963,7
full,std_bond_length,0.003699120597163763,0.0072632169218888,0.004221234153851261,7
full,avg_bond_length,0.004254271021321715,0.009775715191765642,0.004932971161371374,9
full,avg_delta,0.0045471340327390645,0.008769625541885399,0.006051894414698162,7
full,center_std_angle,0.004553516304956528,0.007784248897441812,0.00538186581315428,5
full,center_avg_angle,0.004992745995431336,0.0078119357827770896,0.005512012704633568,5
full,center_max_angle,0.008479790776285778,0.006091175110981053,0.010428080534973655,2
