cohort,feature,seed,r2_log,r2_eV,n_tr,n_par,frac_am
am,p_metric,901,0.5867148460045699,0.5759774544108702,2272.8,195.2,1.0
am,p_metric,1012,0.5479722015316311,0.5291395195255265,2272.8,195.2,1.0
full,_none_,11,0.5763049400797388,0.5587778905165888,3076.0,257.6,0.7389073901046898
full,_none_,22,0.5758325533498062,0.546911758192061,3076.0,257.6,0.7389188780676573
full,_none_,33,0.5850838523014497,0.5611110510364676,3076.0,257.6,0.7388955023041139
full,_none_,44,0.6286129737139606,0.6092696438751568,3076.0,257.6,0.7389621869763634
full,_none_,55,0.5947831752365235,0.5752107069298661,3076.0,257.6,0.7388117622513629
full,_none_,66,0.5990900302593591,0.5727842051476897,3076.0,257.6,0.7388378407178455
full,_none_,77,0.6009381782647667,0.5753073217805065,3076.0,257.6,0.7390157695006756
full,_none_,88,0.5809389122552667,0.557546953208157,3076.0,257.6,0.738683110894015
full,_none_,99,0.5653656228902028,0.5346630617971924,3076.0,257.6,0.7387698727466921
full,_none_,111,0.6051374436373561,0.5845783432736527,3076.0,257.6,0.7388824665578556
full,_none_,123,0.5625772277576295,0.5348533944729754,3076.0,257.6,0.7389316089638986
full,_none_,234,0.5537534080057571,0.5281691406034494,3076.0,257.6,0.7387493553365782
full,_none_,345,0.5630254598729512,0.5294091012218706,3076.0,257.6,0.7386658134470323
full,_none_,456,0.596809130561484,0.5740585618834019,3076.0,257.6,0.7389562862850638
full,_none_,567,0.5895473945858257,0.563765775808688,3076.0,257.6,0.7388389045810327
full,_none_,678,0.5725677753447485,0.5492245568838614,3076.0,257.6,0.7389084588070409
full,_none_,789,0.6189245794905391,0.6001125390059022,3076.0,257.6,0.7390938109039233
full,_none_,890,0.5405825368755011,0.5130581973530585,3076.0,257.6,0.7389072844481646
full,_none_,901,0.6066978563808917,0.5862791662517085,3076.0,257.6,0.7389180551615034
full,_none_,1012,0.6042919298056473,0.5848772936061071,3076.0,257.6,0.738820497313345
full,p_metric,11,0.4880653715895996,0.47020779779555755,3076.0,257.6,0.7389073901046898
full,p_metric,22,0.5056141673758248,0.4859725561356302,3076.0,257.6,0.7389188780676573
full,p_metric,33,0.472603024229747,0.45305590937928997,3076.0,257.6,0.7388955023041139
full,p_metric,44,0.5289305871696419,0.5153183733685855,3076.0,257.6,0.7389621869763634
full,p_metric,55,0.5057516258193369,0.4944263302573112,3076.0,257.6,0.7388117622513629
full,p_metric,66,0.5171902800685049,0.4928727582711314,3076.0,257.6,0.7388378407178455
full,p_metric,77,0.47964197367189676,0.46746852623195556,3076.0,257.6,0.7390157695006756
full,p_metric,88,0.4843468499870919,0.46220595742347415,3076.0,257.6,0.738683110894015
full,p_metric,99,0.45722337790931655,0.43503322569345704,3076.0,257.6,0.7387698727466921
full,p_metric,111,0.5034839715111574,0.49071352741169727,3076.0,257.6,0.7388824665578556
full,p_metric,123,0.4676114854549013,0.4464254821904575,3076.0,257.6,0.7389316089638986
full,p_metric,234,0.46859173620538364,0.4481560751489978,3076.0,257.6,0.7387493553365782
full,p_metric,345,0.47733130038950977,0.4440092426450797,3076.0,257.6,0.7386658134470323
full,p_metric,456,0.5232131007259915,0.5159648989903227,3076.0,257.6,0.7389562862850638
full,p_metric,567,0.48937377167918605,0.47322185379336235,3076.0,257.6,0.7388389045810327
full,p_metric,678,0.4608904279184505,0.4454195128041193,3076.0,257.6,0.7389084588070409
full,p_metric,789,0.5306247877363508,0.5202607395688605,3076.0,257.6,0.7390938109039233
full,p_metric,890,0.46192781785857573,0.4470104243766191,3076.0,257.6,0.7389072844481646
full,p_metric,901,0.5306454928139567,0.5187167719053314,3076.0,257.6,0.7389180551615034
full,p_metric,1012,0.5321432644101145,0.5181445883085423,3076.0,257.6,0.738820497313345
sub_parent,_none_,11,0.5373499976745311,0.5129258836243729,2272.2,191.6,0.7442922944706863
sub_parent,_none_,22,0.508602923810028,0.4807162277535141,2271.4,191.4,0.7442788440784216
