trial_rank,trial_number,trial_sse,trial_composition,trial_n_nonmag,similar_rank_local,similar_index,similar_cosine,similar_sq_distance,similar_filename,similar_sse,similar_xm_ratio,category
1,42747,1.0605180263519287,Fe-S,4,47,3694,0.4701448166445884,126.76796361434435,POSCAR_Ru2S2_2_st950,0.27415,1.0,top5_4coordination
1,42747,1.0605180263519287,Fe-S,4,48,3225,0.468872714914665,125.79153179092043,POSCAR_Ni2O2_5_x950,0.718918,1.0,top5_4coordination
1,42747,1.0605180263519287,Fe-S,4,49,2638,0.46846935091284725,128.0226088654931,POSCAR_Mn2O2_6,0.868847,1.0,top5_4coordination
1,42747,1.0605180263519287,Fe-S,4,50,721,0.4679433809649095,126.02756797123449,POSCAR_C2Fe2_3_st950,0.55808,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,1,1589,0.6887491597893795,84.80677459527536,POSCAR_Cu2O2_1_st950,1.633544,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,2,1590,0.6824989976454116,86.00226011432514,POSCAR_Cu2O2_1_st975,1.590435,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,3,1593,0.6794854586409527,86.73775718139608,POSCAR_Cu2O2_1_z950,1.487449,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,4,1594,0.6783462716000224,86.86926508063124,POSCAR_Cu2O2_1_z975,1.514487,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,5,1585,0.675246375906877,87.45484371323973,POSCAR_Cu2O2_1,1.44026,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,6,1591,0.6712022107871743,88.27483226751842,POSCAR_Cu2O2_1_z025,1.346967,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,7,2602,0.6681580422421884,89.22260632123431,POSCAR_Mn2N2_3_z950,1.008152,1.0,top5_4coordination
2,36958,1.0423521995544434,Fe-S,4,8,1586,0.6669147443456999,89.16518648385913,POSCAR_Cu2O2_1_st025,1.290077,1.0,top5_4coordination
