#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  80  30
# Band-Index:    1
   0.77486     -8.775546     -8.345540
   0.74117     -8.771289     -8.252695
   0.70748     -8.764808     -8.153333
   0.67379     -8.732134     -8.049005
   0.64011     -8.659681     -7.941487
   0.60642     -8.584404     -7.833112
   0.57273     -8.511918     -7.728168
   0.53904     -8.443652     -7.639753
   0.50535     -8.380471     -7.612199
   0.47166     -8.322963     -7.661401
   0.43797     -8.271545     -7.735495
   0.40428     -8.226455     -7.813750
   0.37059     -8.187829     -7.890681
   0.33690     -8.155879     -7.964108
   0.30321     -8.131445     -8.032839
   0.26952     -8.117826     -8.096033
   0.23583     -8.124306     -8.153057
   0.20214     -8.152868     -8.203406
   0.16845     -8.187738     -8.246670
   0.13476     -8.219671     -8.282515
   0.10107     -8.245708     -8.310665
   0.06738     -8.264762     -8.330920
   0.03369     -8.276346     -8.343130
   0.00000     -8.280230     -8.347211
 
# Band-Index:    5
   0.00000     -8.009354     -6.532890
   0.03369     -8.010171     -6.534265
   0.06738     -8.012618     -6.546268
   0.10107     -8.016658     -6.569194
   0.13476     -8.022158     -6.600209
   0.16845     -8.028490     -6.638484
   0.20214     -8.033312     -6.683950
   0.23583     -8.028125     -6.737031
   0.26952     -7.998044     -6.798367
   0.30321     -7.946040     -6.868443
   0.33690     -7.882472     -6.947278
   0.37059     -7.811783     -7.034208
   0.40428     -7.735897     -7.127715
   0.43797     -7.656109     -7.225062
   0.47166     -7.573512     -7.320102
   0.50535     -7.489153     -7.391499
   0.53904     -7.404096     -7.386943
   0.57273     -7.319418     -7.322077
   0.60642     -7.236154     -7.241124
   0.64011     -7.155288     -7.157182
   0.67379     -7.077710     -7.074601
   0.70748     -7.004181     -6.995728
   0.74117     -6.935325     -6.922215
   0.77486     -6.871648     -6.855310
   0.80855     -6.813555     -6.795863
   0.84224     -6.761424     -6.744353
   0.87593     -6.715606     -6.700863
   0.90962     -6.676395     -6.665099
   0.94331     -6.643961     -6.636490
   0.97700     -6.618168     -6.614202
   1.01069     -6.598497     -6.597281
   1.04438     -6.584080     -6.584749
   1.07807     -6.573881     -6.575683
   1.11176     -6.566870     -6.569271
   1.14545     -6.562186     -6.564847
   1.17914     -6.559144     -6.561880
   1.21283     -6.557234     -6.559960
   1.24652     -6.556102     -6.558790
   1.28021     -6.555513     -6.558167
   1.31390     -6.555332     -6.557976
   1.31390     -6.555332     -6.557976
   1.34721     -6.555590     -6.557902
   1.38051     -6.556403     -6.557710
   1.41382     -6.557856     -6.557481
   1.44713     -6.560114     -6.557367
   1.48043     -6.563403     -6.557608
   1.51374     -6.568040     -6.558580
   1.54705     -6.574440     -6.560873
   1.58035     -6.583103     -6.565378
   1.61366     -6.594665     -6.573458
   1.64697     -6.609890     -6.586997
   1.68028     -6.629649     -6.608022
   1.71358     -6.654900     -6.637891
   1.74689     -6.686606     -6.676704
   1.78020     -6.725616     -6.723684
   1.81350     -6.772553     -6.777875
   1.84681     -6.827667     -6.838497
   1.88012     -6.890699     -6.904921
   1.91342     -6.960869     -6.976604
   1.94673     -7.036827     -7.052988
   1.98004     -7.116549     -7.133401
   2.01334     -7.197042     -7.217077
   2.04665     -7.272863     -7.303117
   2.07996     -7.331154     -7.390550
   2.11327     -7.342658     -7.478346
   2.14657     -7.291002     -7.565453
   2.17988     -7.206401     -7.650850
