#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  80  30
# Band-Index:    1
   2.44633     -5.562176     -5.445431
   2.41303     -5.567017     -5.454784
   2.37972     -5.563089     -5.451300
   2.34641     -5.550475     -5.446238
   2.31311     -5.532098     -5.441245
   2.27980     -5.511961     -5.436755
   2.24649     -5.492937     -5.432856
   2.21319     -5.476683     -5.429466
   2.17988     -5.464025     -5.426383
   2.14657     -5.455271     -5.423360
   2.11327     -5.450434     -5.420125
   2.07996     -5.449364     -5.416421
   2.04665     -5.451806     -5.412018
   2.01334     -5.457452     -5.406737
   1.98004     -5.465925     -5.400451
   1.94673     -5.476810     -5.393097
   1.91342     -5.489629     -5.384641
   1.88012     -5.503806     -5.375070
   1.84681     -5.518612     -5.364391
   1.81350     -5.533019     -5.352633
   1.78020     -5.545284     -5.339874
   1.74689     -5.551003     -5.326277
   1.71358     -5.534576     -5.312101
