#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 280  30
# Band-Index:    1
   8.24067    -19.436216    -19.436146
   8.28385    -19.364741    -19.364670
   8.32703    -19.294253    -19.294180
   8.37022    -19.225058    -19.224986
   8.41340    -19.157758    -19.157688
   8.45658    -19.092757    -19.092686
   8.49976    -19.030557    -19.030487
   8.54294    -18.971498    -18.971431
   8.58612    -18.916018    -18.915947
   8.62930    -18.864552    -18.864478
   8.67248    -18.817584    -18.817509
   8.71566    -18.775169    -18.775093
   8.75885    -18.737826    -18.737752
   8.80203    -18.705774    -18.705700
   8.84521    -18.679174    -18.679104
   8.88839    -18.658277    -18.658204
   8.93157    -18.643332    -18.643262
   8.97475    -18.634366    -18.634287
   9.01793    -18.631367    -18.631290
 
# Band-Index:    2
   9.01793    -18.470020    -18.469968
   8.97475    -18.469952    -18.469900
   8.93157    -18.469710    -18.469648
   8.88839    -18.469348    -18.469292
   8.84521    -18.468955    -18.468884
   8.80203    -18.468438    -18.468352
   8.75885    -18.467895    -18.467821
   8.71566    -18.467277    -18.467237
   8.67248    -18.466850    -18.466779
   8.62930    -18.466495    -18.466409
   8.58612    -18.466433    -18.466364
   8.54294    -18.466526    -18.466463
   8.49976    -18.466878    -18.466800
   8.45658    -18.467605    -18.467526
   8.41340    -18.468574    -18.468506
   8.37022    -18.470078    -18.470001
   8.32703    -18.472058    -18.471983
   8.28385    -18.474538    -18.474432
   8.24067    -18.477431    -18.477344
   8.19749    -18.480812    -18.480728
   8.15431    -18.484633    -18.484553
   8.11113    -18.488781    -18.488707
   8.06795    -18.493355    -18.493283
   8.02477    -18.498265    -18.498182
   7.98158    -18.503421    -18.503340
   7.93840    -18.508832    -18.508740
   7.89522    -18.514305    -18.514211
   7.85204    -18.519721    -18.519638
   7.80886    -18.525180    -18.525110
   7.76568    -18.530526    -18.530459
   7.72250    -18.535698    -18.535630
   7.67932    -18.540598    -18.540532
   7.63614    -18.545109    -18.545050
   7.59295    -18.549181    -18.549128
   7.54977    -18.552759    -18.552698
   7.50659    -18.555752    -18.555689
   7.46341    -18.558062    -18.558012
   7.42023    -18.559667    -18.559611
   7.37705    -18.560624    -18.560588
   7.33387    -18.560953    -18.560907
   7.33387    -18.560953    -18.560907
   7.30056    -18.562118    -18.561492
   7.26725    -18.565573    -18.563195
   7.23395    -18.571277    -18.566002
   7.20064    -18.579097    -18.569822
   7.16733    -18.588896    -18.574566
   7.13403    -18.600573    -18.580213
   7.10072    -18.614027    -18.586753
   7.06741    -18.628940    -18.593953
   7.03410    -18.645147    -18.601762
   7.00080    -18.662354    -18.610013
   6.96749    -18.680408    -18.618685
   6.93418    -18.699045    -18.627665
   6.90088    -18.717977    -18.636807
   6.86757    -18.736905    -18.645993
   6.83426    -18.755529    -18.655107
   6.80096    -18.773535    -18.664016
   6.76765    -18.790509    -18.672555
   6.73434    -18.806164    -18.680664
   6.70104    -18.820067    -18.688156
   6.66773    -18.831810    -18.694883
   6.63442    -18.841012    -18.700759
   6.60112    -18.847330    -18.705714
   6.56781    -18.850391    -18.709608
   6.53450    -18.850055    -18.712496
   6.50119    -18.846050    -18.714167
   6.46789    -18.838385    -18.714538
   6.43458    -18.827327    -18.713660
   6.40127    -18.813227    -18.711439
   6.36797    -18.796803    -18.708085
   6.33466    -18.778768    -18.703690
   6.30135    -18.759945    -18.698455
   6.26805    -18.741102    -18.692557
   6.23474    -18.723017    -18.686342
   6.20143    -18.706554    -18.680321
   6.16813    -18.692188    -18.674693
   6.13482    -18.680483    -18.669884
   6.10151    -18.671824    -18.666189
   6.06820    -18.666561    -18.663915
   6.03490    -18.664746    -18.663098
   6.03490    -18.661991    -18.663511
   6.00121    -18.662825    -18.665291
   5.96752    -18.665250    -18.670562
   5.93383    -18.669144    -18.679187
   5.90014    -18.674250    -18.690869
   5.86645    -18.680263    -18.705227
   5.83276    -18.686851    -18.721809
   5.79907    -18.693506    -18.739885
   5.76538    -18.699927    -18.758875
   5.73169    -18.705788    -18.777965
   5.69800    -18.710771    -18.796308
   5.66431    -18.714729    -18.813191
   5.63062    -18.717359    -18.827673
   5.59693    -18.718787    -18.839293
   5.56324    -18.718800    -18.847502
   5.52955    -18.717518    -18.852073
   5.49586    -18.714906    -18.852922
   5.46217    -18.711128    -18.850240
   5.42848    -18.706263    -18.844272
   5.39479    -18.700397    -18.835347
   5.36110    -18.693667    -18.823849
   5.32741    -18.686140    -18.810119
   5.29372    -18.677909    -18.794534
   5.26003    -18.669176    -18.777551
   5.22634    -18.660023    -18.759484
   5.19265    -18.650618    -18.740712
   5.15896    -18.641069    -18.721551
   5.12528    -18.631461    -18.702278
   5.09159    -18.622096    -18.683344
   5.05790    -18.612897    -18.664851
   5.02421    -18.604152    -18.647226
   4.99052    -18.595922    -18.630661
   4.95683    -18.588314    -18.615384
   4.92314    -18.581446    -18.601627
   4.88945    -18.575427    -18.589607
   4.85576    -18.570427    -18.579575
   4.82207    -18.566334    -18.571506
   4.78838    -18.563402    -18.565685
   4.75469    -18.561547    -18.562091
   4.72100    -18.560953    -18.560907
   4.72100    -18.560953    -18.560907
   4.67492    -18.561625    -18.561587
   4.62884    -18.563658    -18.563602
   4.58275    -18.566963    -18.566894
   4.53667    -18.571294    -18.571202
   4.49059    -18.576604    -18.576496
   4.44451    -18.582718    -18.582574
   4.39843    -18.589612    -18.589426
   4.35235    -18.596965    -18.596737
   4.30627    -18.604716    -18.604427
   4.26018    -18.612510    -18.612142
   4.21410    -18.620279    -18.619812
   4.16802    -18.627768    -18.627187
   4.12194    -18.634799    -18.634071
   4.07586    -18.641064    -18.640169
   4.02978    -18.646468    -18.645390
   3.98370    -18.650867    -18.649585
   3.93761    -18.654008    -18.652485
   3.89153    -18.655833    -18.654045
   3.84545    -18.656211    -18.654129
   3.79937    -18.654960    -18.652537
   3.75329    -18.651954    -18.649187
   3.70721    -18.647046    -18.643916
   3.66113    -18.639930    -18.636421
   3.61504    -18.630441    -18.626541
   3.56896    -18.618324    -18.614080
   3.52288    -18.603394    -18.598868
   3.47680    -18.585450    -18.580761
   3.43072    -18.564800    -18.560091
   3.38464    -18.541856    -18.537319
   3.33856    -18.517443    -18.513241
   3.29248    -18.492712    -18.488937
   3.24639    -18.468517    -18.465243
   3.20031    -18.446025    -18.443268
   3.15423    -18.425958    -18.423676
   3.10815    -18.409008    -18.407071
   3.06207    -18.395482    -18.393816
   3.01599    -18.385538    -18.384199
   2.96991    -18.379610    -18.378409
   2.92382    -18.377628    -18.376459
   2.92382    -19.604028    -19.604228
   2.90747    -19.573531    -19.573516
   2.89112    -19.537148    -19.537114
   2.87477    -19.500389    -19.500343
   2.85842    -19.463296    -19.463249
   2.84207    -19.425991    -19.425942
   2.82572    -19.388548    -19.388499
   2.80937    -19.351136    -19.351083
   2.79302    -19.313634    -19.313581
   2.77667    -19.276227    -19.276172
   2.76032    -19.238988    -19.238937
   2.74397    -19.201961    -19.201911
   2.72762    -19.165246    -19.165192
   2.71127    -19.128861    -19.128806
   2.69492    -19.092886    -19.092838
   2.67857    -19.057413    -19.057368
   2.66222    -19.022566    -19.022521
   2.64588    -18.988428    -18.988386
   2.62953    -18.954958    -18.954914
   2.61318    -18.922334    -18.922291
   2.59683    -18.890619    -18.890575
   2.58048    -18.859964    -18.859921
   2.56413    -18.830261    -18.830211
   2.54778    -18.801746    -18.801693
   2.53143    -18.774491    -18.774438
   2.51508    -18.748508    -18.748451
   2.49873    -18.723969    -18.723913
   2.48238    -18.700893    -18.700842
   2.46603    -18.679361    -18.679312
   2.44968    -18.659449    -18.659400
   2.43333    -18.641208    -18.641160
   2.41698    -18.624708    -18.624660
   2.40063    -18.610039    -18.609991
   2.38428    -18.597156    -18.597111
   2.36793    -18.586179    -18.586135
   2.35158    -18.577161    -18.577117
   2.33523    -18.570110    -18.570066
   2.31888    -18.565032    -18.564989
   2.30253    -18.561973    -18.561930
   2.28618    -18.560953    -18.560907
   2.28618    -18.560953    -18.560907
   2.25687    -18.560522    -18.561068
   2.22756    -18.559267    -18.561562
   2.19825    -18.557162    -18.562372
   2.16894    -18.554194    -18.563473
   2.13963    -18.550401    -18.564878
   2.11032    -18.545699    -18.566479
   2.08101    -18.540242    -18.568389
   2.05170    -18.534061    -18.570600
   2.02239    -18.527040    -18.572956
   1.99308    -18.519532    -18.575734
   1.96377    -18.511273    -18.578647
   1.93446    -18.502472    -18.581830
   1.90515    -18.493057    -18.585129
   1.87584    -18.483194    -18.588643
   1.84653    -18.472945    -18.592356
   1.81722    -18.462358    -18.596228
   1.78791    -18.451476    -18.600221
   1.75860    -18.440332    -18.604270
   1.72929    -18.428978    -18.608351
   1.69998    -18.417613    -18.612538
   1.67067    -18.406283    -18.616781
   1.64136    -18.395123    -18.621109
   1.61205    -18.384002    -18.625306
   1.58274    -18.373053    -18.629407
   1.55343    -18.362488    -18.633482
   1.52412    -18.352181    -18.637354
   1.49481    -18.342298    -18.641058
   1.46550    -18.332965    -18.644633
   1.43619    -18.324200    -18.648000
   1.40688    -18.316041    -18.651106
   1.37757    -18.308523    -18.653920
   1.34826    -18.301806    -18.656495
   1.31895    -18.295857    -18.658747
   1.28964    -18.290716    -18.660666
   1.26033    -18.286493    -18.662285
   1.23102    -18.283190    -18.663561
   1.20171    -18.280798    -18.664472
   1.17240    -18.279284    -18.664961
   1.14309    -18.278813    -18.665157
   1.14309    -18.666292    -18.279883
   1.11378    -18.666149    -18.280410
