filename,m1_muB,m2_muB,m_total_muB,condition_met
POSCAR_Bi2Ti2_1_y975,0.916,-0.909,0.007,True
POSCAR_Bi2Ti2_1_z025,0.961,-0.961,-0.0,True
POSCAR_Bi2Ti2_1_z050,1.003,-1.003,0.0,True
POSCAR_Bi2Ti2_1_z950,0.801,-0.802,-0.001,True
POSCAR_Bi2Ti2_1_z975,0.859,-0.86,-0.001,True
POSCAR_Bi2V2_1,2.694,-2.694,0.001,True
POSCAR_Bi2V2_1_st025,2.729,-2.728,0.003,True
POSCAR_Bi2V2_1_st050,2.757,-2.757,0.0,True
POSCAR_Bi2V2_1_st950,2.615,-2.615,0.0,True
POSCAR_Bi2V2_1_st975,2.653,-2.653,0.001,True
POSCAR_Bi3Fe2_1,3.344,-3.342,0.0,True
POSCAR_Bi3Fe2_1_st025,3.375,-3.372,0.003,True
POSCAR_Bi3Fe2_1_st050,3.227,-3.227,-0.004,True
POSCAR_Bi3Mn2_1,4.479,-4.48,0.0,True
POSCAR_Bi3Mn2_1_st025,4.531,-4.531,0.0,True
POSCAR_Bi3Mn2_1_st050,4.573,-4.574,-0.001,True
POSCAR_Bi3Mn2_1_st975,4.417,-4.417,0.002,True
POSCAR_Bi4Cr2_1,4.015,-4.015,-0.0,True
POSCAR_Bi4Cr2_1_st025,4.062,-4.062,0.0,True
POSCAR_Bi4Cr2_1_st050,4.101,-4.102,-0.0,True
POSCAR_Bi4Cr2_1_st950,3.889,-3.889,-0.0,True
POSCAR_Bi4Cr2_1_st975,3.957,-3.957,-0.001,True
POSCAR_Bi4Fe2_1,3.234,-3.232,0.004,True
POSCAR_Bi4Fe2_1_st025,3.273,-3.273,0.001,True
POSCAR_Bi4Fe2_1_st050,3.305,-3.304,0.003,True
POSCAR_Bi4V2_1,2.663,-2.663,0.0,True
POSCAR_Bi4V2_1_st050,2.735,-2.737,-0.003,True
POSCAR_Bi4V2_2,2.759,-2.759,0.0,True
POSCAR_Bi4V2_2_st025,2.792,-2.792,0.0,True
