filename,m1_muB,m2_muB,m_total_muB,condition_met
POSCAR_Fe2Si2_3_x975,2.545,-2.546,-0.001,True
POSCAR_Fe2Si2_3_y025,2.711,-2.71,0.001,True
POSCAR_Fe2Si2_3_y050,2.776,-2.775,0.002,True
POSCAR_Fe2Si2_3_y950,2.478,-2.48,-0.002,True
POSCAR_Fe2Si2_3_y975,2.544,-2.545,-0.002,True
POSCAR_Fe2Si2_3_z025,2.713,-2.713,-0.0,True
POSCAR_Fe2Si2_3_z050,2.784,-2.784,0.0,True
POSCAR_Fe2Si2_3_z950,2.476,-2.475,0.001,True
POSCAR_Fe2Si2_3_z975,2.538,-2.538,-0.0,True
POSCAR_Fe2Si2_4,2.681,-2.683,-0.002,True
POSCAR_Fe2Si2_4_st025,2.982,-2.984,-0.002,True
POSCAR_Fe2Si2_4_x025,2.855,-2.83,0.024,False
POSCAR_Fe2Si2_4_x050,2.744,-2.745,-0.001,True
POSCAR_Fe2Si2_4_x950,2.51,-2.511,-0.001,True
POSCAR_Fe2Si2_4_x975,2.612,-2.601,0.011,False
POSCAR_Fe2Si2_4_y025,2.81,-2.81,0.0,True
POSCAR_Fe2Si2_4_y050,2.745,-2.745,-0.001,True
POSCAR_Fe2Si2_4_y950,2.51,-2.511,-0.001,True
POSCAR_Fe2Si2_4_y975,2.604,-2.607,-0.003,True
POSCAR_Fe2Si2_4_z025,2.731,-2.734,-0.003,True
POSCAR_Fe2Si2_4_z050,2.79,-2.793,-0.003,True
POSCAR_Fe2Si2_4_z975,2.647,-2.648,-0.001,True
POSCAR_Fe2Sn10_2,3.35,-3.351,-0.001,True
POSCAR_Fe2Sn10_2_st025,3.44,-3.44,0.0,True
POSCAR_Fe2Sn10_2_st975,3.23,-3.23,-0.001,True
POSCAR_Fe2Sn10_2_x025,3.364,-3.363,0.0,True
POSCAR_Fe2Sn10_2_x950,3.277,-3.277,-0.0,True
POSCAR_Fe2Sn10_2_x975,3.314,-3.314,-0.004,True
POSCAR_Fe2Sn10_2_y025,3.365,-3.364,0.001,True
POSCAR_Fe2Sn10_2_y050,3.39,-3.391,-0.004,True
POSCAR_Fe2Sn10_2_y950,3.277,-3.277,0.002,True
POSCAR_Fe2Sn10_2_y975,3.313,-3.313,0.001,True
POSCAR_Fe2Sn10_2_z025,3.382,-3.383,0.001,True
POSCAR_Fe2Sn10_2_z050,3.412,-3.412,0.003,True
POSCAR_Fe2Sn10_2_z950,3.156,-3.155,0.002,True
POSCAR_Fe2Sn2_1,3.092,-3.09,0.002,True
POSCAR_Fe2Sn2_1_st050,3.173,-3.174,-0.001,True
POSCAR_Fe2Sn2_1_st975,3.024,-3.024,-0.0,True
POSCAR_Fe2Sn2_1_x025,3.109,-3.092,0.021,False
POSCAR_Fe2Sn2_1_x050,3.123,-3.072,0.06,False
POSCAR_Fe2Sn2_1_x950,3.053,-3.057,-0.002,True
POSCAR_Fe2Sn2_1_x975,3.077,-3.076,0.005,True
POSCAR_Fe2Sn2_1_y025,3.098,-3.109,-0.015,False
POSCAR_Fe2Sn2_1_y050,3.068,-3.122,-0.065,False
POSCAR_Fe2Sn2_1_y950,3.057,-3.052,0.005,True
POSCAR_Fe2Sn2_1_y975,3.076,-3.075,-0.002,True
POSCAR_Fe2Sn2_1_z025,3.117,-3.117,0.002,True
POSCAR_Fe2Sn2_1_z050,3.141,-3.138,0.006,True
POSCAR_Fe2Sn2_1_z950,2.966,-2.965,0.002,True
POSCAR_Fe2Sn2_1_z975,3.059,-3.045,0.016,False
POSCAR_Fe2Sn3_1,3.111,-3.11,0.001,True
POSCAR_Fe2Sn3_1_st025,3.175,-3.172,0.003,True
POSCAR_Fe2Sn3_1_st050,3.223,-3.222,0.001,True
POSCAR_Fe2Sn3_1_st975,3.04,-3.039,0.0,True
POSCAR_Fe2Sn3_1_x025,3.119,-3.119,-0.001,True
POSCAR_Fe2Sn3_1_x050,3.127,-3.127,0.0,True
POSCAR_Fe2Sn3_1_x950,3.064,-3.059,0.007,True
POSCAR_Fe2Sn3_1_x975,3.094,-3.092,0.002,True
POSCAR_Fe2Sn3_1_y025,3.133,-3.135,-0.001,True
POSCAR_Fe2Sn3_1_y050,3.155,-3.154,0.0,True
POSCAR_Fe2Sn3_1_y950,3.039,-3.036,0.005,True
POSCAR_Fe2Sn3_1_y975,3.077,-3.076,0.001,True
POSCAR_Fe2Sn3_1_z025,3.13,-3.129,0.001,True
POSCAR_Fe2Sn3_1_z050,3.116,-3.115,-0.001,True
POSCAR_Fe2Sn3_1_z950,3.058,-3.055,0.003,True
POSCAR_Fe2Sn3_1_z975,3.086,-3.084,0.003,True
POSCAR_Fe2Sn4_3,3.068,-3.069,-0.001,True
POSCAR_Fe2Sn4_3_st025,3.117,-3.117,0.0,True
POSCAR_Fe2Sn4_3_st050,3.155,-3.155,0.002,True
POSCAR_Fe2Sn4_3_st950,2.921,-2.921,0.0,True
POSCAR_Fe2Sn4_3_st975,3.006,-3.006,0.002,True
POSCAR_Fe2Sn4_3_x025,3.088,-3.087,0.002,True
POSCAR_Fe2Sn4_3_x050,3.105,-3.105,0.0,True
POSCAR_Fe2Sn4_3_x950,3.024,-3.024,0.001,True
POSCAR_Fe2Sn4_3_x975,3.051,-3.051,-0.0,True
POSCAR_Fe2Sn4_3_y025,3.082,-3.082,0.001,True
POSCAR_Fe2Sn4_3_y050,3.093,-3.092,0.001,True
POSCAR_Fe2Sn4_3_y950,3.035,-3.035,0.0,True
POSCAR_Fe2Sn4_3_y975,3.053,-3.053,-0.0,True
POSCAR_Fe2Sn4_3_z025,3.086,-3.087,-0.001,True
POSCAR_Fe2Sn4_3_z050,3.103,-3.103,-0.0,True
POSCAR_Fe2Sn4_3_z950,3.023,-3.023,-0.0,True
POSCAR_Fe2Sn4_3_z975,3.05,-3.05,0.001,True
POSCAR_Fe2Sn8_2,3.111,-3.113,-0.004,True
POSCAR_Fe2Sn8_2_st025,3.235,-3.235,0.001,True
POSCAR_Fe2Sn8_2_x025,3.152,-3.152,-0.0,True
POSCAR_Fe2Sn8_2_x950,3.023,-3.024,-0.001,True
POSCAR_Fe2Sn8_2_x975,3.069,-3.069,-0.0,True
POSCAR_Fe2Sn8_2_y025,3.154,-3.157,-0.005,True
POSCAR_Fe2Sn8_2_y950,3.019,-3.019,0.001,True
POSCAR_Fe2Sn8_2_y975,3.068,-3.07,-0.003,True
POSCAR_Fe2Sn8_2_z025,3.162,-3.163,-0.001,True
POSCAR_Fe2Sn8_2_z050,3.209,-3.21,0.0,True
POSCAR_Fe2Sn8_2_z950,2.997,-2.996,0.003,True
POSCAR_Fe2Sn8_2_z975,3.055,-3.055,-0.0,True
POSCAR_Fe2Te2_1,3.496,-3.496,0.0,True
POSCAR_Fe2Te2_1_st025,3.545,-3.545,0.0,True
POSCAR_Fe2Te2_1_st050,3.585,-3.585,0.0,True
POSCAR_Fe2Te2_1_st950,3.353,-3.353,0.0,True
POSCAR_Fe2Te2_1_st975,3.434,-3.434,0.0,True
POSCAR_Fe2Te2_1_x025,3.511,-3.51,0.0,True
POSCAR_Fe2Te2_1_x050,3.524,-3.524,0.0,True
POSCAR_Fe2Te2_1_y025,3.516,-3.516,0.0,True
POSCAR_Fe2Te2_1_y950,3.45,-3.45,0.0,True
POSCAR_Fe2Te2_1_y975,3.474,-3.474,0.0,True
POSCAR_Fe2Te2_1_z025,3.515,-3.515,0.0,True
POSCAR_Fe2Te2_1_z050,3.531,-3.531,0.0,True
POSCAR_Fe2Te2_1_z950,3.452,-3.451,0.0,True
POSCAR_Fe2Te2_1_z975,3.475,-3.475,0.0,True
POSCAR_Fe2Te4_1,3.509,-3.509,-0.0,True
POSCAR_Fe2Te4_1_st025,3.563,-3.563,0.0,True
POSCAR_Fe2Te4_1_st050,3.605,-3.605,0.0,True
POSCAR_Fe2Te4_1_st950,3.347,-3.347,0.0,True
POSCAR_Fe2Te4_1_st975,3.441,-3.441,-0.0,True
POSCAR_Fe2Te4_1_x025,3.529,-3.529,0.0,True
POSCAR_Fe2Te4_1_x050,3.547,-3.547,-0.0,True
POSCAR_Fe2Te4_1_x950,3.458,-3.458,-0.0,True
POSCAR_Fe2Te4_1_x975,3.487,-3.487,0.0,True
POSCAR_Fe2Te4_1_y025,3.526,-3.526,0.0,True
POSCAR_Fe2Te4_1_y050,3.54,-3.54,0.0,True
POSCAR_Fe2Te4_1_y950,3.468,-3.468,-0.0,True
POSCAR_Fe2Te4_1_y975,3.49,-3.49,-0.0,True
POSCAR_Fe2Te4_1_z025,3.529,-3.529,0.0,True
POSCAR_Fe2Te4_1_z050,3.545,-3.545,0.0,True
POSCAR_Fe2Te4_1_z950,3.459,-3.459,0.0,True
POSCAR_Fe2Te4_1_z975,3.486,-3.486,-0.0,True
POSCAR_Fe2Te6_1,3.399,-3.399,-0.004,True
POSCAR_Fe2Te6_1_x025,3.425,-3.427,-0.0,True
POSCAR_Fe2Te6_1_x050,3.449,-3.44,0.01,True
POSCAR_Fe2Te6_1_x950,3.329,-3.325,0.004,True
POSCAR_Fe2Te6_1_x975,3.37,-3.363,0.027,False
POSCAR_Fe2Te6_1_y025,3.428,-3.425,0.016,False
POSCAR_Fe2Te6_1_y050,3.453,-3.438,0.039,False
POSCAR_Fe2Te6_1_y950,3.33,-3.317,-0.016,False
POSCAR_Fe2Te6_1_y975,3.366,-3.365,-0.027,False
POSCAR_Fe2Te6_1_z025,3.418,-3.42,-0.032,False
POSCAR_Fe2Te6_1_z050,3.441,-3.436,0.014,False
POSCAR_Fe2Te6_1_z950,3.348,-3.338,0.043,False
POSCAR_Fe2Te6_1_z975,3.377,-3.372,0.022,False
POSCAR_Fe2Tl3_1,3.099,-3.103,-0.003,True
POSCAR_Fe2Tl3_1_st050,3.192,-3.193,0.001,True
POSCAR_Fe2Tl3_1_st950,2.994,-2.994,0.0,True
POSCAR_Fe2Tl3_1_st975,3.054,-3.055,-0.001,True
POSCAR_Fe2Tl3_1_x025,3.122,-3.119,0.005,True
POSCAR_Fe2Tl3_1_x050,3.143,-3.143,0.0,True
POSCAR_Fe2Tl3_1_x950,3.066,-3.07,-0.005,True
POSCAR_Fe2Tl3_1_x975,3.086,-3.086,0.001,True
POSCAR_Fe2Tl3_1_y025,3.119,-3.123,-0.004,True
POSCAR_Fe2Tl3_1_y050,3.133,-3.148,-0.014,False
POSCAR_Fe2Tl3_1_y950,3.079,-3.081,-0.002,True
POSCAR_Fe2Tl3_1_y975,3.09,-3.093,-0.002,True
POSCAR_Fe2Tl3_1_z025,3.111,-3.113,-0.002,True
POSCAR_Fe2Tl3_1_z050,3.126,-3.129,-0.003,True
POSCAR_Fe2Tl3_1_z950,3.081,-3.084,-0.003,True
POSCAR_Fe2Tl3_1_z975,3.089,-3.089,0.001,True
POSCAR_Ga2Ru2_4,1.111,-1.112,-0.001,True
POSCAR_Ga2Ru2_4_st025,1.248,-1.249,-0.001,True
POSCAR_Ga2Ru2_4_x025,1.132,-1.133,-0.0,True
POSCAR_Ga2Ru2_4_x050,1.255,-1.255,-0.0,True
POSCAR_Ga2Ru2_4_x950,0.864,-0.863,0.001,True
POSCAR_Ga2Ru2_4_x975,0.736,-0.736,0.0,True
POSCAR_Ga2Ru2_4_y025,1.133,-1.132,0.0,True
POSCAR_Ga2Ru2_4_y050,1.255,-1.255,0.0,True
POSCAR_Ga2Ru2_4_y950,0.864,-0.862,0.001,True
POSCAR_Ga2Ru2_4_y975,0.736,-0.737,-0.001,True
POSCAR_Ga2Ru2_4_z025,1.148,-1.147,0.001,True
POSCAR_Ga2Ru2_4_z050,1.312,-1.247,0.06,False
POSCAR_Ga2Ru2_4_z950,0.803,-0.864,-0.049,False
POSCAR_Ga2Ru2_4_z975,0.945,-0.945,0.0,True
POSCAR_Ga4Ti2_1,-0.002,-0.003,-0.004,True
POSCAR_Ga4Ti2_1_x025,-0.0,-0.0,-0.001,True
POSCAR_Ga4Ti2_1_x050,-0.003,-0.003,-0.006,True
POSCAR_Ga4Ti2_1_x950,-0.0,-0.0,-0.0,True
POSCAR_Ga4Ti2_1_x975,-0.0,-0.0,-0.0,True
POSCAR_Ga4Ti2_1_y025,-0.0,-0.0,-0.0,True
POSCAR_Ga4Ti2_1_y050,-0.002,-0.002,-0.005,True
POSCAR_Ga4Ti2_1_y950,-0.0,-0.0,-0.0,True
POSCAR_Ga4Ti2_1_y975,0.0,-0.0,-0.0,True
POSCAR_Ga4Ti2_1_z025,-0.001,-0.001,-0.001,True
POSCAR_Ga4Ti2_1_z050,0.0,-0.0,-0.0,True
POSCAR_Ga4Ti2_1_z950,0.0,0.0,0.001,True
POSCAR_Ga4Ti2_1_z975,-0.009,-0.009,-0.019,False
POSCAR_Ge2Mn2_2,4.235,-4.234,0.001,True
POSCAR_Ge2Mn2_2_st025,4.336,-4.334,0.003,True
POSCAR_Ge2Mn2_2_st050,4.422,-4.421,0.001,True
POSCAR_Ge2Mn2_2_st950,3.951,-3.95,0.002,True
POSCAR_Ge2Mn2_2_st975,4.112,-4.109,0.004,True
POSCAR_Ge2Mn2_2_x025,4.27,-4.27,-0.0,True
POSCAR_Ge2Mn2_2_x050,4.299,-4.299,-0.0,True
POSCAR_Ge2Mn2_2_x950,4.153,-4.149,0.006,True
POSCAR_Ge2Mn2_2_x975,4.197,-4.194,0.004,True
POSCAR_Ge2Mn2_2_y025,4.27,-4.269,0.002,True
POSCAR_Ge2Mn2_2_y050,4.3,-4.298,0.002,True
POSCAR_Ge2Mn2_2_y950,4.151,-4.152,-0.0,True
POSCAR_Ge2Mn2_2_y975,4.196,-4.195,0.001,True
POSCAR_Ge2Mn2_2_z025,4.275,-4.274,0.002,True
POSCAR_Ge2Mn2_2_z050,4.32,-4.316,0.006,True
POSCAR_Ge2Mn2_2_z950,4.16,-4.158,0.002,True
POSCAR_Ge2Mn2_2_z975,4.196,-4.195,0.001,True
POSCAR_Ge2Mn2_3,4.303,-4.301,0.003,True
POSCAR_Ge2Mn2_3_st025,4.38,-4.378,0.003,True
POSCAR_Ge2Mn2_3_st050,4.444,-4.442,0.004,True
POSCAR_Ge2Mn2_3_st975,4.206,-4.205,0.001,True
POSCAR_Ge2Mn2_3_x025,4.34,-4.336,0.007,True
POSCAR_Ge2Mn2_3_x050,4.372,-4.37,0.005,True
POSCAR_Ge2Mn2_3_x950,4.218,-4.215,0.003,True
POSCAR_Ge2Mn2_3_x975,4.264,-4.263,0.001,True
POSCAR_Ge2Mn2_3_y025,4.337,-4.336,0.002,True
POSCAR_Ge2Mn2_3_y050,4.369,-4.37,-0.002,True
POSCAR_Ge2Mn2_3_y950,4.217,-4.214,0.005,True
POSCAR_Ge2Mn2_3_y975,4.262,-4.263,-0.002,True
POSCAR_Ge2Mn2_3_z025,4.313,-4.313,-0.001,True
POSCAR_Ge2Mn2_3_z050,4.321,-4.321,0.0,True
POSCAR_Ge2Mn2_3_z950,4.275,-4.272,0.005,True
POSCAR_Ge2Mn2_3_z975,4.29,-4.288,0.003,True
POSCAR_Ge2Mo2_2,0.519,-0.519,0.0,True
POSCAR_Ge2Mo2_2_st050,0.814,-0.814,0.0,True
POSCAR_Ge2Mo2_2_st950,0.319,-0.319,0.0,True
POSCAR_Ge2Mo2_2_st975,0.399,-0.399,0.001,True
POSCAR_Ge2Mo2_2_x025,0.571,-0.571,-0.0,True
POSCAR_Ge2Mo2_2_x050,0.629,-0.629,-0.0,True
POSCAR_Ge2Mo2_2_x950,0.378,-0.374,0.003,True
POSCAR_Ge2Mo2_2_x975,0.447,-0.446,0.001,True
POSCAR_Ge2Mo2_2_y025,0.571,-0.571,-0.0,True
POSCAR_Ge2Mo2_2_y050,0.629,-0.629,0.0,True
POSCAR_Ge2Mo2_2_y950,0.378,-0.374,0.003,True
POSCAR_Ge2Mo2_2_y975,0.447,-0.446,0.001,True
POSCAR_Ge2Mo2_2_z025,0.516,-0.516,0.0,True
POSCAR_Ge2Mo2_2_z050,0.488,-0.492,-0.003,True
POSCAR_Ge2Mo2_2_z950,0.51,-0.508,0.001,True
POSCAR_Ge2Mo2_2_z975,0.52,-0.521,-0.001,True
POSCAR_Ge2Ru2_2,1.008,-1.008,-0.0,True
POSCAR_Ge2Ru2_2_st025,1.359,-1.36,-0.0,True
POSCAR_Ge2Ru2_2_st050,1.609,-1.609,-0.0,True
POSCAR_Ge2Ru2_2_st950,0.148,-0.149,-0.0,True
POSCAR_Ge2Ru2_2_st975,0.734,-0.734,0.0,True
POSCAR_Ge2Ru2_2_x025,1.101,-1.101,-0.0,True
POSCAR_Ge2Ru2_2_x050,1.262,-1.262,-0.0,True
POSCAR_Ge2Ru2_2_x950,0.782,-0.779,0.002,True
POSCAR_Ge2Ru2_2_x975,0.935,-0.936,-0.001,True
POSCAR_Ge2Ru2_2_y025,1.101,-1.101,-0.0,True
POSCAR_Ge2Ru2_2_y050,1.261,-1.261,-0.0,True
POSCAR_Ge2Ru2_2_y950,0.838,-0.838,0.001,True
POSCAR_Ge2Ru2_2_y975,0.93,-0.929,0.001,True
POSCAR_Ge2Ru2_2_z025,1.086,-1.086,-0.0,True
POSCAR_Ge2Ru2_2_z050,1.247,-1.248,-0.0,True
POSCAR_Ge2Ru2_2_z950,0.775,-0.775,-0.0,True
POSCAR_Ge2Ru2_2_z975,0.838,-0.838,-0.0,True
POSCAR_Ge2V2_2,2.655,-2.658,-0.004,True
POSCAR_Ge2V2_2_st950,2.535,-2.536,-0.002,True
POSCAR_Ge2V2_2_x025,2.673,-2.676,-0.004,True
POSCAR_Ge2V2_2_x050,2.694,-2.697,-0.005,True
POSCAR_Ge2V2_2_x950,2.62,-2.622,-0.002,True
POSCAR_Ge2V2_2_x975,2.639,-2.642,-0.004,True
POSCAR_Ge2V2_2_y025,2.673,-2.676,-0.004,True
POSCAR_Ge2V2_2_y050,2.694,-2.697,-0.005,True
POSCAR_Ge2V2_2_y950,2.62,-2.622,-0.002,True
POSCAR_Ge2V2_2_y975,2.639,-2.642,-0.004,True
POSCAR_Ge2V2_2_z025,2.675,-2.676,-0.002,True
POSCAR_Ge2V2_2_z050,2.699,-2.7,-0.001,True
POSCAR_Ge2V2_2_z950,2.622,-2.621,0.001,True
POSCAR_Ge2V2_2_z975,2.636,-2.643,-0.009,True
POSCAR_Ge2V2_3,2.664,-2.664,0.001,True
POSCAR_Ge2V2_3_st025,2.7,-2.7,0.001,True
POSCAR_Ge2V2_3_st050,2.73,-2.73,-0.001,True
POSCAR_Ge2V2_3_st950,2.569,-2.569,-0.0,True
POSCAR_Ge2V2_3_st975,2.622,-2.621,0.001,True
POSCAR_Ge2V2_3_x025,2.682,-2.682,0.001,True
POSCAR_Ge2V2_3_x050,2.7,-2.7,-0.0,True
POSCAR_Ge2V2_3_x950,2.616,-2.616,0.0,True
POSCAR_Ge2V2_3_x975,2.641,-2.641,-0.0,True
POSCAR_Ge2V2_3_y025,2.683,-2.683,-0.0,True
POSCAR_Ge2V2_3_y050,2.7,-2.7,0.0,True
POSCAR_Ge2V2_3_y950,2.616,-2.616,0.0,True
POSCAR_Ge2V2_3_y975,2.64,-2.64,0.001,True
POSCAR_Ge2V2_3_z025,2.663,-2.662,0.001,True
POSCAR_Ge2V2_3_z050,2.661,-2.66,0.0,True
POSCAR_Ge2V2_3_z950,2.672,-2.671,0.002,True
POSCAR_Ge2V2_3_z975,2.668,-2.667,0.002,True
POSCAR_Ge4V2_1,2.431,-2.431,0.001,True
POSCAR_Ge4V2_1_st025,2.54,-2.54,-0.0,True
POSCAR_Ge4V2_1_st050,2.608,-2.608,-0.0,True
POSCAR_Ge4V2_1_st950,2.133,-2.133,0.0,True
POSCAR_Ge4V2_1_st975,2.305,-2.307,-0.003,True
POSCAR_Ge4V2_1_x025,2.456,-2.489,-0.044,False
POSCAR_Ge4V2_1_x050,2.479,-2.533,-0.068,False
POSCAR_Ge4V2_1_x950,2.4,-2.319,0.09,False
POSCAR_Ge4V2_1_x975,2.413,-2.379,0.038,False
POSCAR_Ge4V2_1_y025,2.507,-2.438,0.095,False
POSCAR_Ge4V2_1_y050,2.565,-2.459,0.135,False
POSCAR_Ge4V2_1_y975,2.359,-2.419,-0.073,False
POSCAR_Ge4V2_1_z025,2.469,-2.485,-0.022,False
POSCAR_Ge4V2_1_z050,2.496,-2.521,-0.025,False
POSCAR_Ge4V2_1_z950,2.384,-2.348,0.034,False
POSCAR_Ge4V2_1_z975,2.403,-2.388,0.015,False
POSCAR_I4Mn2_1,4.588,-4.588,-0.0,True
POSCAR_I4Mn2_1_st025,4.618,-4.618,-0.0,True
POSCAR_I4Mn2_1_st050,4.643,-4.643,-0.0,True
POSCAR_I4Mn2_1_st950,4.508,-4.508,-0.0,True
POSCAR_I4Mn2_1_st975,4.552,-4.552,-0.0,True
POSCAR_I4Mn2_1_x025,4.601,-4.601,-0.0,True
POSCAR_I4Mn2_1_x050,4.612,-4.612,-0.0,True
POSCAR_I4Mn2_1_x950,4.559,-4.56,-0.0,True
POSCAR_I4Mn2_1_x975,4.575,-4.575,-0.0,True
POSCAR_I4Mn2_1_y025,4.598,-4.598,-0.0,True
POSCAR_I4Mn2_1_y050,4.607,-4.607,-0.0,True
POSCAR_I4Mn2_1_y950,4.568,-4.568,-0.0,True
POSCAR_I4Mn2_1_y975,4.578,-4.578,-0.0,True
POSCAR_I4Mn2_1_z025,4.598,-4.598,-0.0,True
POSCAR_I4Mn2_1_z050,4.607,-4.607,-0.0,True
POSCAR_I4Mn2_1_z950,4.568,-4.568,-0.0,True
POSCAR_I4Mn2_1_z975,4.578,-4.578,-0.0,True
POSCAR_I4Nb2_1,2.507,-2.507,-0.0,True
POSCAR_I4Nb2_1_st025,2.576,-2.577,-0.0,True
POSCAR_I4Nb2_1_st050,2.642,-2.642,-0.0,True
POSCAR_I4Nb2_1_st950,2.355,-2.355,-0.0,True
POSCAR_I4Nb2_1_st975,2.434,-2.434,-0.0,True
POSCAR_I4Nb2_1_x025,2.53,-2.53,-0.0,True
POSCAR_I4Nb2_1_x050,2.553,-2.553,-0.0,True
POSCAR_I4Nb2_1_x950,2.461,-2.461,-0.0,True
POSCAR_I4Nb2_1_x975,2.484,-2.484,-0.0,True
POSCAR_I4Nb2_1_y025,2.531,-2.531,-0.0,True
POSCAR_I4Nb2_1_y050,2.554,-2.555,-0.0,True
POSCAR_I4Nb2_1_y950,2.457,-2.457,-0.0,True
POSCAR_I4Nb2_1_y975,2.482,-2.483,-0.0,True
POSCAR_I4Nb2_1_z025,2.531,-2.531,-0.0,True
POSCAR_I4Nb2_1_z050,2.554,-2.554,-0.0,True
POSCAR_I4Nb2_1_z950,2.457,-2.457,-0.0,True
POSCAR_I4Nb2_1_z975,2.482,-2.483,-0.0,True
POSCAR_I4Ni2_1,1.697,-1.699,-0.001,True
POSCAR_I4Ni2_1_st025,1.731,-1.732,-0.001,True
POSCAR_I4Ni2_1_st050,1.756,-1.757,-0.0,True
POSCAR_I4Ni2_1_st950,1.583,-1.586,-0.001,True
POSCAR_I4Ni2_1_st975,1.65,-1.652,-0.001,True
POSCAR_I4Ni2_1_x025,1.709,-1.711,-0.001,True
POSCAR_I4Ni2_1_x050,1.718,-1.722,-0.0,True
POSCAR_I4Ni2_1_x950,1.664,-1.663,-0.001,True
POSCAR_I4Ni2_1_x975,1.682,-1.683,-0.001,True
POSCAR_I4Ni2_1_y025,1.71,-1.71,-0.001,True
POSCAR_I4Ni2_1_y050,1.72,-1.72,-0.001,True
POSCAR_I4Ni2_1_y950,1.662,-1.666,-0.001,True
POSCAR_I4Ni2_1_y975,1.681,-1.684,-0.001,True
POSCAR_I4Ni2_1_z025,1.708,-1.71,-0.001,True
POSCAR_I4Ni2_1_z050,1.717,-1.719,-0.001,True
POSCAR_I4Ni2_1_z950,1.665,-1.667,-0.001,True
POSCAR_I4Ni2_1_z975,1.683,-1.684,-0.001,True
POSCAR_I4Rh2_1,0.833,-0.833,0.0,True
POSCAR_I4Rh2_1_x025,0.842,-0.842,0.0,True
POSCAR_I4Rh2_1_x050,0.851,-0.85,0.0,True
POSCAR_I4Rh2_1_x950,0.818,-0.818,0.0,True
POSCAR_I4Rh2_1_x975,0.826,-0.826,0.0,True
POSCAR_I4Rh2_1_y025,0.857,-0.857,0.0,True
POSCAR_I4Rh2_1_y050,0.879,-0.879,0.0,True
POSCAR_I4Rh2_1_y950,0.783,-0.783,0.0,True
POSCAR_I4Rh2_1_y975,0.809,-0.809,0.0,True
POSCAR_I4Rh2_1_z025,0.857,-0.857,0.0,True
POSCAR_I4Rh2_1_z050,0.879,-0.879,0.0,True
POSCAR_I4Rh2_1_z950,0.783,-0.783,0.0,True
POSCAR_I4Rh2_1_z975,0.809,-0.809,0.0,True
POSCAR_I4Ti2_1,1.663,-1.663,-0.0,True
POSCAR_I4Ti2_1_st025,1.687,-1.687,-0.0,True
POSCAR_I4Ti2_1_st050,1.706,-1.707,-0.0,True
POSCAR_I4Ti2_1_st975,1.635,-1.635,-0.0,True
POSCAR_I4Ti2_1_x025,1.672,-1.672,-0.0,True
POSCAR_I4Ti2_1_x050,1.68,-1.68,-0.0,True
POSCAR_I4Ti2_1_x950,1.643,-1.643,-0.0,True
POSCAR_I4Ti2_1_x975,1.654,-1.654,-0.0,True
POSCAR_I4Ti2_1_y025,1.671,-1.671,-0.0,True
POSCAR_I4Ti2_1_y050,1.678,-1.679,-0.0,True
POSCAR_I4Ti2_1_y950,1.646,-1.646,-0.0,True
POSCAR_I4Ti2_1_y975,1.655,-1.655,-0.0,True
POSCAR_I4Ti2_1_z025,1.671,-1.671,-0.0,True
POSCAR_I4Ti2_1_z050,1.678,-1.679,-0.0,True
POSCAR_I4Ti2_1_z950,1.646,-1.646,-0.0,True
POSCAR_I4Ti2_1_z975,1.655,-1.655,-0.0,True
POSCAR_I6Nb2_1,1.738,-1.738,-0.0,True
POSCAR_I6Nb2_1_st025,1.796,-1.796,-0.0,True
POSCAR_I6Nb2_1_st050,1.851,-1.851,-0.0,True
POSCAR_I6Nb2_1_st950,1.602,-1.602,-0.0,True
POSCAR_I6Nb2_1_st975,1.673,-1.673,-0.0,True
POSCAR_I6Nb2_1_x025,1.759,-1.758,-0.0,True
POSCAR_I6Nb2_1_x050,1.78,-1.78,-0.0,True
POSCAR_I6Nb2_1_x950,1.697,-1.697,-0.0,True
POSCAR_I6Nb2_1_x975,1.717,-1.717,-0.0,True
POSCAR_I6Nb2_1_y025,1.758,-1.759,0.0,True
POSCAR_I6Nb2_1_y050,1.78,-1.78,0.0,True
POSCAR_I6Nb2_1_y950,1.697,-1.697,0.0,True
POSCAR_I6Nb2_1_y975,1.717,-1.717,0.0,True
POSCAR_I6Nb2_1_z025,1.757,-1.757,-0.0,True
POSCAR_I6Nb2_1_z050,1.777,-1.777,-0.0,True
POSCAR_I6Nb2_1_z950,1.697,-1.698,-0.0,True
POSCAR_I6Nb2_1_z975,1.718,-1.718,-0.0,True
POSCAR_In6Mo2_1,3.552,-3.557,-0.004,True
POSCAR_In6Mo2_1_x025,3.583,-3.597,-0.026,False
POSCAR_In6Mo2_1_x050,3.621,-3.629,-0.013,False
POSCAR_In6Mo2_1_x950,3.464,-3.47,-0.003,True
POSCAR_In6Mo2_1_x975,3.511,-3.519,-0.007,True
POSCAR_In6Mo2_1_y025,3.594,-3.6,-0.006,True
POSCAR_In6Mo2_1_y050,3.633,-3.637,-0.001,True
POSCAR_In6Mo2_1_y950,3.449,-3.46,-0.015,False
POSCAR_In6Mo2_1_y975,3.504,-3.513,-0.014,False
POSCAR_In6Mo2_1_z025,3.593,-3.6,-0.006,True
POSCAR_In6Mo2_1_z050,3.63,-3.636,-0.005,True
POSCAR_In6Mo2_1_z950,3.441,-3.453,-0.017,False
POSCAR_In6Mo2_1_z975,3.499,-3.511,-0.017,False
