filename,ion1 tot
POSCAR_As2V2_2_st050,2.426
POSCAR_As2V2_2_st950,1.892
POSCAR_As2V2_2_st975,2.103
POSCAR_As2V2_2_x025,2.286
POSCAR_As2V2_2_x050,2.338
POSCAR_As2V2_2_y025,2.287
POSCAR_As2V2_2_y050,2.343
POSCAR_As2V2_2_z025,2.256
POSCAR_As2V2_2_z050,2.276
POSCAR_As2V2_2_z950,2.194
POSCAR_As2V2_2_z975,2.215
POSCAR_As4Cr2_1,3.659
POSCAR_As4Cr2_1_st025,3.752
POSCAR_As4Cr2_1_st050,3.838
POSCAR_As4Cr2_1_st950,3.429
POSCAR_As4Cr2_1_st975,3.549
POSCAR_As4Cr2_1_x025,3.666
POSCAR_As4Cr2_1_x050,3.676
POSCAR_As4Cr2_1_x950,3.67
POSCAR_As4Cr2_1_x975,3.666
POSCAR_As4Cr2_1_y025,3.717
POSCAR_As4Cr2_1_y050,3.767
POSCAR_As4Cr2_1_y950,3.559
POSCAR_As4Cr2_1_y975,3.604
POSCAR_As4Cr2_1_z025,3.704
POSCAR_As4Cr2_1_z050,3.758
POSCAR_As4Cr2_1_z950,3.564
POSCAR_As4Cr2_1_z975,3.616
POSCAR_As4Fe2_1,3.229
POSCAR_As4Fe2_1_st050,3.415
POSCAR_As4Fe2_1_st950,2.32
POSCAR_As4Fe2_1_st975,2.708
POSCAR_As4Fe2_1_x025,3.292
POSCAR_As4Fe2_1_x050,3.357
POSCAR_As4Fe2_1_x950,3.102
POSCAR_As4Fe2_1_x975,3.178
POSCAR_As4Fe2_1_y025,3.28
POSCAR_As4Fe2_1_y050,3.324
POSCAR_As4Fe2_1_y975,3.177
POSCAR_As4Fe2_1_z025,3.265
POSCAR_As4Fe2_1_z050,3.294
POSCAR_As4Fe2_1_z950,2.778
POSCAR_As4Fe2_1_z975,3.189
POSCAR_As8Co2_1,0.192
POSCAR_As8Co2_1_st025,0
POSCAR_As8Co2_1_st050,0.006
POSCAR_As8Co2_1_st975,0.066
POSCAR_As8Co2_1_x025,0.338
POSCAR_As8Co2_1_x050,0
POSCAR_As8Co2_1_x950,0.001
POSCAR_As8Co2_1_x975,0.052
POSCAR_As8Co2_1_y950,0.01
POSCAR_As8Co2_1_y975,0.124
POSCAR_As8Co2_1_z050,0.076
POSCAR_As8Co2_1_z950,0.034
POSCAR_As8Cr2_1,3.817
POSCAR_As8Cr2_1_st025,3.889
POSCAR_As8Cr2_1_st050,3.948
POSCAR_As8Cr2_1_st950,3.599
POSCAR_As8Cr2_1_st975,3.726
POSCAR_As8Cr2_1_x025,3.849
POSCAR_As8Cr2_1_x050,3.873
POSCAR_As8Cr2_1_x950,3.717
POSCAR_As8Cr2_1_x975,3.774
POSCAR_As8Cr2_1_y025,3.841
POSCAR_As8Cr2_1_y050,3.859
POSCAR_As8Cr2_1_y950,3.757
POSCAR_As8Cr2_1_y975,3.787
POSCAR_As8Cr2_1_z025,3.823
POSCAR_As8Cr2_1_z050,3.833
POSCAR_As8Cr2_1_z950,3.764
POSCAR_As8Cr2_1_z975,3.793
POSCAR_As8Cr2_3,3.844
POSCAR_As8Cr2_3_st025,3.897
POSCAR_As8Cr2_3_st050,3.943
POSCAR_As8Cr2_3_st950,3.696
POSCAR_As8Cr2_3_st975,3.78
POSCAR_As8Cr2_3_x025,3.858
POSCAR_As8Cr2_3_x050,3.873
POSCAR_As8Cr2_3_x950,3.815
POSCAR_As8Cr2_3_x975,3.83
POSCAR_As8Cr2_3_y025,3.865
POSCAR_As8Cr2_3_y050,3.884
POSCAR_As8Cr2_3_y950,3.799
POSCAR_As8Cr2_3_y975,3.823
POSCAR_As8Cr2_3_z025,3.866
POSCAR_As8Cr2_3_z050,3.888
POSCAR_As8Cr2_3_z950,3.799
POSCAR_As8Cr2_3_z975,3.822
POSCAR_B2Co2_5,0.465
POSCAR_B2Co2_5_st950,0.247
POSCAR_B2Co2_5_st975,0.343
POSCAR_B2Co2_5_x025,0.542
POSCAR_B2Co2_5_x950,0.315
POSCAR_B2Co2_5_x975,0.391
POSCAR_B2Co2_5_y025,0.504
POSCAR_B2Fe2_3,2.429
POSCAR_B2Fe2_3_st025,2.631
POSCAR_B2Fe2_3_st950,1.755
POSCAR_B2Fe2_3_st975,2.155
POSCAR_B2Fe2_3_x025,2.502
POSCAR_B2Fe2_3_x050,2.572
POSCAR_B2Fe2_3_x950,2.232
POSCAR_B2Fe2_3_x975,2.338
POSCAR_B2Fe2_3_y025,2.502
POSCAR_B2Fe2_3_y050,2.572
POSCAR_B2Fe2_3_y950,2.232
POSCAR_B2Fe2_3_y975,2.338
POSCAR_B2Fe2_3_z025,2.491
POSCAR_B2Fe2_3_z050,2.551
POSCAR_B2Fe2_3_z950,2.286
POSCAR_B2Fe2_3_z975,2.353
POSCAR_B2Fe2_4,2.762
POSCAR_B2Fe2_4_st025,2.889
POSCAR_B2Fe2_4_st050,2.993
POSCAR_B2Fe2_4_st950,2.336
POSCAR_B2Fe2_4_st975,2.602
POSCAR_B2Fe2_4_x025,2.794
POSCAR_B2Fe2_4_x050,2.83
POSCAR_B2Fe2_4_x950,2.687
POSCAR_B2Fe2_4_y025,2.81
POSCAR_B2Fe2_4_y050,2.85
POSCAR_B2Fe2_4_y950,2.628
POSCAR_B2Fe2_4_y975,2.703
POSCAR_B2Fe2_4_z025,2.81
POSCAR_B2Fe2_4_z050,2.849
POSCAR_B2Fe2_4_z950,2.63
POSCAR_B2Fe2_4_z975,2.705
POSCAR_B2Fe2_5,3.163
POSCAR_B2Fe2_5_st975,3.05
POSCAR_B2Fe2_5_x025,3.197
POSCAR_B2Fe2_5_x050,3.23
POSCAR_B2Fe2_5_x950,3.091
POSCAR_B2Fe2_5_y025,3.193
POSCAR_B2Fe2_5_y050,3.204
POSCAR_B2Fe2_5_y975,3.131
POSCAR_B2Fe2_5_z050,3.236
POSCAR_B2Fe2_5_z950,3.066
POSCAR_B2Fe2_5_z975,3.121
POSCAR_B2Mo2_4,1.226
POSCAR_B2Mo2_4_st025,1.534
POSCAR_B2Mo2_4_st050,1.796
POSCAR_B2Mo2_4_st950,0.505
POSCAR_B2Mo2_4_st975,0.753
POSCAR_B2Mo2_4_x025,1.364
POSCAR_B2Mo2_4_x050,1.482
POSCAR_B2Mo2_4_x950,0.709
POSCAR_B2Mo2_4_x975,0.867
POSCAR_B2Rh2_3,0.127
POSCAR_B2Rh2_3_x025,0.039
POSCAR_B2Rh2_3_x050,0.001
POSCAR_B2Rh2_3_x950,0.001
POSCAR_B2Rh2_3_x975,0.041
POSCAR_B2Rh2_3_y025,0.039
POSCAR_B2Rh2_3_y050,0.001
POSCAR_B2Rh2_3_y950,0.001
POSCAR_B2Rh2_3_y975,0.041
POSCAR_B2Rh2_3_z025,0.187
POSCAR_B2Rh2_3_z050,0.138
POSCAR_B2Rh2_3_z975,0.046
POSCAR_B8Co2_1,1.006
POSCAR_B8Co2_1_st025,1.201
POSCAR_B8Co2_1_st050,1.379
POSCAR_B8Co2_1_st950,0.431
POSCAR_B8Co2_1_st975,0.741
POSCAR_B8Co2_1_x025,1.058
POSCAR_B8Co2_1_x050,1.108
POSCAR_B8Co2_1_x950,0.874
POSCAR_B8Co2_1_x975,0.944
POSCAR_B8Co2_1_y025,1.094
POSCAR_B8Co2_1_y050,1.173
POSCAR_B8Co2_1_y950,0.751
POSCAR_B8Co2_1_y975,0.897
POSCAR_B8Co2_1_z025,1.053
POSCAR_B8Co2_1_z050,1.083
POSCAR_B8Co2_1_z950,0.82
POSCAR_B8Co2_1_z975,0.921
POSCAR_B8Fe2_1,2.257
POSCAR_B8Fe2_1_st025,2.558
POSCAR_B8Fe2_1_x025,2.368
POSCAR_B8Fe2_1_x050,2.482
POSCAR_B8Fe2_1_x950,2.014
POSCAR_B8Fe2_1_x975,2.132
POSCAR_B8Fe2_1_y025,2.363
POSCAR_B8Fe2_1_y050,2.487
POSCAR_B8Fe2_1_y950,2.018
POSCAR_B8Fe2_1_y975,2.135
POSCAR_B8Fe2_1_z025,2.301
POSCAR_B8Fe2_1_z050,2.332
POSCAR_B8Fe2_1_z950,2.117
POSCAR_B8Fe2_1_z975,2.197
POSCAR_Bi2Co2_1,1.7
POSCAR_Bi2Co2_1_st025,1.881
POSCAR_Bi2Co2_1_st050,2.011
POSCAR_Bi2Co2_1_st950,0.84
POSCAR_Bi2Co2_1_x025,1.818
POSCAR_Bi2Co2_1_x050,1.856
POSCAR_Bi2Co2_1_y025,1.819
POSCAR_Bi2Co2_1_y050,1.856
POSCAR_Bi2Co2_1_y975,1.538
POSCAR_Bi2Co2_1_z025,1.75
POSCAR_Bi2Co2_1_z050,1.804
POSCAR_Bi2Co2_1_z975,1.596
POSCAR_Bi2Mn2_1,4.436
POSCAR_Bi2Mn2_1_st025,4.494
POSCAR_Bi2Mn2_1_st050,4.541
POSCAR_Bi2Mn2_1_st950,4.283
POSCAR_Bi2Mn2_1_st975,4.368
POSCAR_Bi2Mn2_1_x025,4.458
POSCAR_Bi2Mn2_1_x050,4.476
POSCAR_Bi2Mn2_1_x950,4.389
POSCAR_Bi2Mn2_1_x975,4.415
POSCAR_Bi2Mn2_1_y025,4.458
POSCAR_Bi2Mn2_1_y050,4.476
POSCAR_Bi2Mn2_1_y950,4.389
POSCAR_Bi2Mn2_1_y975,4.415
POSCAR_Bi2Mn2_1_z025,4.456
POSCAR_Bi2Mn2_1_z050,4.474
POSCAR_Bi2Mn2_1_z950,4.393
POSCAR_Bi2Mn2_1_z975,4.416
POSCAR_Bi2Nb2_2,0.494
POSCAR_Bi2Nb2_2_st950,0.02
POSCAR_Bi2Nb2_2_st975,0.035
POSCAR_Bi2Nb2_2_x025,0.59
POSCAR_Bi2Nb2_2_x050,0.737
POSCAR_Bi2Nb2_2_x950,0.077
POSCAR_Bi2Nb2_2_x975,0.147
POSCAR_Bi2Nb2_2_y050,0.71
POSCAR_Bi2Nb2_2_y950,0.063
POSCAR_Bi2Nb2_2_y975,0.171
POSCAR_Bi2Nb2_2_z950,0.205
POSCAR_Bi2Ru2_1,1.384
POSCAR_Bi2Ru2_1_st025,1.619
POSCAR_Bi2Ru2_1_st050,1.873
POSCAR_Bi2Ru2_1_st950,0.888
POSCAR_Bi2Ru2_1_x025,1.47
POSCAR_Bi2Ru2_1_x050,1.537
POSCAR_Bi2Ru2_1_x950,1.152
POSCAR_Bi2Ru2_1_x975,1.142
POSCAR_Bi2Ru2_1_y025,1.315
POSCAR_Bi2Ru2_1_y050,1.515
POSCAR_Bi2Ru2_1_y950,1.319
POSCAR_Bi2Ru2_1_y975,1.35
POSCAR_Bi2Ru2_1_z025,1.49
POSCAR_Bi2Ru2_1_z050,1.565
POSCAR_Bi2Ru2_1_z975,1.14
POSCAR_Bi2Ti2_1,0.914
POSCAR_Bi2Ti2_1_st025,1.015
POSCAR_Bi2Ti2_1_st050,1.112
POSCAR_Bi2Ti2_1_st975,0.8
POSCAR_Bi2Ti2_1_x050,1.007
POSCAR_Bi2Ti2_1_x975,0.925
POSCAR_Bi2Ti2_1_y025,0.972
POSCAR_Bi2Ti2_1_y050,1.024
POSCAR_Bi2Ti2_1_y950,0.911
POSCAR_Bi2Ti2_1_y975,0.916
POSCAR_Bi2Ti2_1_z025,0.961
POSCAR_Bi2Ti2_1_z050,1.003
POSCAR_Bi2Ti2_1_z950,0.801
POSCAR_Bi2Ti2_1_z975,0.859
POSCAR_Bi2V2_1,2.694
POSCAR_Bi2V2_1_st025,2.729
POSCAR_Bi2V2_1_st050,2.757
POSCAR_Bi2V2_1_st950,2.615
POSCAR_Bi2V2_1_st975,2.653
POSCAR_Bi2V2_1_x025,2.705
POSCAR_Bi2V2_1_x050,2.718
POSCAR_Bi2V2_1_x950,2.685
POSCAR_Bi2V2_1_x975,2.694
POSCAR_Bi2V2_1_y025,2.705
POSCAR_Bi2V2_1_y050,2.717
POSCAR_Bi2V2_1_y950,2.686
POSCAR_Bi2V2_1_y975,2.694
POSCAR_Bi2V2_1_z025,2.719
