mag_atom_name,structure,fermi_level,gamma_avg_meV,band_number,max_split_eV,kx,ky,kz,ion1_tot,ion2_tot,overall_tot
Ag,POSCAR_Al2Fe2_2_y050,6.6232,9.856,12,0.072019,-0.25,-0.181818,0.375,3.179,-3.186,-0.008
Ag,POSCAR_Al2Fe2_2_y950,7.476,1.022,11,0.005462,-0.333333,0.272727,0.25,2.804,-2.805,-0.001
Ag,POSCAR_Al2Fe2_2_z025,6.7379,8.695,11,0.042408,-0.416667,0.272727,0.25,2.889,-2.883,0.006
Ag,POSCAR_Al2Fe2_2_z050,6.5364,2.822,11,0.017962,0.5,0.272727,0.375,2.914,-2.913,0
Ag,POSCAR_Al2Fe2_2_z950,7.369,1.616,12,0.00829,-0.416667,0.454545,0.5,2.938,-2.938,0
Ag,POSCAR_Al2Fe2_2_z975,7.185,1.228,12,0.006618,0.416667,0.363636,0,3.055,-3.055,0
Ag,POSCAR_Al2Mn2_2_x025,7.5053,2.01,16,0.00999,0.461539,-0.384615,0.428571,4.154,-4.153,0.001
Ag,POSCAR_Al2Mn2_2_x050,7.2666,1.957,16,0.010084,0.461539,-0.384615,0.428571,4.201,-4.2,0.001
Ag,POSCAR_Al2Mn2_2_x950,8.1732,3.293,16,0.011284,0.384615,-0.461539,0.428571,3.984,-3.979,0.005
Ag,POSCAR_Al2Mn2_2_x975,7.9533,5.516,16,0.011581,-0.076923,-0.076923,0.428571,4.044,-4.038,0.006
Ag,POSCAR_Al2Mn2_2_y025,7.5053,2.01,16,0.009996,0.384615,-0.461539,0.428571,4.154,-4.153,0.001
Ag,POSCAR_Al2Mn2_2_y050,7.2666,1.958,16,0.01009,0.384615,-0.461539,0.428571,4.201,-4.2,0.001
Ag,POSCAR_Al2Mn2_2_y950,8.1732,3.286,16,0.011279,0.461539,-0.384615,0.428571,3.984,-3.979,0.005
Ag,POSCAR_Al2Mn2_2_y975,7.9533,5.511,16,0.011576,0.076923,0.076923,0.428571,4.044,-4.038,0.006
Ag,POSCAR_Al2Mn2_2_z025,7.4805,2.201,16,0.010663,0.384615,-0.461539,0.428571,4.136,-4.133,0.003
Ag,POSCAR_Al2Mn2_2_z050,7.2594,2.11,16,0.009765,0.384615,-0.461539,0.428571,4.176,-4.174,0.001
Ag,POSCAR_Al2Mn2_2_z950,8.2479,2.614,16,0.010735,0.307692,-0.461539,0.428571,4.007,-4.005,0.002
Ag,POSCAR_Al2Mn2_2_z975,7.9802,2.233,16,0.010537,0.307692,-0.461539,0.428571,4.041,-4.04,0.001
Ag,POSCAR_Al3Fe2_2_x025,6.3629,1.356,10,0.008255,0.2,0.5,0.333333,2.859,-2.861,-0.001
Ag,POSCAR_Al3Fe2_2_x050,6.2294,1.385,10,0.007952,0.5,0.125,0,2.935,-2.936,-0.002
Ag,POSCAR_Al3Fe2_2_x950,7.1111,1.012,10,0.009013,0.2,0.375,0.444444,2.717,-2.717,0
Ag,POSCAR_Al3Fe2_2_x975,6.9073,1.182,10,0.008457,0.2,-0.375,0.333333,2.801,-2.801,0
Ag,POSCAR_Al3Fe2_2_y025,6.4849,1.063,13,0.011615,0.4,-0.25,0.333333,2.88,-2.882,-0.001
Ag,POSCAR_Al3Fe2_2_y050,6.2952,1.67,13,0.010364,0.4,-0.25,0.222222,2.917,-2.917,0.001
Ag,POSCAR_Al3Fe2_2_y950,6.947,8.465,12,0.036523,0,-0.125,0.444444,2.585,-2.575,0.009
Ag,POSCAR_Al3Fe2_2_y975,6.7663,2.031,13,0.010483,0.1,0.375,0,2.694,-2.693,0.002
Ag,POSCAR_Al3Fe2_2_z025,6.4475,1.295,10,0.007795,0.2,-0.375,0.333333,2.869,-2.869,0
Ag,POSCAR_Al3Fe2_2_z050,6.2325,1.616,14,0.013742,-0.3,-0.125,0.111111,2.892,-2.892,0
Ag,POSCAR_Al3Fe2_2_z950,7.2231,1.901,10,0.00858,0.4,0.125,0,2.731,-2.731,0
Ag,POSCAR_Al3Fe2_2_z975,6.9387,1.184,10,0.008667,0.2,-0.375,0.333333,2.807,-2.807,0
Ag,POSCAR_Al5Mn2_1_x025,7.369,3.898,20,0.015286,-0.444444,0.444444,0.5,4.251,-4.25,0.002
Ag,POSCAR_Al5Mn2_1_x050,7.124,3.857,20,0.015588,-0.444444,0.444444,0.5,4.283,-4.281,0.003
Ag,POSCAR_Al5Mn2_1_x950,8.1178,4.508,20,0.014834,-0.444444,0.444444,0.5,4.14,-4.14,0.001
Ag,POSCAR_Al5Mn2_1_x975,7.8463,3.873,20,0.014906,0.444444,0,0.5,4.18,-4.181,0
Ag,POSCAR_Al5Mn2_1_y025,7.3595,3.946,20,0.015101,-0.444444,0.444444,0.5,4.251,-4.251,0.001
Ag,POSCAR_Al5Mn2_1_y050,7.1141,4.542,20,0.015316,-0.444444,0.444444,0.5,4.283,-4.282,0.003
Ag,POSCAR_Al5Mn2_1_y950,8.113,3.848,18,0.014216,0.333333,0.111111,0.5,4.141,-4.141,0.001
Ag,POSCAR_Al5Mn2_1_y975,7.8577,5.05,18,0.01486,0.333333,0.111111,0.5,4.181,-4.179,0.003
Ag,POSCAR_Al5Mn2_1_z025,7.3657,4.49,21,0.01486,0,0,0,4.254,-4.254,0
Ag,POSCAR_Al5Mn2_1_z050,7.1226,4.448,21,0.014306,0,0,0,4.28,-4.281,-0.001
Ag,POSCAR_Al5Mn2_1_z950,8.1094,5.573,19,0.015269,-0.444444,0.444444,0.5,4.137,-4.134,0.005
Ag,POSCAR_Al5Mn2_1_z975,7.8513,4.882,20,0.015625,-0.444444,0.444444,0.5,4.18,-4.179,0.002
Ag,POSCAR_As1V2_1_x025,7.5387,0.84,16,0.006343,-0.416667,0.416667,0.375,2.581,-2.581,0
Ag,POSCAR_As1V2_1_x050,7.2952,0.775,16,0.005809,-0.333333,0.25,0.375,2.606,-2.606,0
Ag,POSCAR_As1V2_1_x950,8.3812,1.255,16,0.005735,-0.416667,0.416667,0.375,2.495,-2.495,0
Ag,POSCAR_As1V2_1_x975,8.0925,1.025,16,0.006191,-0.416667,0.416667,0.375,2.525,-2.524,0
Ag,POSCAR_As1V2_1_y025,7.5377,1.036,16,0.006241,-0.416667,0.416667,0.375,2.582,-2.582,0
Ag,POSCAR_As1V2_1_y050,7.2977,1.158,16,0.005902,-0.333333,0.333333,0.375,2.609,-2.609,0
Ag,POSCAR_As1V2_1_y950,8.3798,0.987,16,0.006592,-0.416667,0.416667,0.375,2.492,-2.492,0.001
Ag,POSCAR_As1V2_1_y975,8.0959,0.901,16,0.005919,-0.416667,0.416667,0.375,2.523,-2.523,0
Ag,POSCAR_As1V2_1_z025,7.487,0.912,16,0.005736,-0.416667,0.333333,0.375,2.581,-2.582,0
Ag,POSCAR_As1V2_1_z050,7.1769,1.196,16,0.006135,-0.416667,0.333333,0.375,2.607,-2.607,0
Ag,POSCAR_As1V2_1_z950,8.4773,1.029,16,0.006102,-0.333333,0.333333,0.375,2.48,-2.48,0
Ag,POSCAR_As1V2_1_z975,8.1416,1.07,16,0.006598,-0.416667,0.416667,0.375,2.519,-2.518,0
Ag,POSCAR_As2Cr2_1_x950,6.9444,107.485,16,0.77494,-0.307692,-0.461539,0.2,3.977,-3.973,0.008
Ag,POSCAR_As2Cr2_1_x975,6.6467,81.459,16,0.756644,-0.307692,-0.461539,0.4,3.986,-3.984,0.005
Ag,POSCAR_As2Cr2_1_y950,6.944,107.739,16,0.768301,0.461539,0.307692,0.4,3.974,-3.977,-0.009
Ag,POSCAR_As2Cr2_1_y975,6.6496,83.608,16,0.763845,-0.461539,-0.307692,0.4,3.985,-3.984,-0.003
Ag,POSCAR_As2Cr2_1_z025,6.0708,3.628,16,0.688894,-0.461539,-0.307692,0.4,4.022,-4.02,0.001
Ag,POSCAR_As2Cr2_1_z050,5.8054,2.739,16,0.670694,-0.461539,-0.307692,0.4,4.049,-4.049,-0.001
Ag,POSCAR_As2Cr2_1_z950,6.9333,3.609,17,0.868294,0.384615,-0.076923,0.2,3.928,-3.93,-0.002
Ag,POSCAR_As2Cr2_1_z975,6.6387,4.593,17,0.805968,0.384615,-0.076923,0.2,3.963,-3.965,-0.004
Ag,POSCAR_As2Cr2_4_x025,6.5945,1.773,17,0.016136,0,0.5,0.2,4.098,-4.097,0.001
Ag,POSCAR_As2Cr2_4_x050,6.3367,2.335,17,0.013975,0,0.428571,0.2,4.107,-4.107,-0.001
Ag,POSCAR_As2Cr2_4_x950,7.4223,2.741,17,0.017682,0,0.5,0,4.065,-4.064,0.002
Ag,POSCAR_As2Cr2_4_x975,7.1333,2.152,17,0.017416,0,0.5,0,4.076,-4.075,0.001
Ag,POSCAR_As2Cr2_4_y025,6.5823,1.603,17,0.014218,0,0.5,0.2,4.098,-4.097,0.001
Ag,POSCAR_As2Cr2_4_y050,6.3116,1.879,17,0.014009,0,0.5,0.2,4.107,-4.106,0.001
Ag,POSCAR_As2Cr2_4_y950,7.4203,2.824,17,0.017292,0,0.5,0.2,4.066,-4.064,0.003
Ag,POSCAR_As2Cr2_4_y975,7.1279,3.974,17,0.01333,0,0.5,0.2,4.076,-4.078,-0.004
Ag,POSCAR_As2Cr2_4_z025,6.5765,1.357,17,0.01425,0,0.5,0.2,4.109,-4.109,0.001
Ag,POSCAR_As2Cr2_4_z050,6.2981,1.94,17,0.015783,0,0.5,0,4.135,-4.133,0.002
Ag,POSCAR_As2Cr2_4_z950,7.4652,6.515,17,0.025485,0,0.5,0.2,4.029,-4.024,0.009
Ag,POSCAR_As2Cr2_4_z975,7.1219,2.562,17,0.01708,0,0.5,0.2,4.057,-4.056,0.002
Ag,POSCAR_As2Mo2_1_z025,8.3382,0.599,19,0.825663,-0.166667,-0.333333,0.285714,2.42,-2.42,0
Ag,POSCAR_As2Mo2_1_z050,8.0313,0.463,19,0.85641,0.166667,-0.333333,0.142857,2.493,-2.493,0
Ag,POSCAR_As2Mo2_1_z950,9.318,0.535,17,0.765184,0.25,0,0.428571,2.138,-2.138,0
Ag,POSCAR_As2Mo2_1_z975,8.9919,0.535,17,0.865291,0.25,0,0.428571,2.245,-2.245,0
Ag,POSCAR_As2Mo2_3_x950,9.8585,0.202,19,0.750309,0.416667,-0.333333,0.166667,0.894,-0.894,0
Ag,POSCAR_As2Mo2_3_x975,9.5406,0.053,19,0.77387,-0.416667,0.083333,0.166667,1.193,-1.193,0
Ag,POSCAR_As2Mo2_3_y025,8.8745,3.424,19,0.597553,0.416667,-0.083333,0.166667,1.417,-1.428,-0.01
Ag,POSCAR_As2Mo2_3_y975,9.5407,0.04,19,0.7735,0.083333,-0.416667,0.166667,1.193,-1.193,0
Ag,POSCAR_As2Mo2_4_x025,9.3616,3.789,19,0.014758,0.5,0,0,1.812,-1.814,-0.003
Ag,POSCAR_As2Mo2_4_x975,10.0982,5.157,19,0.019334,0.166667,0.166667,0,1.442,-1.432,0.008
Ag,POSCAR_As2Mo2_4_y025,9.3296,3.816,19,0.013445,0,0.5,0,1.862,-1.86,0.001
Ag,POSCAR_As2Mo2_4_z050,9.0551,4.161,18,0.013309,0,0.25,0,1.902,-1.901,0
Ag,POSCAR_As2Mo2_4_z950,10.4702,2.99,19,0.013513,0.5,0,0,1.157,-1.154,0.002
Ag,POSCAR_As2Mo2_4_z975,10.1426,3.623,19,0.013802,0,0.5,0,1.398,-1.393,0.004
Ag,POSCAR_As2Nb2_2_y025,9.2471,0.097,18,0.005726,-0.083333,0,0.166667,0.002,-0.002,0
Ag,POSCAR_As2Nb2_2_z950,10.1711,1.373,18,0.009705,0.083333,-0.083333,0.333333,0.003,0.002,0.005
Ag,POSCAR_As2Nb2_2_z975,9.8202,0.699,18,0.002291,-0.25,0.166667,0,0.001,0.001,0.001
Ag,POSCAR_As2Ni2_1_x025,7.4598,0.184,16,0.006353,-0.333333,0.333333,0.25,0.002,-0.003,0
Ag,POSCAR_As2Ni2_1_x050,7.1152,0.133,16,0.006627,-0.333333,0.333333,0.25,0.003,-0.003,0
Ag,POSCAR_As2Ni2_1_x950,8.5122,0.065,15,0.0015,0,-0.25,0.375,0,-0.001,0
Ag,POSCAR_As2Ni2_1_x975,8.1511,0.058,16,0.001912,0,-0.333333,0.25,0.001,-0.001,0
Ag,POSCAR_As2Ni2_1_y025,7.4598,0.504,16,0.00749,-0.333333,0.333333,0.25,0.002,-0.003,-0.001
Ag,POSCAR_As2Ni2_1_y050,7.1151,0.461,16,0.007334,-0.333333,0.333333,0.25,0.002,-0.004,-0.001
Ag,POSCAR_As2Ni2_1_y975,8.1511,0.027,16,0.001773,0.333333,0,0.25,0.001,-0.001,0
Ag,POSCAR_As2Ni2_1_z050,7.1991,0.27,15,0.015835,-0.25,0.25,0.375,0.006,-0.007,-0.001
Ag,POSCAR_As2Ni2_1_z950,8.4104,0.369,16,0.001475,0.333333,0.333333,0.5,0,-0.001,-0.001
Ag,POSCAR_As2Ni2_1_z975,8.1085,0.08,16,0.002006,0,-0.333333,0.25,0.001,-0.001,0
Ag,POSCAR_As2V2_1_x025,6.0482,0.158,18,0.671571,0.090909,0.181818,0.142857,2.211,-2.211,0
Ag,POSCAR_As2V2_1_x050,5.7963,0.206,18,0.641712,-0.090909,0.272727,0.142857,2.231,-2.231,0
Ag,POSCAR_As2V2_1_x950,6.9016,0.121,18,0.664676,0.090909,-0.272727,0.142857,2.154,-2.154,0
Ag,POSCAR_As2V2_1_x975,6.5919,0.132,18,0.658972,0.090909,-0.272727,0.142857,2.171,-2.171,0
Ag,POSCAR_As2V2_1_y025,6.0712,2.08,18,0.62144,-0.090909,0.272727,0.142857,2.22,-2.217,0.003
Ag,POSCAR_As2V2_1_y050,5.848,0.186,18,0.566872,0.090909,-0.272727,0.142857,2.24,-2.24,0
Ag,POSCAR_As2V2_1_y950,6.9437,6.844,18,0.569024,0.090909,-0.272727,0.142857,2.087,-2.083,0.004
Ag,POSCAR_As2V2_1_y975,6.5925,0.159,18,0.672284,-0.090909,-0.181818,0.142857,2.151,-2.151,0
Ag,POSCAR_As2V2_1_z025,6.1042,0.124,17,0.642444,0,-0.272727,0.142857,2.217,-2.217,0
Ag,POSCAR_As2V2_1_z050,5.9087,0.121,17,0.68471,0,0.272727,0.142857,2.243,-2.243,0
Ag,POSCAR_As2V2_1_z950,6.8146,0.288,18,0.602593,-0.090909,-0.181818,0.142857,2.144,-2.143,0
Ag,POSCAR_As2V2_1_z975,6.5495,0.191,18,0.661991,-0.090909,-0.181818,0.142857,2.167,-2.166,0
Ag,POSCAR_As2V2_2_x025,6.482,82.465,17,0.961151,0,-0.333333,0.142857,2.286,-2.288,-0.003
Ag,POSCAR_As2V2_2_x050,6.2096,135.224,17,0.977927,0,-0.333333,0.142857,2.338,-2.344,-0.01
Ag,POSCAR_As2V2_2_y025,6.4823,83.419,17,0.96004,-0.333333,0,0.142857,2.287,-2.288,0.001
Ag,POSCAR_As2V2_2_y050,6.2121,135.649,17,0.97769,-0.333333,0,0.142857,2.343,-2.338,0.01
Ag,POSCAR_As2V2_2_z025,6.486,1.33,18,0.73057,0,0.333333,0.428571,2.256,-2.258,-0.002
Ag,POSCAR_As2V2_2_z050,6.249,0.988,18,0.765801,0.25,0,0.285714,2.276,-2.277,0
Ag,POSCAR_As2V2_2_z950,7.2405,1.245,17,1.054532,-0.333333,0,0.142857,2.194,-2.195,-0.001
Ag,POSCAR_As2V2_2_z975,6.9798,1.236,17,0.95361,-0.333333,0,0.142857,2.215,-2.216,0
Ag,POSCAR_As4Cr2_1_x025,5.8008,0.334,21,0.328265,-0.214286,-0.142857,0.285714,3.666,-3.666,0
Ag,POSCAR_As4Cr2_1_x050,5.5264,0.329,22,0.339924,0.5,0.285714,0.142857,3.676,-3.677,0
Ag,POSCAR_As4Cr2_1_x950,6.7755,0.504,21,0.366618,-0.285714,0.285714,0.142857,3.67,-3.67,0
Ag,POSCAR_As4Cr2_1_x975,6.4332,0.531,21,0.351546,-0.285714,0.285714,0.142857,3.666,-3.667,0
Ag,POSCAR_As4Cr2_1_y025,5.8844,0.514,21,0.328938,-0.285714,0.285714,0.142857,3.717,-3.718,0
Ag,POSCAR_As4Cr2_1_y050,5.6381,0.389,21,0.329224,-0.285714,0.285714,0.142857,3.767,-3.767,0
Ag,POSCAR_As4Cr2_1_y950,6.5605,0.418,21,0.350698,-0.285714,0.285714,0.142857,3.559,-3.56,-0.001
Ag,POSCAR_As4Cr2_1_y975,6.3289,0.474,21,0.339696,-0.285714,0.285714,0.142857,3.604,-3.605,0
Ag,POSCAR_As4Cr2_1_z025,5.8576,0.535,21,0.321711,-0.285714,0.285714,0.142857,3.704,-3.704,0
Ag,POSCAR_As4Cr2_1_z050,5.6244,0.313,19,0.32385,-0.214286,0.285714,0.285714,3.758,-3.758,0
Ag,POSCAR_As4Cr2_1_z950,6.6597,0.344,23,0.405449,-0.285714,-0.285714,0.285714,3.564,-3.565,0
Ag,POSCAR_As4Cr2_1_z975,6.3543,0.45,21,0.337858,-0.285714,0.285714,0.142857,3.616,-3.616,0
Ag,POSCAR_As4Fe2_1_x025,5.5639,0.075,19,0.812578,0.5,0.125,0.142857,3.292,-3.292,0
Ag,POSCAR_As4Fe2_1_x050,5.4092,0.079,16,0.867575,0,-0.125,0.428571,3.357,-3.357,0
Ag,POSCAR_As4Fe2_1_x950,6.3737,0.088,15,0.814144,0,-0.125,0.428571,3.102,-3.102,0
Ag,POSCAR_As4Fe2_1_x975,6.1332,0.059,19,0.928886,0.5,0.125,0.285714,3.178,-3.178,0
Ag,POSCAR_As4Fe2_1_y025,5.556,0.098,19,0.805026,0.5,0.125,0.285714,3.28,-3.28,0
Ag,POSCAR_As4Fe2_1_y050,5.3651,0.158,19,0.785912,0.5,0.25,0.142857,3.324,-3.324,0
Ag,POSCAR_As4Fe2_1_y975,6.1079,0.073,19,0.936586,0.5,0.125,0.285714,3.177,-3.177,0
Ag,POSCAR_As4Fe2_1_z025,5.5857,0.179,19,0.901474,0.5,0.125,0.285714,3.265,-3.265,0
Ag,POSCAR_As4Fe2_1_z050,5.3388,0.07,19,0.857287,0.5,0.125,0.285714,3.294,-3.294,0
Ag,POSCAR_As4Fe2_1_z950,6.0858,0.122,19,0.659143,0.357143,-0.125,0.142857,2.778,-2.778,0
Ag,POSCAR_As4Fe2_1_z975,6.0578,0.074,19,0.85141,0.5,0.125,0.142857,3.189,-3.189,0
Ag,POSCAR_As8Co2_1_x025,6.1714,0.173,29,0.457247,-0.375,0.25,0.5,0.338,-0.337,0.001
Ag,POSCAR_As8Co2_1_x050,5.8802,0.043,29,0.000796,0.375,0.25,0.333333,0,-0.001,0
Ag,POSCAR_As8Co2_1_x950,7.1254,0.012,29,0.000745,-0.25,0.25,0,0.001,-0.001,0
Ag,POSCAR_As8Co2_1_x975,6.788,0.565,29,0.084025,0.25,0.25,0,0.052,-0.056,-0.003
Ag,POSCAR_As8Co2_1_y950,7.1155,0.022,29,0.019287,0.375,0.25,0.333333,0.01,-0.011,0
Ag,POSCAR_As8Co2_1_y975,6.7904,0.906,29,0.203653,0.375,0.25,0.5,0.124,-0.129,-0.004
Ag,POSCAR_As8Co2_1_z050,5.9537,4.147,29,0.136374,-0.25,0.25,0,0.076,-0.078,0.006
Ag,POSCAR_As8Co2_1_z950,7.0359,0.063,29,0.048214,0.25,-0.375,0.333333,0.034,-0.034,0
Ag,POSCAR_As8Cr2_1_x025,4.6976,3.006,32,0.390632,-0.285714,-0.285714,0.285714,3.849,-3.847,0.006
Ag,POSCAR_As8Cr2_1_x050,4.4434,2.408,30,0.387395,-0.285714,0.428571,0.142857,3.873,-3.872,0.001
Ag,POSCAR_As8Cr2_1_x950,5.4768,2.59,32,0.464979,-0.285714,-0.142857,0.428571,3.717,-3.716,0.004
Ag,POSCAR_As8Cr2_1_x975,5.222,2.325,32,0.433928,-0.285714,-0.142857,0.428571,3.774,-3.774,0.001
Ag,POSCAR_As8Cr2_1_y025,4.7154,3.449,32,0.408355,-0.285714,-0.285714,0.285714,3.841,-3.838,0.006
Ag,POSCAR_As8Cr2_1_y050,4.4588,2.57,32,0.4057,-0.285714,-0.285714,0.285714,3.859,-3.859,-0.001
Ag,POSCAR_As8Cr2_1_y950,5.4868,2.474,32,0.415237,-0.142857,0,0.428571,3.757,-3.756,0.003
Ag,POSCAR_As8Cr2_1_y975,5.2279,2.904,32,0.402502,-0.285714,-0.142857,0.428571,3.787,-3.786,0.005
Ag,POSCAR_As8Cr2_1_z025,4.6983,2.281,32,0.422807,-0.285714,-0.142857,0.428571,3.823,-3.822,0.001
Ag,POSCAR_As8Cr2_1_z050,4.4316,2.567,32,0.416637,-0.285714,-0.142857,0.428571,3.833,-3.833,0
Ag,POSCAR_As8Cr2_1_z950,5.5066,2.966,31,0.461758,0.285714,-0.285714,0.285714,3.764,-3.761,0.004
Ag,POSCAR_As8Cr2_1_z975,5.2384,2.646,31,0.415697,0.142857,-0.428571,0.285714,3.793,-3.791,0.004
Ag,POSCAR_As8Cr2_3_x025,4.4167,0.509,32,0.965734,-0.25,0.375,0.5,3.858,-3.858,0
Ag,POSCAR_As8Cr2_3_x050,4.1703,0.425,32,0.938739,-0.25,0.375,0.5,3.873,-3.873,0
Ag,POSCAR_As8Cr2_3_x950,5.2491,0.533,32,1.02621,-0.25,0.25,0,3.815,-3.815,0
Ag,POSCAR_As8Cr2_3_x975,4.9502,0.466,32,0.999812,-0.25,0.25,0,3.83,-3.829,0
Ag,POSCAR_As8Cr2_3_y025,4.4335,0.463,32,0.924351,-0.25,0.375,0.5,3.865,-3.864,0
Ag,POSCAR_As8Cr2_3_y050,4.1926,0.481,32,0.879228,-0.25,0.375,0.5,3.884,-3.884,0
Ag,POSCAR_As8Cr2_3_y950,5.2327,0.458,32,1.126958,-0.25,0.25,0,3.799,-3.799,0
Ag,POSCAR_As8Cr2_3_y975,4.9508,0.461,32,1.048945,-0.25,0.25,0,3.823,-3.823,0
Ag,POSCAR_As8Cr2_3_z025,4.4702,0.495,32,0.937085,-0.25,0.375,0.5,3.866,-3.866,0
Ag,POSCAR_As8Cr2_3_z050,4.2717,0.581,32,0.916316,-0.25,0.25,0.166667,3.888,-3.888,0
Ag,POSCAR_As8Cr2_3_z950,5.1247,0.459,32,1.006129,-0.25,0.375,0.5,3.799,-3.799,0
Ag,POSCAR_As8Cr2_3_z975,4.906,0.44,32,0.983862,-0.25,0.375,0.5,3.822,-3.822,0
Ag,POSCAR_B2Co2_5_x025,10.0409,0.961,12,0.32845,0.3125,-0.181818,0.272727,0.542,-0.543,-0.001
Ag,POSCAR_B2Co2_5_x950,11.1598,0.591,12,0.333602,-0.375,0,0.454545,0.315,-0.315,0
Ag,POSCAR_B2Co2_5_x975,10.7628,1.321,10,0.374887,0,0,0.272727,0.391,-0.393,-0.002
Ag,POSCAR_B2Co2_5_y025,10.0493,33.131,10,0.415882,0,0,0.272727,0.504,-0.513,-0.009
Ag,POSCAR_B2Fe2_3_x025,6.2237,1.212,10,0.616364,0.333333,0.466667,0.25,2.502,-2.502,0
Ag,POSCAR_B2Fe2_3_x050,6.0455,2.563,11,0.702007,-0.333333,-0.133333,0.25,2.572,-2.57,0.003
Ag,POSCAR_B2Fe2_3_x950,6.8068,1.227,10,0.554147,-0.466667,-0.333333,0.25,2.232,-2.232,0
Ag,POSCAR_B2Fe2_3_x975,6.6082,1.447,10,0.555054,-0.466667,-0.333333,0.25,2.338,-2.338,0
Ag,POSCAR_B2Fe2_3_y025,6.2236,1.224,10,0.61682,-0.466667,-0.333333,0.25,2.502,-2.502,0
Ag,POSCAR_B2Fe2_3_y050,6.0456,2.566,11,0.702066,0.133333,0.333333,0.25,2.572,-2.57,0.003
Ag,POSCAR_B2Fe2_3_y950,6.8069,1.227,10,0.553765,0.333333,0.466667,0.25,2.232,-2.232,0
Ag,POSCAR_B2Fe2_3_y975,6.6081,1.43,10,0.554783,0.333333,0.466667,0.25,2.338,-2.338,0
Ag,POSCAR_B2Fe2_3_z025,6.2201,1.746,10,0.588646,-0.2,-0.333333,0.25,2.491,-2.49,0
Ag,POSCAR_B2Fe2_3_z050,6.0337,2.352,10,0.604649,-0.2,-0.333333,0.25,2.551,-2.55,0.001
Ag,POSCAR_B2Fe2_3_z950,6.8301,4.866,11,0.516013,-0.4,0.466667,0.25,2.286,-2.292,-0.007
Ag,POSCAR_B2Fe2_3_z975,6.608,2.855,10,0.533515,0.2,0.333333,0.25,2.353,-2.356,-0.003
Ag,POSCAR_B2Fe2_4_x025,6.5691,5.789,11,0.081666,-0.416667,0.166667,0.416667,2.794,-2.792,0.003
Ag,POSCAR_B2Fe2_4_x050,6.3176,4.242,11,0.061493,-0.416667,0.166667,0.416667,2.83,-2.827,0.004
Ag,POSCAR_B2Fe2_4_x950,7.3339,4.337,11,0.128782,-0.416667,0.166667,0.416667,2.687,-2.686,0.001
