name,dir,status,ef,nelect,nkpts,nbands,n_pairs,n_kpts_used,sse_max,sse_p99,sse_p95,sse_p90,sse_p50,sse_mean_w,sse_kmax_mean_w,sse_max_over_p95,sse_max_win_both,sse_max_win_either,band,k_id,kx,ky,kz,e_up,e_dn,k_weight_at_max,eigenval,outcar
CoS|enc625,/scratch/e1398a04/Altermagnetism/CoS_conv/enc625,ok,6.7011,30,1460,32,4739,1460,1.0820719999999993,0.8217169999999996,0.5596540000000001,0.4558,0.0829329999999997,0.15660748064339416,0.23462081657636075,1.9334660343712349,1.0820719999999993,1.0820719999999993,14,705,0.0,-0.3333333,0.2222222,6.295551,5.213479,0.0006858711,EIGENVAL,OUTCAR
CoS|enc700,/scratch/e1398a04/Altermagnetism/CoS_conv/enc700,ok,6.701,30,1460,32,4739,1460,1.0821930000000002,0.8217679999999996,0.5596909999999999,0.45583500000000043,0.08293799999999951,0.15662812709950855,0.2346368985379541,1.9335544076999636,1.0821930000000002,1.0821930000000002,14,705,0.0,-0.3333333,0.2222222,6.29547,5.213277,0.0006858711,EIGENVAL,OUTCAR
CoS|sig0005,/scratch/e1398a04/Altermagnetism/CoS_conv/sig0005,ok,6.7013,30,1460,32,4739,1460,1.0820469999999993,0.821542,0.5596329999999998,0.45576300000000014,0.08250299999999999,0.15656486027790711,0.2345628388671587,1.9334939147619952,1.0820469999999993,1.0820469999999993,14,597,0.0,0.3333333,0.2222222,5.214101,6.296148,0.0006858711,EIGENVAL,OUTCAR
CoS|sig002,/scratch/e1398a04/Altermagnetism/CoS_conv/sig002,ok,6.807,30,1460,32,4358,1460,1.0824170000000004,0.8239260000000002,0.5979710000000003,0.47040400000000027,0.09013200000000055,0.16302053064460462,0.23432794689181016,1.8101496560870007,1.0824170000000004,1.0824170000000004,14,597,0.0,0.3333333,0.2222222,5.214174,6.296591,0.0006858711,EIGENVAL,OUTCAR
CoS|sig005,/scratch/e1398a04/Altermagnetism/CoS_conv/sig005,ok,6.9202,30,1460,32,4166,1460,1.0824110000000005,0.8436960000000004,0.5995150000000002,0.47474300000000014,0.09203000000000028,0.16666208007055985,0.23425541019769483,1.8054777611902955,1.0824110000000005,1.0824110000000005,14,597,0.0,0.3333333,0.2222222,5.214199,6.29661,0.0006858711,EIGENVAL,OUTCAR
CoS|tetra,/scratch/e1398a04/Altermagnetism/CoS_conv/tetra,ok,6.7014,30,1460,32,4740,1460,1.082414,0.8212649999999995,0.5600360000000002,0.4558459999999993,0.08074899999999996,0.15645022666075736,0.23434167288630892,1.9327578941353762,1.082414,1.082414,14,597,0.0,0.3333333,0.2222222,5.214184,6.296598,0.0006858711,EIGENVAL,OUTCAR
CoS|ediff1e7,/scratch/e1398a04/Altermagnetism/CoS_conv/ediff1e7,ok,6.7014,30,1460,32,4740,1460,1.0824030000000002,0.8213429999999997,0.560047,0.4558970000000002,0.08073599999999992,0.15644332350308798,0.23432609641170052,1.9327002912255584,1.0824030000000002,1.0824030000000002,14,597,0.0,0.3333333,0.2222222,5.214208,6.296611,0.0006858711,EIGENVAL,OUTCAR
CoS|ediff1e8,/scratch/e1398a04/Altermagnetism/CoS_conv/ediff1e8,ok,6.7014,30,1460,32,4740,1460,1.0824030000000002,0.8213429999999997,0.560047,0.4558970000000002,0.08073599999999992,0.15644332624889024,0.23432609675463614,1.9327002912255584,1.0824030000000002,1.0824030000000002,14,597,0.0,0.3333333,0.2222222,5.214208,6.296611,0.0006858711,EIGENVAL,OUTCAR
FeAs|base,/scratch/e1398a04/Altermagnetism/FeAs_conv/base,ok,5.4896,26,436,48,777,429,1.402332,1.3482950000000002,1.0430740000000003,0.8046039999999999,0.08854400000000062,0.2818186873034984,0.37116508891027455,1.3444223516260587,1.402332,1.402332,13,215,-0.3333333,-0.08333333,0.1666667,3.610479,5.012811,0.002314815,EIGENVAL,OUTCAR
FeAs|k133,/scratch/e1398a04/Altermagnetism/FeAs_conv/k133,ok,5.4929,26,1028,48,1833,1022,1.5092030000000003,1.3176549999999998,1.0520119999999995,0.8261640000000003,0.17985600000000002,0.30080386878039506,0.38364803051581775,1.4345872480542057,1.5092030000000003,1.5092030000000003,13,639,-0.25,-0.0625,0.25,3.969296,5.478499,0.0009765625,EIGENVAL,OUTCAR
