#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 280  20
# Band-Index:    1
   2.01138     -8.111578     -8.111105
   1.99565     -8.087363     -8.086882
   1.97992     -8.069768     -8.069281
   1.96418     -8.059086     -8.058595
   1.94845     -8.055504     -8.055012
   1.94845     -8.055504     -8.055012
   1.92408     -8.054185     -8.053693
   1.89972     -8.050233     -8.049744
   1.87535     -8.043689     -8.043205
   1.85098     -8.034607     -8.034127
   1.82662     -8.023072     -8.022600
   1.80225     -8.009199     -8.008736
   1.77788     -7.993137     -7.992684
   1.75352     -7.975056     -7.974616
   1.72915     -7.955192     -7.954767
   1.70478     -7.933815     -7.933407
   1.68041     -7.911271     -7.910881
   1.65605     -7.887972     -7.887604
   1.63168     -7.864426     -7.864081
   1.60731     -7.841255     -7.840936
   1.58295     -7.819222     -7.818931
   1.55858     -7.799259     -7.799000
   1.53421     -7.782502     -7.782277
   1.50985     -7.770322     -7.770133
   1.48548     -7.764334     -7.764182
   1.46111     -7.766387     -7.766272
   1.43675     -7.778484     -7.778405
   1.41238     -7.802627     -7.802581
   1.38801     -7.840575     -7.840556
   1.36364     -7.893559     -7.893559
   1.33928     -7.962038     -7.962051
   1.31491     -8.045611     -8.045629
   1.29054     -8.143114     -8.143131
   1.26618     -8.252850     -8.252862
   1.24181     -8.372874     -8.372878
   1.21744     -8.501220     -8.501215
   1.19308     -8.636059     -8.636043
   1.16871     -8.775735     -8.775709
   1.14434     -8.918836     -8.918798
   1.11998     -9.064137     -9.064086
   1.09561     -9.210547     -9.210481
   1.07124     -9.357002     -9.356915
   1.04687     -9.502070     -9.501948
   1.02251     -9.641751     -9.641544
   0.99814     -9.734661     -9.734214
   0.99814     -9.430064     -9.429482
   0.97255     -9.315438     -9.315177
   0.94695     -9.159764     -9.159575
   0.92136     -9.001224     -9.001061
   0.89577     -8.842693     -8.842543
   0.87017     -8.685592     -8.685452
   0.84458     -8.531275     -8.531144
   0.81899     -8.381269     -8.381148
   0.79339     -8.237369     -8.237260
   0.76780     -8.101664     -8.101569
   0.74221     -7.976515     -7.976436
   0.71661     -7.864437     -7.864376
   0.69102     -7.767847     -7.767804
   0.66543     -7.688714     -7.688686
   0.63983     -7.628161     -7.628142
   0.61424     -7.586187     -7.586168
   0.58865     -7.561643     -7.561613
   0.56305     -7.552501     -7.552453
   0.53746     -7.556256     -7.556181
   0.51187     -7.570317     -7.570211
   0.48627     -7.592264     -7.592123
   0.46068     -7.619986     -7.619811
   0.43509     -7.651725     -7.651515
   0.40949     -7.686026     -7.685781
   0.38390     -7.721709     -7.721433
   0.35831     -7.757837     -7.757531
   0.33271     -7.793634     -7.793301
   0.30712     -7.828487     -7.828129
   0.28153     -7.861891     -7.861511
   0.25593     -7.893432     -7.893031
   0.23034     -7.922773     -7.922355
   0.20475     -7.949642     -7.949207
   0.17915     -7.973805     -7.973357
   0.15356     -7.995079     -7.994619
   0.12797     -8.013312     -8.012842
   0.10237     -8.028384     -8.027906
   0.07678     -8.040196     -8.039712
   0.05119     -8.048684     -8.048196
   0.02559     -8.053797     -8.053306
   0.00000     -8.055504     -8.055012
 
# Band-Index:    3
   0.00000     -6.092240     -6.092832
