#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  80  20
# Band-Index:    1
   1.19127     -4.856813     -4.857746
   1.22132     -4.856071     -4.857014
   1.25136     -4.855584     -4.856543
   1.28140     -4.855814     -4.856791
   1.31144     -4.857236     -4.858233
   1.34149     -4.860294     -4.861314
   1.37153     -4.865359     -4.866403
   1.40157     -4.872709     -4.873777
   1.43161     -4.882524     -4.883616
   1.46166     -4.894892     -4.896006
   1.49170     -4.909816     -4.910952
   1.52174     -4.927215     -4.928372
   1.55178     -4.946916     -4.948092
   1.58183     -4.968639     -4.969832
   1.61187     -4.991972     -4.993181
   1.64191     -5.016365     -5.017585
   1.67195     -5.041145     -5.042369
   1.70200     -5.065587     -5.066805
   1.73204     -5.089033     -5.090232
   1.76208     -5.111022     -5.112187
   1.79212     -5.131372     -5.132489
   1.82217     -5.150167     -5.151227
   1.85221     -5.167676     -5.168670
   1.88225     -5.184213     -5.185138
   1.91229     -5.200007     -5.200865
   1.94234     -5.215093     -5.215893
   1.97238     -5.229262     -5.230017
   2.00242     -5.242098     -5.242829
   2.03246     -5.253144     -5.253875
   2.06251     -5.262117     -5.262868
   2.09255     -5.269019     -5.269804
   2.12259     -5.274101     -5.274924
   2.15263     -5.277720     -5.278581
   2.18268     -5.280229     -5.281124
   2.21272     -5.281916     -5.282837
   2.24276     -5.282987     -5.283927
   2.27280     -5.283580     -5.284532
   2.30285     -5.283770     -5.284725
 
# Band-Index:    6
   2.30285     -4.572262     -4.573969
   2.27280     -4.569395     -4.571098
   2.24276     -4.560868     -4.562561
   2.21272     -4.546927     -4.548599
   2.18268     -4.529022     -4.529894
   2.15263     -4.521783     -4.521671
   2.12259     -4.513421     -4.513341
   2.09255     -4.503590     -4.503546
   2.06251     -4.492313     -4.492313
   2.03246     -4.479636     -4.479683
   2.00242     -4.465620     -4.465720
   1.97238     -4.450349     -4.450508
   1.94234     -4.433932     -4.434156
   1.91229     -4.416507     -4.416801
   1.88225     -4.398246     -4.398617
   1.85221     -4.379358     -4.379813
   1.82217     -4.360091     -4.360636
   1.79212     -4.340733     -4.341377
   1.76208     -4.321608     -4.322356
   1.73204     -4.303061     -4.303919
   1.70200     -4.285443     -4.286413
   1.67195     -4.269085     -4.270165
   1.64191     -4.254265     -4.255451
   1.61187     -4.241187     -4.242471
   1.58183     -4.229965     -4.231336
   1.55178     -4.220617     -4.222064
   1.52174     -4.213081     -4.214590
   1.49170     -4.207227     -4.208786
   1.46166     -4.202880     -4.204478
   1.43161     -4.199839     -4.201468
   1.40157     -4.197889     -4.199540
   1.37153     -4.196815     -4.198483
   1.34149     -4.196410     -4.198090
   1.31144     -4.196480     -4.198169
   1.28140     -4.196851     -4.198546
   1.25136     -4.197371     -4.199070
   1.22132     -4.197911     -4.199613
   1.19127     -4.198371     -4.200074
   1.16123     -4.198676     -4.200380
   1.13119     -4.198783     -4.200487
   1.13119     -4.198783     -4.200487
   1.10218     -4.199376     -4.201078
   1.07318     -4.201352     -4.203047
   1.04417     -4.205216     -4.206900
   1.01517     -4.211596     -4.213264
   0.98616     -4.221079     -4.222724
   0.95716     -4.234142     -4.235759
   0.92815     -4.251188     -4.252769
   0.89915     -4.272610     -4.274148
   0.87015     -4.298831     -4.300319
   0.84114     -4.330328     -4.331761
   0.81214     -4.367575     -4.368950
   0.78313     -4.410932     -4.412251
   0.75413     -4.460463     -4.461730
   0.72512     -4.515700     -4.516927
   0.69612     -4.575479     -4.576682
   0.66711     -4.637969     -4.639162
   0.63811     -4.700973     -4.702167
   0.60910     -4.762441     -4.763642
   0.58010     -4.820953     -4.822160
   0.55109     -4.873020     -4.874017
   0.52209     -4.874955     -4.875957
   0.49308     -4.876913     -4.877921
   0.46408     -4.878886     -4.879900
   0.43507     -4.880847     -4.881868
   0.40607     -4.882773     -4.883800
   0.37706     -4.884638     -4.885672
   0.34806     -4.886421     -4.887461
   0.31905     -4.888101     -4.889147
   0.29005     -4.889662     -4.890715
   0.26104     -4.891091     -4.892149
   0.23204     -4.892377     -4.893441
   0.20303     -4.893514     -4.894583
   0.17403     -4.894497     -4.895570
   0.14502     -4.895324     -4.896402
   0.11602     -4.895997     -4.897079
   0.08701     -4.896518     -4.897602
   0.05801     -4.896887     -4.897974
   0.02900     -4.897107     -4.898196
   0.00000     -4.897181     -4.898269
 
# Band-Index:    7
   0.00000     -4.223401     -4.223338
   0.02900     -4.222533     -4.222471
   0.05801     -4.219935     -4.219877
   0.08701     -4.215627     -4.215574
   0.11602     -4.209639     -4.209593
   0.14502     -4.202014     -4.201977
   0.17403     -4.192806     -4.192780
   0.20303     -4.182078     -4.182065
   0.23204     -4.169902     -4.169903
   0.26104     -4.156359     -4.156376
   0.29005     -4.141534     -4.141569
   0.31905     -4.125523     -4.125576
   0.34806     -4.108424     -4.108496
   0.37706     -4.090341     -4.090434
   0.40607     -4.071383     -4.071498
   0.43507     -4.051664     -4.051803
   0.46408     -4.031302     -4.031464
   0.49308     -4.010419     -4.010605
   0.52209     -3.989140     -3.989351
   0.55109     -3.967595     -3.967832
   0.58010     -3.945918     -3.946180
   0.60910     -3.924244     -3.924532
   0.63811     -3.902711     -3.903026
   0.66711     -3.881460     -3.881802
   0.69612     -3.860632     -3.860999
   0.72512     -3.840366     -3.840759
   0.75413     -3.820801     -3.821219
   0.78313     -3.802072     -3.802515
   0.81214     -3.784311     -3.784778
   0.84114     -3.767643     -3.768132
   0.87015     -3.752184     -3.752694
   0.89915     -3.738046     -3.738576
   0.92815     -3.761045     -3.762829
   0.95716     -3.813499     -3.815310
   0.98616     -3.858076     -3.859913
   1.01517     -3.894286     -3.896146
   1.04417     -3.921987     -3.923867
   1.07318     -3.941341     -3.943236
   1.10218     -3.952709     -3.954614
   1.13119     -3.956449     -3.958357
   1.13119     -3.956449     -3.958357
   1.16123     -3.952310     -3.954213
   1.19127     -3.939844     -3.941738
   1.22132     -3.918929     -3.920806
   1.25136     -3.889404     -3.891258
   1.28140     -3.851138     -3.852965
   1.31144     -3.804099     -3.805893
   1.34149     -3.750619     -3.751199
   1.37153     -3.769936     -3.770499
   1.40157     -3.790935     -3.791497
   1.43161     -3.813283     -3.813850
   1.46166     -3.836634     -3.837212
   1.49170     -3.860628     -3.861226
   1.52174     -3.884899     -3.885529
   1.55178     -3.909097     -3.909770
   1.58183     -3.932900     -3.933630
   1.61187     -3.956039     -3.956838
   1.64191     -3.978316     -3.979196
   1.67195     -3.999615     -4.000583
   1.70200     -4.019897     -4.020960
   1.73204     -4.039196     -4.040353
   1.76208     -4.057586     -4.058836
   1.79212     -4.075160     -4.076499
   1.82217     -4.092009     -4.093430
   1.85221     -4.118451     -4.120067
   1.88225     -4.177096     -4.178694
   1.91229     -4.228028     -4.229608
   1.94234     -4.272843     -4.274409
   1.97238     -4.313044     -4.314601
   2.00242     -4.349927     -4.351481
   2.03246     -4.384490     -4.386049
   2.06251     -4.417335     -4.418905
   2.09255     -4.448597     -4.450184
   2.12259     -4.477942     -4.479552
   2.15263     -4.504668     -4.506302
   2.18268     -4.527537     -4.528185
   2.21272     -4.533908     -4.533756
